JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40544.000,    45.996,    23.811,     4.500,     0.000,     0.000,     0.000,     0.000,    18.805,  1865.885,     1.000,     4.500,  -196.407,     0.000,   209.626,   327.448,    37.377,    41.208,     0.000,
 40544.042,   126.043,    23.805,     4.475,     0.043,   597.281,     0.000,     0.000,    18.799,  1865.885,     1.000,     4.475,  -197.295,     0.000,   209.122,   327.334,    37.125,    41.958,     0.000,
 40544.083,   113.285,    23.831,     4.449,     0.414,  5335.344,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.449,  -199.361,     0.000,   208.060,   327.209,    36.542,    43.670,     0.000,
 40544.125,   113.467,    23.841,     4.420,     0.429,  5608.876,     0.000,     0.000,    18.835,  1865.885,     1.000,     4.420,  -209.376,     0.000,   206.919,   327.073,    39.684,    49.538,     0.000,
 40544.168,   114.152,    23.834,     4.393,     0.384,  5229.262,   900.499,     0.000,    18.828,  1865.885,     1.000,     4.393,   648.459,   849.528,   207.235,   326.950,    36.470,    44.883,     0.000,
 40544.210,   111.941,    23.831,     4.368,     0.391,  5089.237,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.368,  -206.591,     0.000,   207.863,   326.831,    40.261,    47.362,     0.000,
 40544.251,   121.540,    23.832,     4.342,     0.380,  4970.783,     0.000,     0.000,    18.826,  1865.885,     1.000,     4.342,  -203.722,     0.000,   206.276,   326.709,    36.921,    46.367,     0.000,
 40544.293,   110.771,    23.832,     4.316,     0.370,  4943.079,   695.125,     0.000,    18.826,  1865.885,     1.000,     4.316,   452.243,   655.778,   206.416,   326.587,    37.360,    46.004,     0.000,
 40544.335,   116.842,    23.831,     4.290,     0.361,  5042.698,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.290,  -210.313,     0.000,   206.276,   326.463,    40.087,    50.040,     0.000,
 40544.376,   106.729,    23.835,     4.264,     0.372,  4983.113,     0.000,     0.000,    18.829,  1865.885,     1.000,     4.264,  -202.777,     0.000,   206.277,   326.340,    36.687,    46.027,     0.000,
 40544.418,   118.955,    23.831,     4.239,     0.404,  5015.098,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.239,  -193.712,     0.000,   210.317,   326.224,    36.665,    41.140,     0.000,
 40544.458,   115.731,    23.832,     4.216,     0.383,  5016.107,     0.000,     0.000,    18.826,  1865.885,     1.000,     4.216,  -187.527,     0.000,   211.240,   326.114,    35.351,    37.302,     0.000,
 40544.501,   115.570,    23.831,     4.191,     0.387,  5014.524,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.191,  -212.346,     0.000,   211.772,   325.996,    48.750,    49.372,     0.000,
 40544.542,   121.503,    23.831,     4.166,     0.374,  5084.982,     0.000,     0.000,    18.825,  1865.885,     1.000,     4.166,  -196.778,     0.000,   214.375,   325.878,    45.006,    40.268,     0.000,
 40544.585,   120.168,    23.829,     4.140,     0.373,  5133.653,     0.000,     0.000,    18.823,  1865.885,     1.000,     4.140,  -193.095,     0.000,   251.570,   325.759,    64.360,    54.547,     0.000,
 40544.626,   110.663,    23.833,     4.117,     0.393,  5149.658,     0.000,     0.000,    18.827,  1865.885,     1.000,     4.117,  -196.007,     0.000,   236.328,   325.648,    57.783,    48.904,     0.000,
 40544.668,   120.401,    23.829,     4.094,     0.427,  5151.226,     0.000,     0.000,    18.823,  1865.885,     1.000,     4.094,  -189.970,     0.000,   251.790,   325.542,    62.561,    53.657,     0.000,
 40544.708,   126.016,    23.830,     4.076,     0.430,  5070.577,     0.000,     0.000,    18.824,  1865.885,     1.000,     4.076,  -159.833,     0.000,   252.367,   325.454,    46.395,    40.351,     0.000,
