$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:20.      

JDAY,T(C)
  40544.0000,  -99.00
  40544.0419,  -99.00
  40544.0834,  -99.00
  40544.1250,  -99.00
  40544.1679,  -99.00
  40544.2096,  -99.00
  40544.2500,  -99.00
  40544.2930,  -99.00
  40544.3346,  -99.00
  40544.3750,  -99.00
  40544.4178,  -99.00
  40544.4584,  -99.00
  40544.5000,  -99.00
  40544.5419,  -99.00
  40544.5834,  -99.00
  40544.6250,  -99.00
  40544.6679,  -99.00
  40544.7084,  -99.00
  40544.7500,  -99.00
  40544.7930,  -99.00
  40544.8335,  -99.00
  40544.8750,  -99.00
  40544.9168,  -99.00
  40544.9584,  -99.00
  40545.0000,  -99.00
  40545.0422,  -99.00
  40545.0834,  -99.00
  40545.1250,  -99.00
  40545.1680,  -99.00
  40545.2084,  -99.00
  40545.2500,  -99.00
  40545.2927,  -99.00
  40545.3334,  -99.00
  40545.3750,  -99.00
  40545.4169,  -99.00
  40545.4585,  -99.00
  40545.5000,  -99.00
  40545.5419,  -99.00
  40545.5836,  -99.00
  40545.6250,  -99.00
  40545.6669,  -99.00
  40545.7085,  -99.00
  40545.7500,  -99.00
  40545.7926,  -99.00
  40545.8336,  -99.00
  40545.8750,  -99.00
  40545.9178,  -99.00
  40545.9585,  -99.00
  40546.0000,  -99.00
  40546.0429,  -99.00
  40546.0835,  -99.00
  40546.1250,  -99.00
  40546.1672,  -99.00
  40546.2084,  -99.00
  40546.2500,  -99.00
  40546.2928,  -99.00
  40546.3335,  -99.00
  40546.3750,  -99.00
  40546.4175,  -99.00
  40546.4584,  -99.00
  40546.5000,  -99.00
  40546.5429,  -99.00
  40546.5847,  -99.00
  40546.6250,  -99.00
  40546.6678,  -99.00
  40546.7095,  -99.00
  40546.7500,  -99.00
  40546.7918,  -99.00
  40546.8346,  -99.00
  40546.8750,  -99.00
  40546.9173,  -99.00
  40546.9596,  -99.00
  40547.0000,  -99.00
  40547.0421,  -99.00
  40547.0834,  -99.00
  40547.1250,  -99.00
  40547.1675,  -99.00
  40547.2094,  -99.00
  40547.2500,  -99.00
  40547.2919,  -99.00
  40547.3334,  -99.00
  40547.3750,  -99.00
  40547.4179,  -99.00
  40547.4595,  -99.00
  40547.5000,  -99.00
