$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:7.       

JDAY,QWD(m3s-1)
  40544.0000,      3.6440
  40544.0419,      3.7711
  40544.0834,      3.9019
  40544.1250,      4.0353
  40544.1679,      4.1675
  40544.2096,      4.2989
  40544.2500,      4.4269
  40544.2930,      4.5609
  40544.3346,      4.6919
  40544.3750,      4.8197
  40544.4178,      4.9529
  40544.4584,      5.0809
  40544.5000,      5.2133
  40544.5419,      5.3434
  40544.5834,      5.4739
  40544.6250,      5.6065
  40544.6679,      5.7398
  40544.7084,      5.8669
  40544.7500,      6.0009
  40544.7930,      6.1330
  40544.8335,      6.2599
  40544.8750,      6.3933
  40544.9168,      6.5221
  40544.9584,      6.6529
  40545.0000,      6.7863
  40545.0422,      6.7614
  40545.0834,      6.7345
  40545.1250,      6.7074
  40545.1680,      6.6794
  40545.2084,      6.6530
  40545.2500,      6.6258
  40545.2927,      6.5982
  40545.3334,      6.5715
  40545.3750,      6.5440
  40545.4169,      6.5171
  40545.4585,      6.4900
  40545.5000,      6.4622
  40545.5419,      6.4356
  40545.5836,      6.4085
  40545.6250,      6.3812
  40545.6669,      6.3541
  40545.7085,      6.3270
  40545.7500,      6.2994
  40545.7926,      6.2722
  40545.8336,      6.2455
  40545.8750,      6.2184
  40545.9178,      6.1905
  40545.9585,      6.1640
  40546.0000,      6.1366
  40546.0429,      6.0867
  40546.0835,      6.0380
  40546.1250,      5.9883
  40546.1672,      5.9380
  40546.2084,      5.8886
  40546.2500,      5.8374
  40546.2928,      5.7879
  40546.3335,      5.7392
  40546.3750,      5.6884
  40546.4175,      5.6389
  40546.4584,      5.5898
  40546.5000,      5.5397
  40546.5429,      5.4889
  40546.5847,      5.4390
  40546.6250,      5.3897
  40546.6678,      5.3395
  40546.7095,      5.2897
  40546.7500,      5.2409
  40546.7918,      5.1914
  40546.8346,      5.1402
  40546.8750,      5.0916
  40546.9173,      5.0414
  40546.9596,      4.9908
  40547.0000,      4.9418
  40547.0421,      5.0511
  40547.0834,      5.1622
  40547.1250,      5.2768
  40547.1675,      5.3894
  40547.2094,      5.5023
  40547.2500,      5.6134
  40547.2919,      5.7245
  40547.3334,      5.8362
  40547.3750,      5.9505
  40547.4179,      6.0642
  40547.4595,      6.1766
  40547.5000,      6.2870
  40547.5418,      6.3990
  40547.5842,      6.5130
  40547.6250,      6.6252
  40547.6669,      6.7362
  40547.7094,      6.8503
  40547.7500,      6.9619
  40547.7922,      7.0743
  40547.8341,      7.1870
  40547.8750,      7.2982
  40547.9171,      7.4107
  40547.9591,      7.5240
  40548.0000,      7.6343
  40548.0417,      7.6348
  40548.0841,      7.6326
  40548.1250,      7.6304
  40548.1675,      7.6282
  40548.2094,      7.6260
  40548.2500,      7.6238
  40548.2919,      7.6216
  40548.3342,      7.6193
  40548.3750,      7.6171
  40548.4167,      7.6150
  40548.4593,      7.6127
  40548.5000,      7.6105
  40548.5420,      7.6083
  40548.5842,      7.6061
  40548.6250,      7.6039
  40548.6672,      7.6017
  40548.7092,      7.5995
  40548.7500,      7.5973
  40548.7922,      7.5951
  40548.8343,      7.5928
  40548.8750,      7.5906
  40548.9174,      7.5884
  40548.9594,      7.5862
  40549.0000,      7.5840
  40549.0419,      7.4810
  40549.0843,      7.3734
  40549.1250,      7.2688
  40549.1674,      7.1631
  40549.2095,      7.0568
  40549.2500,      6.9516
  40549.2923,      6.8468
  40549.3344,      6.7404
  40549.3750,      6.6366
  40549.4170,      6.5311
  40549.4595,      6.4237
  40549.5000,      6.3192
  40549.5421,      6.2145
  40549.5845,      6.1072
  40549.6250,      6.0040
  40549.6674,      5.8971
  40549.7096,      5.7907
  40549.7500,      5.6879
  40549.7920,      5.5818
  40549.8345,      5.4741
  40549.8750,      5.3695
  40549.9177,      5.2638
  40549.9585,      5.1608
  40550.0000,      5.0547
  40550.0419,      5.0623
  40550.0833,      5.0728
  40550.1250,      5.0837
  40550.1677,      5.0943
  40550.2096,      5.1049
  40550.2500,      5.1153
  40550.2920,      5.1258
  40550.3336,      5.1363
  40550.3750,      5.1472
  40550.4171,      5.1575
  40550.4585,      5.1681
  40550.5000,      5.1787
  40550.5423,      5.1893
  40550.5836,      5.1998
