$Water balance Flows: computed flow to complete water balance,
NLJ,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,0
44430.2,0
44430.25,-1925.39
44430.29,0
44430.33,0
44430.37,0
44430.41,-1194.94
44430.45,0
44430.5,0
44430.54,0
44430.58,-605.73
44430.62,0
44430.66,0
44430.7,0
44430.75,-77.11
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,0
44431.08,0
44431.12,0
44431.16,0
44431.2,0
44431.25,0
44431.29,-183.72
44431.33,0
44431.37,0
44431.41,0
44431.45,-452.75
44431.5,0
44431.54,0
44431.58,0
44431.62,-170.8
44431.66,-66
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,0
44432.08,0
44432.12,0
44432.16,0
44432.2,-411.85
44432.25,0
44432.29,0
44432.33,0
44432.37,-128.05
44432.41,-691.71
44432.45,0
44432.5,0
44432.54,0
44432.58,-473.27
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,0
44432.83,0
44432.87,0
44432.91,0
44432.95,0
44433,0
44433.04,0
44433.08,0
44433.12,0
44433.16,0
44433.2,0
44433.25,0
44433.29,0
44433.33,0
44433.37,-75.91
44433.41,-0.58
44433.45,-58.95
44433.5,-112.09
44433.54,-252.94
44433.58,-63.22
44433.62,-146.94
44433.66,-11.19
44433.7,-238.96
44433.75,-153.5
44433.79,0
44433.83,-48.72
44433.87,-16.18
44433.91,-159.37
44433.95,0
44434,0
44434.04,0
44434.08,0
44434.12,0
44434.16,0
44434.2,0
44434.25,0
44434.29,0
44434.33,0
44434.37,0
44434.41,0
44434.45,0
44434.5,0
44434.54,0
44434.58,0
44434.62,0
44434.66,0
44434.7,0
44434.75,0
44434.79,0
44434.83,0
44434.87,0
44434.91,0
44434.95,0
44435,0
44435.04,0
44435.08,0
44435.12,0
44435.16,0
44435.2,0
44435.25,0
44435.29,0
44435.33,0
44435.37,0
44435.41,0
44435.45,0
44435.5,0
44435.54,0
44435.58,0
44435.62,0
44435.66,0
44435.7,0
44435.75,0
44435.79,0
44435.83,0
44435.87,0
44435.91,0
44435.95,0
44436,0
44436.04,0
44436.08,0
44436.12,0
44436.16,0
44436.2,0
44436.25,0
44436.29,0
44436.33,0
44436.37,0
44436.41,0
44436.45,0
44436.5,0
44436.54,0
44436.58,0
44436.62,0
44436.66,0
44436.7,0
44436.75,0
44436.79,0
44436.83,0
44436.87,0
44436.91,0
44436.95,0
44437,0
44437.04,0
44437.08,0
44437.12,0
44437.16,0
44437.2,0
44437.25,0
44437.29,0
44437.33,0
44437.37,0
44437.41,0
44437.45,0
44437.5,0
44437.54,0
44437.58,0
44437.62,0
44437.66,0
44437.7,0
44437.75,0
44437.79,0
44437.83,0
44437.87,0
44437.91,0
44437.95,0
44438,0
44438.04,0
44438.08,0
44438.12,0
44438.16,0
44438.2,0
44438.25,0
44438.29,0
44438.33,0
44438.37,0
44438.41,0
44438.45,0
44438.5,0
44438.54,0
44438.58,-57.56
44438.62,0
44438.66,0
44438.7,0
44438.75,0
44438.79,0
44438.83,0
44438.87,0
44438.91,0
44438.95,0
44439,0
44439.04,0
44439.08,0
44439.12,0
44439.16,0
44439.2,0
44439.25,0
44439.29,0
44439.33,0
44439.37,0
44439.41,0
44439.45,0
44439.5,0
44439.54,0
44439.58,0
44439.62,0
44439.66,0
44439.7,0
44439.75,0
44439.79,0
44439.83,0
44439.87,0
44439.91,0
44439.95,0
44440,0
44440.04,0
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-583.96
44440.29,-221.94
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
44440.58,0
44440.62,-257.07
44440.66,0
44440.7,0
44440.75,0
44440.79,0
44440.83,0
44440.87,0
44440.91,0
44440.95,0
44441,0
44441.04,0
44441.08,0
44441.12,0
44441.16,0
44441.2,0
44441.25,0
44441.29,0
44441.33,0
44441.37,0
44441.41,0
44441.45,0
44441.5,0
44441.54,0
44441.58,0
44441.62,0
44441.66,0
44441.7,0
44441.75,0
44441.79,0
44441.83,-294.12
44441.87,-633
44441.91,0
44441.95,0
44442,0
44442.04,-403.53
44442.08,0
44442.12,0
44442.16,0
44442.2,0
44442.25,0
44442.29,0
44442.33,-32.75
44442.37,-72.35
44442.41,-321.72
44442.45,0
44442.5,0
44442.54,0
44442.58,0
44442.62,0
44442.66,0
44442.7,0
44442.75,0
44442.79,0
44442.83,0
44442.87,-123.84
44442.91,0
44442.95,0
44443,0
44443.04,0
44443.08,0
44443.12,0
44443.16,0
44443.2,0
44443.25,0
44443.29,0
44443.33,0
44443.37,0
44443.41,-460.4
44443.45,0
44443.5,0
44443.54,0
44443.58,-49.27
44443.62,-438.53
44443.66,0
44443.7,0
44443.75,0
44443.79,-73.15
44443.83,-344.04
44443.87,0
44443.91,0
44443.95,0
44444,0
44444.04,0
44444.08,0
44444.12,0
44444.16,0
44444.2,0
44444.25,0
44444.29,0
44444.33,0
44444.37,0
44444.41,0
44444.45,0
44444.5,0
44444.54,0
44444.58,0
44444.62,0
44444.66,0
44444.7,0
44444.75,0
44444.79,0
44444.83,0
44444.87,0
44444.91,0
44444.95,0
44445,0
44445.04,0
44445.08,0
44445.12,0
44445.16,0
44445.2,0
44445.25,0
44445.29,0
44445.33,0
44445.37,0
44445.41,0
44445.45,0
44445.5,0
44445.54,0
44445.58,0
44445.62,0
44445.66,0
44445.7,0
44445.75,0
44445.79,0
44445.83,0
44445.87,0
44445.91,0
44445.95,0
44446,0
44446.04,0
44446.08,0
44446.12,0
44446.16,0
44446.2,0
44446.25,0
44446.29,0
44446.33,0
44446.37,0
44446.41,0
44446.45,0
44446.5,0
44446.54,0
44446.58,0
44446.62,0
44446.66,0
44446.7,0
44446.75,0
44446.79,0
44446.83,0
44446.87,0
44446.91,0
44446.95,0
44447,0
44447.04,0
44447.08,0
44447.12,0
44447.16,0
44447.2,0
44447.25,0
44447.29,0
44447.33,0
44447.37,0
44447.41,0
44447.45,0
44447.5,0
44447.54,0
44447.58,0
44447.62,0
44447.66,0
44447.7,0
44447.75,0
44447.79,0
44447.83,0
44447.87,0
44447.91,0
44447.95,0
44448,0
44448.04,0
44448.08,0
44448.12,0
44448.16,0
44448.2,0
44448.25,0
44448.29,0
44448.33,0
44448.37,0
44448.41,0
44448.45,0
44448.5,0
44448.54,0
44448.58,0
44448.62,0
44448.66,0
44448.7,0
44448.75,0
44448.79,0
44448.83,0
44448.87,0
44448.91,0
44448.95,0
44449,0
44449.04,0
44449.08,0
44449.12,0
44449.16,0
44449.2,0
44449.25,0
44449.29,0
44449.33,0
44449.37,0
44449.41,0
44449.45,0
44449.5,0
44449.54,-50.94
44449.58,0
44449.62,0
44449.66,0
44449.7,0
44449.75,0
44449.79,0
44449.83,0
44449.87,0
44449.91,0
44449.95,0
44450,0
44450.04,0
44450.08,0
44450.12,0
44450.16,0
44450.2,0
44450.25,0
44450.29,0
44450.33,0
44450.37,0
44450.41,0
44450.45,0
44450.5,-114.09
44450.54,-94.79
44450.58,-124.17
44450.62,0
44450.66,0
44450.7,0
44450.75,-9.17
44450.79,0
44450.83,0
44450.87,-20.93
44450.91,0
44450.95,0
44451,0
44451.04,0
44451.08,0
44451.12,0
44451.16,0
44451.2,0
44451.25,0
44451.29,0
44451.33,0
44451.37,0
44451.41,0
44451.45,0
44451.5,0
44451.54,0
44451.58,0
44451.62,0
44451.66,0
44451.7,0
44451.75,0
44451.79,0
44451.83,0
44451.87,0
44451.91,0
44451.95,0
44452,0
44452.04,0
44452.08,0
44452.12,0
44452.16,0
44452.2,0
44452.25,0
44452.29,0
44452.33,0
44452.37,0
44452.41,0
44452.45,0
44452.5,0
44452.54,0
44452.58,0
44452.62,0
44452.66,0
44452.7,0
44452.75,0
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,0
44453.04,0
44453.08,0
44453.12,0
44453.16,0
44453.2,0
44453.25,0
44453.29,0
44453.33,0
44453.37,0
44453.41,0
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-199.04
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-86.59
44454.33,0
44454.37,0
44454.41,-71.45
44454.45,-168.88
44454.5,0
44454.54,-140.03
44454.58,-78.94
44454.62,0
44454.66,-457.14
44454.7,0
44454.75,-159.73
44454.79,-270.67
44454.83,0
44454.87,0
44454.91,0
44454.95,0
44455,-92.88
44455.04,-103.53
44455.08,-34.04
44455.12,-21.47
44455.16,-32.81
44455.2,0
44455.25,0
44455.29,-10.86
44455.33,-411.27
44455.37,-193.06
44455.41,-80.56
44455.45,-351.55
44455.5,0
44455.54,0
