$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197.33,-0.99,-4.04,0.95,0.79,3.88,617.89
44197.38,-0.49,-4.66,0.9,0.79,3.14,617.86
44197.42,2.71,-3.44,0.88,0.66,3.37,617.95
44197.46,3.37,-3.33,0.41,0.13,2.83,618.24
44197.5,3.51,-3.35,0.56,0.93,2.91,617.79
44197.54,7.72,-2.89,0.99,0.66,2.46,616.9
44197.58,7.94,-2.59,1.26,0.54,2.14,615.79
44197.62,8.11,-2.35,1.47,0.45,3.47,615.42
44197.67,8.86,-2.07,1.52,0.32,3.95,615.07
44197.71,8.43,-2.06,1.72,0.27,6.05,615.32
44197.75,3.34,-1,1.74,0.38,4.05,615.1
44197.79,4.83,-2.15,1.63,0.49,3.12,615.14
44197.83,5.38,-2.06,1.52,0.59,2.2,615.53
44197.88,5.04,-1.88,1.44,0.62,2.63,615.86
44197.92,4.63,-1.29,1.2,0.56,1.3,616.13
44197.96,2.58,-1.43,0.99,0.47,0.63,616.3
44198,2.28,-1.45,0.69,0.08,1.07,616.19
44198.04,1.84,-1.31,0.47,1.96,1.85,616
44198.08,1.41,-1.53,0.48,1.43,5.78,615.49
44198.12,1.09,-1.67,0.62,1.45,1.52,615.08
44198.17,0.68,-1.7,0.54,1.27,0.85,614.76
44198.21,0.27,-2.03,0.61,1.31,1.25,614.46
44198.25,0.13,-1.89,0.99,1.46,1.26,614.3
44198.29,0.23,-1.88,0.78,1.32,0.98,614.18
44198.33,0.28,-1.95,0.49,1.01,7.24,614.9
44198.38,-0.24,-2.24,0.5,0.86,9.28,615.4
44198.42,4.94,-0.3,0.52,1.36,8.6,615.57
44198.46,5.37,0.08,0.65,2.03,0.68,615.7
44198.5,6.43,1.02,0.64,2.31,0.71,614.93
44198.54,10.49,1.86,0.84,2.77,0.9,613.95
44198.58,11.13,2.6,1.05,2.9,0.59,612.97
44198.62,11.56,3.21,1.33,3.04,2.87,612.26
44198.67,12.04,3.43,1.65,0.02,0.81,611.8
44198.71,11.43,3.59,1.82,0.16,2.29,611.86
44198.75,6.88,2.48,1.93,0.38,2.23,611.82
44198.79,7.85,2.92,2,0.28,0.93,612.08
44198.83,7.59,2.85,1.81,0.31,0.29,612.61
44198.88,7.49,3.43,1.7,0.5,0.41,613.03
44198.92,6.42,3.34,1.42,0.41,0.45,613.22
44198.96,4.19,2.62,1.03,0.01,0.23,613.14
44199,4.14,2.79,0.8,2.61,2.19,612.72
44199.04,3.74,2.65,0.63,2.27,3.32,612.74
44199.08,3.4,2.04,0.5,1.87,8.91,612.34
44199.12,2.41,0.93,0.55,1.79,10,612.25
44199.17,1.43,0.35,0.52,1.58,10,611.97
44199.21,1.4,0.31,0.37,1.97,10,612.04
44199.25,1.75,1.02,0.51,2.79,10,612.06
44199.29,1.85,1,0.67,1.95,8.88,612.27
44199.33,1.79,0.78,0.85,1.57,8.56,612.64
44199.38,1.34,0.01,1.03,1.22,10,612.93
44199.42,3.42,1.43,0.94,1.3,9.28,613.17
44199.46,5.89,2.51,0.64,1.65,5.5,613.11
44199.5,7.17,2.99,0.7,2.61,4.03,612.54
44199.54,10.27,4.03,0.89,2.88,2.28,611.63
44199.58,10.84,4.17,1.01,2.78,2.54,610.49
44199.62,10.95,4.71,1.32,0.01,3.34,609.85
44199.67,10.47,5.02,1.7,0.2,1.8,609.6
44199.71,9.05,5.12,1.85,0.34,1.59,609.9
44199.75,7.2,3.12,1.37,0.48,2.32,610.72
44199.79,5.91,3.66,1.88,0.36,4.8,611.03
44199.83,5.39,3.53,1.8,0.39,7.12,611.46
44199.88,5.08,3.41,1.69,0.45,7.04,611.82
44199.92,4.35,2.74,1.66,0.44,10,612.19
44199.96,3.15,1.98,1.27,0.41,10,612.27
44200,3,1.55,1.2,0.45,10,612.21
44200.04,2.63,1.23,1.22,0.43,10,612.35
44200.08,2.51,0.91,1.21,0.34,10,612.18
44200.12,2.49,0.74,1.1,0.39,10,612.12
44200.17,1.75,0.47,0.95,0.32,10,611.9
44200.21,1.55,0.1,0.86,0.39,10,611.5
44200.25,0.96,-0.38,0.59,2.62,10,611.42
44200.29,0.98,-0.41,0.63,2.01,10,611.45
44200.33,1.02,-0.43,0.75,1.93,9.76,611.57
44200.38,0.58,-0.89,0.91,1.99,10,611.51
44200.42,2.26,-1.59,0.77,2.64,10,611.6
44200.46,3.69,-0.19,0.92,0.19,8.72,611.65
44200.5,4.74,0.76,1.14,0.18,8.48,611.28
44200.54,8.2,0.61,1.06,0.1,9.6,610.55
44200.58,9.06,1.31,1.11,0.22,9.12,609.78
44200.62,8.51,1.34,1.44,0.53,6.16,609.39
44200.67,8.76,1.34,1.66,0.56,4.47,609.61
44200.71,7.82,1.36,1.79,0.44,3.11,610.03
44200.75,4.73,1.25,1.3,0.38,4.8,610.47
44200.79,3.74,1.37,2.11,0.37,2.42,611.14
44200.83,4.9,0.96,1.58,0.2,0.05,611.74
44200.88,5.14,1.04,0.88,0.29,0.11,612.14
44200.92,4.71,1.36,0.71,0.32,0.16,612.54
44200.96,2.16,0.17,0.61,3.11,0.1,612.76
44201,1.38,0.28,0.64,1.96,0.67,612.61
44201.04,0.33,-0.12,0.84,1.46,0.77,612.24
44201.08,-0.72,-1.24,1.04,1.15,5.87,612.15
44201.12,-0.8,-1.45,1.16,0.97,7.51,611.9
44201.17,-2.05,-2.21,1.18,0.93,10,611.52
44201.21,-2.48,-2.6,1.1,0.84,10,611.4
44201.25,-1.39,-1.38,1.54,0.77,10,611.52
44201.29,-1.44,-1.44,1.5,0.8,10,611.14
44201.33,-1.13,-1.13,1.25,0.63,10,611.67
44201.38,-1.4,-2.28,0.81,0.65,10,611.94
44201.42,2.16,-0.45,0.33,0.98,10,612.58
44201.46,3.18,0.32,0.64,3.03,7.04,612.73
44201.5,4.53,0.97,1.01,3.03,4.78,612.25
44201.54,9.51,2.37,1.16,3.13,3.73,611.56
44201.58,10.25,2.89,1.29,0.03,6.07,610.78
44201.62,10.56,3.29,1.57,0.02,7.25,610.11
44201.67,10.88,3.45,1.86,0.13,9.47,609.88
44201.71,10.13,3.5,1.9,0.31,9.57,609.88
44201.75,6.22,2.09,1.46,0.51,9.9,609.95
44201.79,4.8,2.36,1.97,0.57,8.45,610.53
44201.83,4.45,2.78,1.86,0.56,8.24,610.91
44201.88,4.75,3.09,1.64,0.76,10,611.77
44201.92,4.18,2.68,1.49,0.75,10,612.61
44201.96,2.49,1.48,1.64,0.76,9.99,612.83
44202,2.36,1.14,1.34,0.79,9.99,613.34
44202.04,1.94,0.61,1.14,0.74,9.76,613.36
44202.08,1.71,0.17,0.92,0.73,9.23,613.55
44202.12,1.5,-0.13,0.74,0.57,9.31,613.42
44202.17,0.67,-0.6,0.51,0.72,8.85,613.7
44202.21,1.07,-0.32,0.68,0.63,8.72,613.51
44202.25,0.52,-0.15,0.94,3.12,8.99,613.77
44202.29,0.81,-0.09,0.4,2.76,9.17,613.97
44202.33,1.17,-0.01,0.32,2.57,9.13,614.36
44202.38,1.05,-0.35,0.49,1.87,9.55,614.56
44202.42,3.11,-0.78,0.67,1.57,10,614.83
44202.46,3.05,-0.84,0.85,2.05,9.36,615.16
44202.5,2.91,-0.7,1,2.65,10,614.82
44202.54,5.96,0.22,1.13,3.01,10,614.14
44202.58,5.56,0.49,1.32,0.07,10,613.36
44202.62,5.6,0.66,1.45,3.07,10,612.74
44202.67,6.72,1.32,1.37,3.04,9.36,612.64
44202.71,6.21,1.47,1.63,0.17,3.84,612.7
44202.75,3.21,0.87,1.22,0.45,3.44,612.8
44202.79,2,0.91,1.77,0.66,3.92,613.25
44202.83,2.56,1.16,1.62,0.81,7.44,613.86
