$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,85.896
44430.2,0
44430.25,-152.76
44430.29,0
44430.33,111.648
44430.37,0
44430.41,-94.81
44430.45,0
44430.5,0
44430.54,0
44430.58,-48.06
44430.62,0
44430.66,0
44430.7,0
44430.75,-6.12
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,45.264
44431.08,0
44431.12,0
44431.16,0
44431.2,34.592
44431.25,0
44431.29,-14.58
44431.33,0
44431.37,0.224
44431.41,0
44431.45,-35.92
44431.5,0
44431.54,0
44431.58,0
44431.62,-13.55
44431.66,-5.24
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,2.152
44432.08,34.992
44432.12,79.248
44432.16,0
44432.2,-32.68
44432.25,0
44432.29,21.448
44432.33,0
44432.37,-10.16
44432.41,-54.88
44432.45,0
44432.5,0
44432.54,0
44432.58,-37.55
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,2.992
44432.83,8.712
44432.87,17.512
44432.91,0
44432.95,7.976
44433,0.2
44433.04,31.2
44433.08,29.568
44433.12,19.328
44433.16,10.104
44433.2,7.792
44433.25,0.728
44433.29,0
44433.33,0
44433.37,-6.02
44433.41,-0.05
44433.45,-4.68
44433.5,-8.89
44433.54,-20.07
44433.58,-5.02
44433.62,-11.66
44433.66,-0.89
44433.7,-18.96
44433.75,-12.18
44433.79,0
44433.83,-3.87
44433.87,-1.28
44433.91,-12.64
44433.95,0
44434,7.8
44434.04,16.328
44434.08,17.96
44434.12,7.952
44434.16,18.616
44434.2,16.464
44434.25,0.64
44434.29,17.112
44434.33,2.056
44434.37,5.4
44434.41,6.208
44434.45,3
44434.5,1.688
44434.54,10.52
44434.58,10.024
44434.62,16.256
44434.66,21.392
44434.7,18.352
44434.75,7.448
44434.79,14.608
44434.83,16.864
44434.87,21.008
44434.91,15.824
44434.95,13.96
44435,12.072
44435.04,28.136
44435.08,27.328
44435.12,21.992
44435.16,20.712
44435.2,26.416
44435.25,9.216
44435.29,26.616
44435.33,16.464
44435.37,10.096
44435.41,8.888
44435.45,15.488
44435.5,8.032
44435.54,16.008
44435.58,11.744
44435.62,14.584
44435.66,17.424
44435.7,16.72
44435.75,4.36
44435.79,20.624
44435.83,14.32
44435.87,15.224
44435.91,14.888
