$Water balance Flows: computed flow to complete water balance,
MGH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,585.936
44430.2,0
44430.25,-1042.02
44430.29,0
44430.33,761.616
44430.37,0
44430.41,-646.7
44430.45,0
44430.5,0
44430.54,0
44430.58,-327.82
44430.62,0
44430.66,0
44430.7,0
44430.75,-41.73
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,308.792
44431.08,0
44431.12,0
44431.16,0
44431.2,235.992
44431.25,0
44431.29,-99.43
44431.33,0
44431.37,1.552
44431.41,0
44431.45,-245.03
44431.5,0
44431.54,0
44431.58,0
44431.62,-92.44
44431.66,-35.72
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,14.664
44432.08,238.688
44432.12,540.592
44432.16,0
44432.2,-222.89
44432.25,0
44432.29,146.32
44432.33,0
44432.37,-69.3
44432.41,-374.35
44432.45,0
44432.5,0
44432.54,0
44432.58,-256.13
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,20.384
44432.83,59.448
44432.87,119.448
44432.91,0
44432.95,54.432
44433,1.376
44433.04,212.832
44433.08,201.68
44433.12,131.824
44433.16,68.92
44433.2,53.176
44433.25,4.96
44433.29,0
44433.33,0
44433.37,-41.08
44433.41,-0.32
44433.45,-31.9
44433.5,-60.66
44433.54,-136.89
44433.58,-34.21
44433.62,-79.52
44433.66,-6.06
44433.7,-129.32
44433.75,-83.08
44433.79,0
44433.83,-26.37
44433.87,-8.75
44433.91,-86.25
44433.95,0
44434,53.208
44434.04,111.384
44434.08,122.536
44434.12,54.248
44434.16,126.992
44434.2,112.312
44434.25,4.352
44434.29,116.712
44434.33,14.008
44434.37,36.824
44434.41,42.36
44434.45,20.48
44434.5,11.504
44434.54,71.776
44434.58,68.36
44434.62,110.864
44434.66,145.928
44434.7,125.2
44434.75,50.792
44434.79,99.648
44434.83,115.056
44434.87,143.312
44434.91,107.944
44434.95,95.248
44435,82.32
44435.04,191.904
44435.08,186.416
44435.12,150.008
44435.16,141.304
44435.2,180.192
44435.25,62.84
44435.29,181.536
44435.33,112.312
44435.37,68.864
44435.41,60.656
44435.45,105.648
44435.5,54.8
44435.54,109.2
44435.58,80.12
44435.62,99.48
44435.66,118.864
44435.7,114.048
44435.75,29.76
44435.79,140.688
44435.83,97.664
44435.87,103.856
44435.91,101.584
44435.95,99.536
44436,83.656
44436.04,117.272
44436.08,0
44436.12,0
44436.16,386.872
44436.2,256.424
44436.25,56.312
44436.29,157.584
44436.33,101.16
44436.37,91.2
44436.41,237.96
44436.45,0
44436.5,44.264
44436.54,201.264
44436.58,208.856
44436.62,64.28
44436.66,44.912
44436.7,275.92
44436.75,74.416
44436.79,0
44436.83,0
44436.87,0
44436.91,222.312
44436.95,149.072
44437,0
44437.04,0
44437.08,192.776
44437.12,30.84
44437.16,223.704
44437.2,123.128
44437.25,38.792
44437.29,211.6
44437.33,0
44437.37,0
44437.41,122.392
44437.45,0
44437.5,0
44437.54,37.28
44437.58,142.68
44437.62,90.464
44437.66,0
44437.7,22.888
44437.75,63.272
44437.79,0
44437.83,99.984
44437.87,120.112
44437.91,0
44437.95,176.328
44438,55.232
44438.04,164.648
44438.08,69.448
44438.12,143.536
44438.16,226.36
44438.2,0
44438.25,107.888
44438.29,285.024
44438.33,0
44438.37,0
44438.41,150.08
44438.45,0
44438.5,0
44438.54,0
44438.58,-31.15
44438.62,0
44438.66,75.512
44438.7,60.68
44438.75,55.512
44438.79,103.512
44438.83,33.896
44438.87,82.672
44438.91,242.944
44438.95,0
44439,28.368
44439.04,175.512
44439.08,0
44439.12,0
44439.16,114.288
44439.2,0
44439.25,0
44439.29,67.672
44439.33,0
44439.37,131.424
44439.41,0
44439.45,0
44439.5,4.976
44439.54,1.768
44439.58,31.096
44439.62,52.72
44439.66,17.256
44439.7,0
44439.75,20.752
44439.79,49
44439.83,64.296
44439.87,39.472
44439.91,49.304
44439.95,27.456
44440,20.408
44440.04,94.608
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-316.04
44440.29,-120.11
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
44440.58,0
44440.62,-139.13
44440.66,0
44440.7,0
44440.75,0
44440.79,0
44440.83,0
44440.87,18.552
44440.91,136.544
44440.95,0
44441,0
44441.04,33.656
44441.08,162.152
44441.12,92.248
44441.16,24.432
44441.2,49.056
44441.25,132.752
44441.29,0
44441.33,0
44441.37,4.8
44441.41,0
44441.45,50.176
44441.5,0
44441.54,0
44441.58,0
44441.62,233.464
44441.66,0
44441.7,0
44441.75,0
44441.79,0
44441.83,-159.18
44441.87,-342.58
44441.91,0
44441.95,136.04
44442,0
44442.04,-218.39
44442.08,0
44442.12,0
44442.16,0
44442.2,0
44442.25,0
44442.29,0
44442.33,-17.72
44442.37,-39.16
44442.41,-174.11
44442.45,0
44442.5,0
44442.54,0
44442.58,0
44442.62,34.792
44442.66,0
44442.7,0
44442.75,0
44442.79,0
44442.83,0
44442.87,-67.02
44442.91,0
44442.95,0
44443,0
44443.04,71.304
44443.08,197.872
44443.12,0
44443.16,203.192
44443.2,23.76
44443.25,149.664
44443.29,0
44443.33,0
44443.37,0
44443.41,-249.17
44443.45,0
44443.5,0
44443.54,0
44443.58,-26.66
44443.62,-237.33
44443.66,0
44443.7,46.224
44443.75,0
44443.79,-39.59
44443.83,-186.2
44443.87,0
44443.91,331.768
44443.95,53.176
44444,0
44444.04,107.344
44444.08,126.176
44444.12,99.912
44444.16,249.56
44444.2,0
44444.25,82.112
44444.29,126.12
44444.33,167.864
44444.37,0
44444.41,23
44444.45,98.56
44444.5,137.296
44444.54,0
44444.58,48.688
44444.62,128.744
44444.66,142.88
44444.7,0
44444.75,84.944
44444.79,100.352
44444.83,131.056
44444.87,83.256
44444.91,18.04
44444.95,56.672
44445,85.384
44445.04,106.848
44445.08,85.192
44445.12,78.72
44445.16,207.168
44445.2,127.528
44445.25,11.92
44445.29,117.296
44445.33,71.832
44445.37,102.736
44445.41,0
44445.45,0
44445.5,95.664
44445.54,0
44445.58,438.072
44445.62,2.04
44445.66,113.744
44445.7,178.68
44445.75,90.616
44445.79,49.08
44445.83,57.936
44445.87,108.928
44445.91,155.256
44445.95,0
44446,61.248
44446.04,177.248
44446.08,205.016
44446.12,31.224
44446.16,151.952
44446.2,131.08
44446.25,82.728
44446.29,64.712
44446.33,37.792
44446.37,59.52
44446.41,0
44446.45,0
44446.5,64.888
44446.54,318.168
44446.58,14.848
44446.62,97.368
44446.66,160.104
44446.7,0
44446.75,51.192
44446.79,381.064
44446.83,39.64
44446.87,138.904
44446.91,164.984
44446.95,175.176
44447,7.264
44447.04,162.32
44447.08,139.712
44447.12,117.208
44447.16,128.872
44447.2,137.528
44447.25,48.616
44447.29,174.48
44447.33,138.536
44447.37,94.896
44447.41,234.208
44447.45,111.64
44447.5,0
44447.54,0
44447.58,211.152
44447.62,34.08
44447.66,75.416
44447.7,87.208
44447.75,0
44447.79,0
44447.83,256.36
44447.87,268.384
44447.91,137.976
44447.95,150.608
44448,36.312
44448.04,258.632
44448.08,137.776
44448.12,157.672
44448.16,181.872
44448.2,174.392
44448.25,105.08
44448.29,228.016
44448.33,4.872
44448.37,5.192
44448.41,187.952
44448.45,0
44448.5,63.584
44448.54,81.576
44448.58,177.952
44448.62,57.968
44448.66,67.576
44448.7,135.624
44448.75,88.272
44448.79,84.328
44448.83,53.2
44448.87,116.8
44448.91,128.336
44448.95,86.2
44449,33.664
44449.04,114.696
44449.08,105.592
44449.12,51.984
44449.16,110.6
44449.2,83.376
44449.25,67.344
44449.29,80.88
44449.33,93.344
44449.37,174.024
44449.41,234.992
44449.45,0
44449.5,0
44449.54,-27.57
44449.58,0
44449.62,0
44449.66,0
44449.7,11.48
44449.75,35.128
44449.79,33.928
44449.83,40.704
44449.87,27.84
44449.91,26.056
44449.95,38.464
44450,1.92
44450.04,30.12
44450.08,29.104
44450.12,36.776
44450.16,34.432
44450.2,33.392
44450.25,30.536
44450.29,33.896
44450.33,36.952
44450.37,0
44450.41,0
44450.45,0
44450.5,-61.74
44450.54,-51.3
44450.58,-67.2
44450.62,0
44450.66,0
44450.7,0
44450.75,-4.96
44450.79,0
44450.83,0
44450.87,-11.33
44450.91,0
44450.95,13.36
44451,0
44451.04,34.712
44451.08,7.336
44451.12,0
44451.16,0
44451.2,0
44451.25,20.992
44451.29,0
44451.33,0
44451.37,0
44451.41,160.88
44451.45,16.808
44451.5,59.584
44451.54,48.8
44451.58,0
44451.62,0
44451.66,27.832
44451.7,36.448
44451.75,34.24
44451.79,29.952
44451.83,32.696
44451.87,30.176
44451.91,39.976
44451.95,34.712
44452,63.656
44452.04,0
44452.08,26.896
44452.12,34.536
44452.16,26.896
44452.2,31.688
44452.25,0
44452.29,57.488
44452.33,32.944
44452.37,72.736
44452.41,76.736
44452.45,0
44452.5,81.344
44452.54,33.704
44452.58,40.48
44452.62,34.304
44452.66,36.952
44452.7,33.952
44452.75,30.384
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,119.272
44453.04,13.728
44453.08,0
44453.12,184.624
44453.16,23.2
44453.2,181.624
44453.25,0
44453.29,0
44453.33,0
44453.37,179.832
44453.41,376.016
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-107.72
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-46.86
44454.33,0
44454.37,0
44454.41,-38.67
44454.45,-91.4
44454.5,0
44454.54,-75.79
44454.58,-42.72
44454.62,0
44454.66,-247.4
44454.7,0
44454.75,-86.45
44454.79,-146.48
44454.83,0
44454.87,22.32
44454.91,0
44454.95,0
44455,-50.27
44455.04,-56.03
44455.08,-18.42
44455.12,-11.62
44455.16,-17.75
44455.2,0
44455.25,0
44455.29,-5.88
44455.33,-222.58
44455.37,-104.48
44455.41,-43.6
44455.45,-190.26
44455.5,0
44455.54,0
44455.58,0
44455.62,59.672
44455.66,40.624
44455.7,0
44455.75,14.936
44455.79,96.12
44455.83,23.392
44455.87,0
44455.91,1.328
44455.95,80.96
44456,22.584
44456.04,5.824
44456.08,38.744
44456.12,28.472
44456.16,31.072
44456.2,14.232
44456.25,18.4
44456.29,38.776
44456.33,28.824
44456.37,57.632
44456.41,27.344
44456.45,6.696
44456.5,34.608
44456.54,42.472
44456.58,0
44456.62,0
44456.66,46.504
44456.7,26.864
44456.75,12.648
44456.79,31.32
44456.83,0
44456.87,5.616
44456.91,26.616
44456.95,27.872
44457,16.656
44457.04,20.168
44457.08,69.368
