$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,243.192
44430.2,0
44430.25,-432.5
44430.29,0
44430.33,316.112
44430.37,0
44430.41,-268.42
44430.45,0
44430.5,0
44430.54,0
44430.58,-136.06
44430.62,0
44430.66,0
44430.7,0
44430.75,-17.32
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,128.168
44431.08,0
44431.12,0
44431.16,0
44431.2,97.952
44431.25,0
44431.29,-41.27
44431.33,0
44431.37,0.64
44431.41,0
44431.45,-101.7
44431.5,0
44431.54,0
44431.58,0
44431.62,-38.37
44431.66,-14.83
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,6.088
44432.08,99.072
44432.12,224.376
44432.16,0
44432.2,-92.51
44432.25,0
44432.29,60.736
44432.33,0
44432.37,-28.76
44432.41,-155.38
44432.45,0
44432.5,0
44432.54,0
44432.58,-106.31
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,8.464
44432.83,24.672
44432.87,49.576
44432.91,0
44432.95,22.592
44433,0.576
44433.04,88.336
44433.08,83.712
44433.12,54.712
44433.16,28.608
44433.2,22.072
44433.25,2.056
44433.29,0
44433.33,0
44433.37,-17.05
44433.41,-0.13
44433.45,-13.24
44433.5,-25.18
44433.54,-56.82
44433.58,-14.2
44433.62,-33.01
44433.66,-2.51
44433.7,-53.68
44433.75,-34.48
44433.79,0
44433.83,-10.94
44433.87,-3.63
44433.91,-35.8
44433.95,0
44434,22.088
44434.04,46.232
44434.08,50.864
44434.12,22.512
44434.16,52.712
44434.2,46.616
44434.25,1.808
44434.29,48.44
44434.33,5.816
44434.37,15.288
44434.41,17.584
44434.45,8.496
44434.5,4.776
44434.54,29.792
44434.58,28.368
44434.62,46.016
44434.66,60.568
44434.7,51.968
44434.75,21.08
44434.79,41.36
44434.83,47.752
44434.87,59.48
44434.91,44.8
44434.95,39.536
44435,34.168
44435.04,79.648
44435.08,77.368
44435.12,62.264
44435.16,58.648
44435.2,74.792
44435.25,26.08
44435.29,75.352
44435.33,46.616
44435.37,28.584
44435.41,25.176
44435.45,43.848
44435.5,22.744
44435.54,45.328
44435.58,33.256
44435.62,41.288
44435.66,49.336
44435.7,47.336
44435.75,12.352
44435.79,58.392
44435.83,40.536
44435.87,43.104
44435.91,42.16
44435.95,41.312
44436,34.72
44436.04,48.672
44436.08,0
44436.12,0
44436.16,160.576
44436.2,106.432
44436.25,23.368
44436.29,65.408
44436.33,41.992
44436.37,37.856
44436.41,98.768
44436.45,0
44436.5,18.368
44436.54,83.536
44436.58,86.688
44436.62,26.68
44436.66,18.64
44436.7,114.52
44436.75,30.888
44436.79,0
44436.83,0
44436.87,0
44436.91,92.272
44436.95,61.872
44437,0
44437.04,0
44437.08,80.016
44437.12,12.8
44437.16,92.848
44437.2,51.104
44437.25,16.104
44437.29,87.824
44437.33,0
44437.37,0
44437.41,50.8
44437.45,0
44437.5,0
44437.54,15.472
44437.58,59.224
44437.62,37.544
44437.66,0
44437.7,9.496
44437.75,26.264
44437.79,0
44437.83,41.496
44437.87,49.848
44437.91,0
44437.95,73.184
44438,22.928
44438.04,68.336
44438.08,28.824
44438.12,59.576
44438.16,93.952
44438.2,0
44438.25,44.776
44438.29,118.304
44438.33,0
44438.37,0
44438.41,62.288
44438.45,0
44438.5,0
44438.54,0
44438.58,-12.93
44438.62,0
44438.66,31.344
44438.7,25.184
44438.75,23.04
44438.79,42.968
44438.83,14.072
44438.87,34.312
44438.91,100.84
44438.95,0
44439,11.776
44439.04,72.848
44439.08,0
44439.12,0
44439.16,47.44
44439.2,0
44439.25,0
44439.29,28.088
44439.33,0
44439.37,54.544
44439.41,0
44439.45,0
44439.5,2.064
44439.54,0.736
44439.58,12.904
44439.62,21.88
44439.66,7.16
44439.7,0
44439.75,8.616
44439.79,20.336
44439.83,26.688
44439.87,16.384
44439.91,20.464
44439.95,11.392
44440,8.472
44440.04,39.264
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-131.17
44440.29,-49.85
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
