$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,540.616
44430.2,0
44430.25,-961.42
44430.29,0
44430.33,702.712
44430.37,0
44430.41,-596.68
44430.45,0
44430.5,0
44430.54,0
44430.58,-302.46
44430.62,0
44430.66,0
44430.7,0
44430.75,-38.51
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,284.904
44431.08,0
44431.12,0
44431.16,0
44431.2,217.736
44431.25,0
44431.29,-91.74
44431.33,0
44431.37,1.432
44431.41,0
44431.45,-226.07
44431.5,0
44431.54,0
44431.58,0
44431.62,-85.29
44431.66,-32.96
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,13.528
44432.08,220.224
44432.12,498.776
44432.16,0
44432.2,-205.65
44432.25,0
44432.29,135.008
44432.33,0
44432.37,-63.94
44432.41,-345.4
44432.45,0
44432.5,0
44432.54,0
44432.58,-236.32
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,18.808
44432.83,54.848
44432.87,110.208
44432.91,0
44432.95,50.224
44433,1.272
44433.04,196.368
44433.08,186.08
44433.12,121.624
44433.16,63.584
44433.2,49.056
44433.25,4.576
44433.29,0
44433.33,0
44433.37,-37.91
44433.41,-0.29
44433.45,-29.43
44433.5,-55.97
44433.54,-126.3
44433.58,-31.57
44433.62,-73.37
44433.66,-5.59
44433.7,-119.32
44433.75,-76.65
44433.79,0
44433.83,-24.33
44433.87,-8.08
44433.91,-79.58
44433.95,0
44434,49.096
44434.04,102.776
44434.08,113.064
44434.12,50.048
44434.16,117.168
44434.2,103.624
44434.25,4.016
44434.29,107.68
44434.33,12.928
44434.37,33.976
44434.41,39.08
44434.45,18.896
44434.5,10.616
44434.54,66.224
44434.58,63.072
44434.62,102.288
44434.66,134.64
44434.7,115.512
44434.75,46.864
44434.79,91.944
44434.83,106.16
44434.87,132.224
44434.91,99.592
44434.95,87.88
44435,75.952
44435.04,177.064
44435.08,171.992
44435.12,138.408
44435.16,130.376
44435.2,166.256
44435.25,57.976
