$,
,
JDAY,FLOW
44197,93.35
44197.04,93.35
44197.08,93.35
44197.12,93.35
44197.17,93.35
44197.21,93.35
44197.25,93.35
44197.29,93.35
44197.33,93.35
44197.38,93.35
44197.42,93.35
44197.46,93.35
44197.5,93.35
44197.54,93.35
44197.58,93.35
44197.62,93.35
44197.67,93.35
44197.71,93.35
44197.75,93.35
44197.79,93.35
44197.83,93.35
44197.88,93.35
44197.92,93.35
44197.96,93.35
44198,93.35
44198.04,93.35
44198.08,93.35
44198.12,93.35
44198.17,93.35
44198.21,93.35
44198.25,93.35
44198.29,93.35
44198.33,93.35
44198.38,93.35
44198.42,93.35
44198.46,93.35
44198.5,93.35
44198.54,93.35
44198.58,93.35
44198.62,93.35
44198.67,93.35
44198.71,93.35
44198.75,93.35
44198.79,93.35
44198.83,93.35
44198.88,93.35
44198.92,93.35
44198.96,93.35
44199,93.35
44199.04,93.35
44199.08,93.35
44199.12,93.35
44199.17,93.35
44199.21,93.35
44199.25,93.35
44199.29,93.35
44199.33,93.35
44199.38,93.35
44199.42,93.35
44199.46,93.35
44199.5,93.35
44199.54,93.35
44199.58,93.35
44199.62,93.35
44199.67,93.35
44199.71,93.35
44199.75,93.35
44199.79,93.35
44199.83,93.35
44199.88,93.35
44199.92,93.35
44199.96,93.35
44200,93.35
44200.04,93.35
44200.08,93.35
44200.12,93.35
44200.17,93.35
44200.21,93.35
44200.25,93.35
44200.29,93.35
44200.33,93.35
44200.38,93.35
44200.42,93.35
44200.46,93.35
44200.5,93.35
44200.54,93.35
44200.58,93.35
44200.62,93.35
44200.67,93.35
44200.71,93.35
44200.75,93.35
44200.79,93.35
44200.83,93.35
44200.88,93.35
44200.92,93.35
44200.96,93.35
44201,93.35
44201.04,93.35
44201.08,93.35
44201.12,93.35
44201.17,93.35
44201.21,93.35
44201.25,93.35
44201.29,93.35
44201.33,93.35
44201.38,93.35
44201.42,93.35
44201.46,93.35
44201.5,93.35
44201.54,93.35
44201.58,93.35
44201.62,93.35
44201.67,93.35
44201.71,93.35
44201.75,93.35
44201.79,93.35
44201.83,93.35
44201.88,93.35
44201.92,93.35
44201.96,93.35
44202,93.35
44202.04,93.35
44202.08,93.35
44202.12,93.35
44202.17,93.35
44202.21,93.35
44202.25,93.35
44202.29,93.35
44202.33,93.35
44202.38,93.35
44202.42,93.35
44202.46,93.35
44202.5,93.35
44202.54,93.35
44202.58,93.35
44202.62,93.35
44202.67,93.35
44202.71,93.35
44202.75,93.35
44202.79,93.35
44202.83,93.35
44202.88,93.35
44202.92,93.35
44202.96,93.35
44203,93.35
44203.04,93.35
44203.08,93.35
44203.12,93.35
44203.17,93.35
44203.21,93.35
44203.25,93.35
44203.29,93.35
44203.33,93.35
44203.38,93.35
44203.42,93.35
44203.46,93.35
44203.5,93.35
44203.54,93.35
44203.58,93.35
44203.62,93.35
44203.67,93.35
44203.71,93.35
44203.75,93.35
44203.79,93.35
44203.83,93.35
44203.88,93.35
44203.92,93.35
44203.96,93.35
44204,93.35
44204.04,93.35
44204.08,93.35
44204.12,93.35
44204.17,93.35
44204.21,93.35
44204.25,93.35
44204.29,93.35
44204.33,93.35
44204.38,93.35
44204.42,93.35
44204.46,93.35
44204.5,93.35
44204.54,93.35
44204.58,93.35
44204.62,93.35
44204.67,93.35
44204.71,93.35
44204.75,93.35
44204.79,93.35
44204.83,93.35
44204.88,93.35
44204.92,93.35
44204.96,93.35
44205,93.35
44205.04,93.35
44205.08,93.35
44205.12,93.35
44205.17,93.35
44205.21,93.35
44205.25,93.35
44205.29,93.35
44205.33,93.35
44205.38,93.35
44205.42,93.35
44205.46,93.35
44205.5,93.35
44205.54,93.35
44205.58,93.35
44205.62,93.35
44205.67,93.35
44205.71,93.35
44205.75,93.35
44205.79,93.35
44205.83,93.35
