$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197,-8.55,-9.1,0.68,0.32,9.96,547.22
44197.04,-8.66,-9.37,0.6,0.27,9.99,546.96
44197.08,-9.45,-9.9,0.51,0.11,9.88,546.94
44197.12,-9.22,-9.97,0.28,0.17,9.3,546.67
44197.17,-10.52,-10.67,0.13,0.68,9.01,546.42
44197.21,-10.24,-10.5,0.18,1.48,9.07,546.2
44197.25,-9.99,-10.39,0.32,2.35,9.05,546.08
44197.29,-10.02,-10.45,0.27,2.87,9.3,546.15
44197.33,-9.34,-9.87,0.33,3.01,8.76,546.33
44197.38,-9.12,-9.68,0.4,0.1,8.76,546.76
44197.42,-5.22,-7,0.52,0.55,8.47,546.87
44197.46,-2.98,-5.45,0.96,0.72,6.25,546.94
44197.5,-2.35,-4.66,0.98,0.77,4.21,546.75
44197.54,0.26,-3.5,0.99,1.22,1.64,546.04
44197.58,0.17,-3.65,1.2,1.5,1.74,545.47
44197.62,0.24,-3.46,1.29,1.62,0.99,544.85
44197.67,0.47,-3.05,1.19,1.64,0.59,544.61
44197.71,0.36,-2.81,1.13,1.64,0.53,544.53
44197.75,-2.66,-3.53,0.99,1.54,0.25,544.52
44197.79,-1.91,-3.29,0.7,2.15,5.28,545
44197.83,-1.82,-3.4,0.84,2.22,5.23,545.34
44197.88,-1.52,-3.05,0.49,2.46,5.44,545.38
44197.92,-1.59,-3.14,0.38,2.66,5.99,545.62
44197.96,-3.06,-3.71,0.46,2.19,6.92,545.59
44198,-3.12,-3.76,0.51,1.8,7.76,545.46
44198.04,-3.14,-4.17,0.56,1.58,8.52,545.22
44198.08,-3.24,-4.19,0.58,1.45,8.84,544.94
44198.12,-3.24,-3.58,0.55,1.08,8.91,544.67
44198.17,-3.67,-3.82,0.6,0.96,9.08,544.34
44198.21,-4.13,-4.31,0.56,1.03,8.91,543.94
