$Water balance Flows: computed flow to complete water balance,
BHT,
JDAY,QWB
44430,154.24
44430.04,154.24
44430.08,154.24
44430.12,154.24
44430.16,154.24
44430.2,154.24
44430.25,154.24
44430.29,154.24
44430.33,154.24
44430.37,154.24
44430.41,154.24
44430.45,154.24
44430.5,154.24
44430.54,154.24
44430.58,154.24
44430.62,154.24
44430.66,154.24
44430.7,154.24
44430.75,154.24
44430.79,154.24
44430.83,154.24
44430.87,154.24
44430.91,154.24
44430.95,154.24
44431,154.24
44431.04,154.24
44431.08,154.24
44431.12,154.24
44431.16,154.24
44431.2,154.24
44431.25,154.24
44431.29,154.24
44431.33,154.24
44431.37,154.24
44431.41,154.24
44431.45,154.24
44431.5,154.24
44431.54,154.24
44431.58,154.24
44431.62,154.24
44431.66,154.24
44431.7,154.24
44431.75,154.24
44431.79,154.24
44431.83,154.24
44431.87,154.24
44431.91,154.24
44431.95,154.24
44432,154.24
44432.04,154.24
44432.08,154.24
44432.12,154.24
44432.16,154.24
44432.2,154.24
44432.25,154.24
44432.29,154.24
44432.33,154.24
44432.37,154.24
44432.41,154.24
44432.45,154.24
44432.5,154.24
44432.54,154.24
44432.58,154.24
44432.62,154.24
44432.66,154.24
44432.7,154.24
44432.75,154.24
44432.79,154.24
44432.83,154.24
44432.87,154.24
44432.91,154.24
44432.95,154.24
44433,154.24
44433.04,154.24
44433.08,154.24
44433.12,154.24
44433.16,154.24
44433.2,154.24
44433.25,154.24
44433.29,154.24
44433.33,154.24
44433.37,154.24
44433.41,154.24
44433.45,154.24
44433.5,154.24
44433.54,154.24
44433.58,154.24
44433.62,154.24
44433.66,154.24
44433.7,154.24
44433.75,154.24
44433.79,154.24
44433.83,154.24
44433.87,154.24
44433.91,154.24
44433.95,154.24
44434,154.24
44434.04,154.24
44434.08,154.24
44434.12,154.24
44434.16,154.24
44434.2,154.24
44434.25,154.24
44434.29,154.24
44434.33,154.24
44434.37,154.24
44434.41,154.24
44434.45,154.24
44434.5,154.24
44434.54,154.24
44434.58,154.24
44434.62,154.24
44434.66,154.24
44434.7,154.24
44434.75,154.24
44434.79,154.24
44434.83,154.24
44434.87,154.24
44434.91,154.24
44434.95,154.24
44435,154.24
44435.04,154.24
44435.08,154.24
44435.12,154.24
44435.16,154.24
44435.2,154.24
44435.25,154.24
44435.29,154.24
44435.33,154.24
44435.37,154.24
44435.41,154.24
44435.45,154.24
44435.5,154.24
44435.54,154.24
44435.58,154.24
44435.62,154.24
44435.66,154.24
44435.7,154.24
44435.75,154.24
44435.79,154.24
44435.83,154.24
44435.87,154.24
44435.91,154.24
44435.95,154.24
44436,154.24
44436.04,154.24
44436.08,154.24
44436.12,154.24
44436.16,154.24
44436.2,154.24
44436.25,154.24
44436.29,154.24
44436.33,154.24
44436.37,154.24
44436.41,154.24
44436.45,154.24
44436.5,154.24
44436.54,154.24
44436.58,154.24
44436.62,154.24
44436.66,154.24
44436.7,154.24
44436.75,154.24
44436.79,154.24
44436.83,154.24
44436.87,154.24
44436.91,154.24
44436.95,154.24
44437,154.24
44437.04,154.24
44437.08,154.24
44437.12,154.24
44437.16,154.24
44437.2,154.24
44437.25,154.24
44437.29,154.24
44437.33,154.24
44437.37,154.24
44437.41,154.24
44437.45,154.24
44437.5,154.24
44437.54,154.24
44437.58,154.24
44437.62,154.24
44437.66,154.24
44437.7,154.24
44437.75,154.24
44437.79,154.24
44437.83,154.24
44437.87,154.24
44437.91,154.24
44437.95,154.24
44438,154.24
44438.04,154.24
44438.08,154.24
44438.12,154.24
44438.16,154.24
44438.2,154.24
44438.25,154.24
44438.29,154.24
44438.33,154.24
44438.37,154.24
44438.41,154.24
44438.45,154.24
44438.5,154.24
44438.54,154.24
44438.58,154.24
44438.62,154.24
44438.66,154.24
44438.7,154.24
44438.75,154.24
44438.79,154.24
44438.83,154.24
44438.87,154.24
44438.91,154.24
44438.95,154.24
44439,154.24
44439.04,154.24
44439.08,154.24
44439.12,154.24
44439.16,154.24
44439.2,154.24
44439.25,154.24
44439.29,154.24
44439.33,154.24
44439.37,154.24
44439.41,154.24
44439.45,154.24
44439.5,154.24
44439.54,154.24
44439.58,154.24
44439.62,154.24
44439.66,154.24
44439.7,154.24
44439.75,154.24
44439.79,154.24
44439.83,154.24
44439.87,154.24
44439.91,154.24
44439.95,154.24
44440,154.24
44440.04,154.24
44440.08,154.24
44440.12,154.24
44440.16,154.24
44440.2,154.24
44440.25,154.24
44440.29,154.24
44440.33,154.24
44440.37,154.24
44440.41,154.24
44440.45,154.24
44440.5,154.24
44440.54,154.24
44440.58,154.24
44440.62,154.24
44440.66,154.24
44440.7,154.24
44440.75,154.24
44440.79,154.24
44440.83,154.24
44440.87,154.24
44440.91,154.24
44440.95,154.24
44441,154.24
44441.04,154.24
44441.08,154.24
44441.12,154.24
44441.16,154.24
44441.2,154.24
44441.25,154.24
44441.29,154.24
44441.33,154.24
44441.37,154.24
44441.41,154.24
44441.45,154.24
44441.5,154.24
44441.54,154.24
44441.58,154.24
44441.62,154.24
44441.66,154.24
44441.7,154.24
44441.75,154.24
44441.79,154.24
44441.83,154.24
44441.87,154.24
44441.91,154.24
44441.95,154.24
44442,154.24
44442.04,154.24
44442.08,154.24
44442.12,154.24
44442.16,154.24
44442.2,154.24
44442.25,154.24
44442.29,154.24
44442.33,154.24
44442.37,154.24
44442.41,154.24
44442.45,154.24
44442.5,154.24
44442.54,154.24
44442.58,154.24
44442.62,154.24
44442.66,154.24
44442.7,154.24
44442.75,154.24
44442.79,154.24
44442.83,154.24
44442.87,154.24
44442.91,154.24
44442.95,154.24
44443,154.24
44443.04,154.24
44443.08,154.24
44443.12,154.24
44443.16,154.24
44443.2,154.24
44443.25,154.24
44443.29,154.24
44443.33,154.24
44443.37,154.24
44443.41,154.24
44443.45,154.24
44443.5,154.24
44443.54,154.24
44443.58,154.24
44443.62,154.24
44443.66,154.24
44443.7,154.24
44443.75,154.24
44443.79,154.24
44443.83,154.24
44443.87,154.24
44443.91,154.24
44443.95,154.24
44444,154.24
44444.04,154.24
44444.08,154.24
44444.12,154.24
44444.16,154.24
44444.2,154.24
44444.25,154.24
44444.29,154.24
44444.33,154.24
44444.37,154.24
44444.41,154.24
44444.45,154.24
44444.5,154.24
44444.54,154.24
44444.58,154.24
44444.62,154.24
44444.66,154.24
44444.7,154.24
44444.75,154.24
44444.79,154.24
44444.83,154.24
44444.87,154.24
44444.91,154.24
44444.95,154.24
44445,154.24
44445.04,154.24
44445.08,154.24
44445.12,154.24
44445.16,154.24
44445.2,154.24
44445.25,154.24
44445.29,154.24
44445.33,154.24
44445.37,154.24
44445.41,154.24
44445.45,154.24
