$ XILUODU,segment222的宽度是根据深泓线数据确定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,牛栏江,,,,,,,,,,,,,,,美姑河,,,,,,,,,,,,,,,,,,西苏角河,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,,,,,,,,,,,,,
DLX,885,670,860,1250,990,840,960,760,740,970,780,1390,660,1210,660,630,820,720,700,950,2350,850,1260,800,670,710,640,650,580,730,900,800,660,640,1030,540,830,820,950,1020,860,610,660,860,850,860,770,840,900,700,960,740,820,530,760,1260,1060,960,620,1110,740,780,640,660,640,660,1070,1080,750,570,970,560,870,940,1220,790,1160,1370,1210,400,1070,1130,1120,870,1050,1240,760,1050,1430,870,1070,850,580,610,590,920,800,1040,930,1190,890,850,790,580,900,630,790,850,500,580,950,800,950,1220,1050,1000,840,940,680,970,1350,720,880,870,780,840,1040,1060,1070,920,970,680,1090,770,1160,510,940,1020,950,640,620,610,920,790,470,1150,620,700,590,840,740,670,1230,850,1130,960,840,620,1020,830,1220,770,900,1190,730,1000,780,1090,910,980,720,1260,690,1000,510,790,780,990,710,1070,950,640,980,1040,840,1410,1450,1490,540,1060,1790,690,1030,820,640,1030,820,870,600,750,520,830,1180,1250,970,1040,1110,800,940,1110,730,710,730,1160,1020,550,1030,580,940,1170,660,400,885,305,570,350,280,270,290,250,310,280,310,280,420,250,110,305,963,1000,1250,880,1010,1330,980,910,990,850,870,1700,1060,1220,510,670,180,963,876,950,1070,1860,840,640,1160,930,470,700,140,876,,,,,,,,,,,,,
ELWS,592.18,592.18,592.04,591.85,591.59,591.38,591.2,590.99,590.83,590.67,590.47,590.3,590.01,589.86,589.61,589.47,589.33,589.16,589,588.86,588.65,588.15,587.97,587.7,587.53,587.39,587.37,587.35,587.34,587.32,587.3,587.27,587.25,587.23,587.22,587.19,587.17,587.15,587.13,587.1,587.08,587.05,587.04,587.02,586.99,586.97,586.95,586.93,586.9,586.88,586.86,586.83,586.81,586.79,586.78,586.75,586.72,586.7,586.68,586.67,586.65,586.64,586.62,586.61,586.6,586.59,586.57,586.55,586.53,586.52,586.51,586.49,586.48,586.47,586.45,586.43,586.41,586.39,586.36,586.34,586.33,586.31,586.29,586.27,586.26,586.24,586.21,586.2,586.18,586.15,586.14,586.12,586.1,586.09,586.08,586.07,586.05,586.04,586.02,586,585.98,585.96,585.95,585.93,585.92,585.9,585.89,585.88,585.86,585.85,585.84,585.82,585.81,585.79,585.77,585.75,585.77,585.78,585.8,585.81,585.83,585.86,585.87,585.89,585.9,585.92,585.93,585.95,585.97,585.99,586.01,586.03,586.04,586.06,586.08,586.1,586.11,586.13,586.14,586.16,586.17,586.19,586.2,586.21,586.23,586.24,586.26,586.27,586.28,586.29,586.31,586.32,586.34,586.36,586.38,586.4,586.41,586.43,586.44,586.46,586.48,586.5,586.51,586.53,586.55,586.57,586.59,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,592,592,591.32,590.65,589.97,589.3,588.63,587.95,587.28,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,602,602,597,592,587,586.93,586.86,586.8,586.73,586.66,586.6,586.6,,,,,,,,,,,,,
ANGLE,0,3.14,3.14,2.87,2.36,2.39,2.98,2.87,3.14,3.14,3.14,3.14,3.89,3.93,3.43,3.6,3.6,3.6,3.47,3.61,3.61,3.5,3.7,3.6,3.6,3.6,3.86,5.18,5.18,5.81,5.97,5.66,5.66,5.5,5.5,4.8,4.8,4.25,4.52,4.46,4.25,4.25,4.03,3.93,3.93,3.93,3.93,4.56,5.16,5.5,5.5,4.83,4.71,4.42,4.42,4.08,4.25,4.06,3.87,3.6,3.14,3.14,3.14,3.3,3.93,3.93,3.93,3.69,3.86,3.8,3.8,3.4,3.79,3.9,4.25,3.92,3.6,3.6,3.14,4.24,4.26,4.71,4.71,4.82,5.04,4.97,4.61,3.78,3.14,3.58,3.16,2.55,2.04,2.04,2.37,3.14,3.14,3.92,5.04,3.93,3.93,3.93,4.04,4.12,4.12,3.93,4.25,4.21,4.21,3.6,3.6,3.64,3.93,4.16,4.71,4.52,3.61,3.93,3.93,3.93,4.08,4.41,4.24,3.75,3.75,3.6,3.47,4.24,4.24,4.24,3.61,3.69,3.6,3.6,3.6,3.6,3.14,2.68,3.14,2.77,2.77,3.54,3.14,3.14,3.14,3.14,3.64,3.93,3.93,3.93,3.93,3.93,3.93,4.24,4.58,3.93,3.57,2.65,2.65,1.57,0.93,0.84,1.57,1.59,2.36,2.36,2.91,2.68,3.14,3.14,2.81,2.81,1.6,1.6,1.11,0.88,0.88,1.57,2.28,2.36,2.68,2.82,2.82,3.42,3.31,4.19,3.62,3.6,2.68,2.69,3.64,4.41,4.41,3.93,4.24,4.45,3.85,3.81,4.24,4.24,4.24,4.24,3.93,3.93,3.93,3.93,3.61,3.6,3.6,3.48,4.14,4.35,4.62,4.62,4.24,3.86,3.86,3.75,4.25,4.71,5.41,5.41,5.41,2.15,2.15,2.28,2.28,2.33,2.33,2.59,2.59,2.65,2.91,2.91,2.97,2.48,2.48,2.48,4.71,4.71,5.05,6.1,5.85,5.86,4.31,4.72,4.59,4.58,4.54,4.19,4.1,4.62,4.69,4.75,4.26,4.26,0,0,5.6,5.62,0.13,5.46,0.41,0.14,0.28,0.13,6.08,6.08,,,,,,,,,,,,,
MANNING,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,,BR3,,,,,,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,0,,604,,
0.25,0,315.62,135.98,244.2,179.23,167.27,161.76,188.37,171.85,175.38,168.41,162.9,210.1,235.99,296.39,270.4,190.56,260.11,231.21,298.36,307.2,220.6,235.36,250.96,200.23,169.04,194.2,267.07,280.59,289.01,340.36,256.78,337.25,361.05,415.01,362.2,349.1,394.01,395.15,333.71,462.83,362.61,301.48,328.62,612.63,623.86,494.64,551.51,427.79,484.66,453.58,463.76,437.77,486.74,410.22,365.31,481.54,361.16,298.99,393.38,418.96,550.47,404.09,334.23,327.16,351.9,661.7,616.17,428.63,365.11,377.79,490.59,672.52,467.4,367.08,502.75,395.05,513.56,462.72,567.41,420.1,649.96,494.64,579.99,570.84,780.53,734.89,576.98,537.58,498.07,620.95,400.66,709.84,767.43,643.2,602.45,664.61,656.92,499.53,609.72,515.12,378.21,603.9,659.52,497.03,615.23,698.3,1033.88,1039.91,948.53,988.66,829.39,730,1118.81,734.79,815.25,922.95,843.11,686.24,661.91,919.21,823.67,699.44,618.04,553.79,623.76,567.41,748.61,1011.01,478.42,515.95,588,611.49,773.67,521.36,702.35,619.5,1048.02,761.61,1003.73,892.29,723.98,734.37,726.37,619.39,620.02,589.04,701.1,668.36,770.45,614.71,650.48,693.72,709.63,736.97,769.72,807.97,660.56,928.05,1310.41,1296.17,857.46,560.13,660.25,1193.04,1379.23,1042.51,915.88,783.23,796.33,824.19,831.78,776.68,648.4,1272.88,995.62,1179.21,843.32,781.46,615.86,722.31,694.97,892.39,920.04,818.58,779.59,942.71,804.34,700.9,1107.48,1001.76,649.33,816.29,1281.41,1479.97,1459.18,1565.94,1273.92,922.33,594.44,739.26,740.4,731.25,904.45,1193.25,840.1,1194.39,880.54,803.71,913.81,995.62,904.97,796.75,599.74,863.8,937.4,1084.61,972.13,707.03,762.96,636.03,504.23,0,0,174.24,140.24,130.26,214.78,239.42,261.98,283.81,228.3,272.48,306.27,283.6,166.96,317.8,0,0,48.03,100.11,275.39,199.19,266.03,297.32,247.94,389.33,302.73,386.94,426.44,522.61,460.85,445.78,354.4,436.84,0,0,24.53,130.47,178.08,235.05,209.37,288.7,319.16,445.57,385.27,599.54,0,,,,,,,2,,267292320.6,,603.75,,
0.25,0,306.89,135.98,243.58,179.23,155,161.76,188.37,171.85,175.38,168.41,162.9,203.97,235.99,295.97,270.4,190.56,260.11,231.21,298.36,307.2,220.6,235.36,250.96,200.23,169.04,194.2,267.07,280.59,289.01,340.36,253.56,337.25,361.05,415.01,362.2,349.1,394.01,392.76,333.71,462.83,362.61,299.51,328.62,612.63,623.86,494.54,551.51,427.79,484.66,453.58,463.76,437.77,486.74,410.22,365.31,481.54,361.16,298.99,392.86,418.96,550.47,404.09,334.23,324.87,350.97,661.7,616.17,428.63,365.11,377.79,490.59,672.52,465.12,367.08,502.75,390.89,513.56,461.27,567.41,420.1,649.96,494.02,579.99,570.84,780.53,733.85,576.98,537.58,493.5,616.79,400.66,709.84,767.43,643.2,602.45,664.61,656.92,499.53,609.72,515.12,378.21,602.97,659.52,497.03,615.23,698.3,1033.88,1036.37,948.01,988.66,829.39,730,1118.81,734.79,811.82,922.95,843.11,686.24,661.91,919.21,823.67,699.44,618.04,553.79,623.76,567.41,748.61,1011.01,478.42,515.95,588,611.49,773.67,521.36,702.35,619.5,1048.02,761.61,1003.73,892.29,720.96,734.37,726.37,619.39,620.02,589.04,701.1,668.36,766.6,614.71,650.48,693.72,709.63,736.97,769.72,807.97,660.56,928.05,1310.41,1296.17,857.46,559.3,660.25,1193.04,1378.3,1042.51,915.88,783.23,796.33,824.19,831.78,776.68,648.4,1272.88,990.42,1179.21,843.32,781.46,615.86,722.31,694.97,892.39,920.04,818.58,779.59,942.71,804.34,700.9,1107.48,1001.76,649.33,816.29,1281.41,1479.97,1459.18,1564.18,1273.92,922.33,594.44,739.26,740.4,726.26,904.45,1193.25,837.91,1194.39,880.23,803.71,913.7,995.62,904.97,796.75,599.74,860.37,937.4,1084.61,972.13,707.03,762.96,636.03,504.23,0,0,174.24,140.24,130.26,214.78,239.42,261.98,283.81,228.3,270.3,306.27,283.6,166.96,317.8,0,0,48.03,100.11,275.39,199.19,266.03,297.12,247.94,389.33,302.73,386.94,426.44,522.61,460.85,445.78,354.4,436.84,0,0,24.53,130.47,178.08,235.05,209.37,288.7,319.16,445.57,385.27,599.54,0,,,,,,,3,,264274881.8,,603.5,,
0.25,0,306.89,135.98,243.58,173.61,155,161.76,188.37,171.33,175.38,168.41,162.9,203.97,235.99,295.97,270.4,182.87,260.11,226.32,280.9,307.2,220.6,235.36,250.96,199.6,169.04,194.2,267.07,280.59,289.01,340.36,253.56,337.25,361.05,415.01,362.2,348.78,391.3,392.76,333.71,462.83,362.61,297.64,328.62,612.63,623.65,483.52,551.51,427.79,482.27,453.58,463.76,436.84,486.74,410.22,365.31,481.54,361.16,298.99,392.86,418.96,550.47,404.09,333.29,324.87,350.97,657.65,616.17,423.32,363.13,377.79,483.52,672.52,465.12,359.7,501.4,390.89,513.56,461.27,567.41,415.73,635.92,491.52,579.99,570.84,780.53,733.85,576.98,537.58,493.5,616.79,400.66,709.84,763.38,643.2,602.45,664.61,656.92,499.53,608.27,515.12,376.96,599.43,658.17,495.47,615.23,697.15,1033.88,1036.37,948.01,988.66,828.87,730,1118.81,731.77,811.82,922.95,842.28,682.7,661.91,919.21,823.67,699.44,618.04,553.79,623.76,567.41,746.53,1011.01,478.42,515.95,588,611.49,773.67,521.36,702.35,619.5,1045.83,761.61,1001.55,890.21,720.96,733.75,724.18,619.39,618.25,589.04,701.1,667.21,766.6,612.63,650.48,693.72,708.9,734.89,769.72,807.97,660.56,928.05,1307.6,1289.41,857.46,559.3,660.25,1193.04,1378.3,1042.51,915.88,783.23,796.33,824.19,831.78,776.68,648.4,1272.88,990.42,1179.21,843.32,781.46,615.86,722.31,694.97,890.93,920.04,817.23,779.59,942.71,804.34,700.9,1107.48,1001.76,646.84,816.29,1281.41,1479.97,1459.18,1559.81,1273.92,922.33,593.92,739.26,738.11,726.26,897.8,1193.25,837.91,1192.52,880.23,803.71,913.29,995.62,904.97,796.75,599.74,860.37,937.4,1084.61,972.13,707.03,762.96,636.03,504.23,0,0,171.95,140.24,126.83,214.78,239.42,261.98,281.73,225.38,268.74,300.34,283.6,166.96,316.66,0,0,48.03,99.91,275.39,199.19,266.03,297.12,247.94,387.67,302.73,386.94,426.44,522.61,460.85,445.78,354.4,436.11,0,0,24.53,130.47,178.08,235.05,209.37,288.7,319.16,445.57,385.27,599.54,0,,,,,,,4,,261448297.4,,603.25,,
0.25,0,306.89,135.98,243.58,173.61,155,161.76,188.37,171.33,175.38,168.41,161.14,203.97,231.93,295.97,266.24,176.32,260.11,226.32,280.9,307.2,220.6,229.65,250.96,195.65,169.04,194.2,267.07,280.59,289.01,340.36,250.65,337.25,361.05,415.01,362.2,348.78,391.3,392.76,333.71,462.83,362.61,297.64,328.62,521.25,623.65,483.52,550.26,421.66,482.27,453.58,463.76,436.84,486.74,410.22,365.31,477.49,359.08,298.99,392.86,418.96,550.47,404.09,333.29,318.12,350.97,656.82,612.01,422.39,363.13,377.79,483.52,670.23,463.35,359.7,501.4,390.89,511.9,461.27,567.41,415.73,635.92,491.52,579.99,570.84,780.53,733.85,571.57,531.03,493.5,616.79,400.66,709.84,763.38,643.2,602.45,663.37,655.15,499.53,608.27,514.81,376.96,599.43,658.17,495.47,615.23,697.15,1033.88,1036.37,948.01,988.66,828.87,730,1118.81,731.77,811.82,922.95,842.28,682.7,661.91,919.21,823.67,699.44,615.55,552.55,617.1,567.41,746.53,1011.01,478.42,515.95,586.54,611.49,761.3,520.94,702.35,616.48,1045.83,761.61,1001.55,890.21,719.09,733.75,724.18,614.4,618.25,589.04,700.48,667.21,766.6,612.63,649.64,693.72,708.9,734.89,769.72,806.73,660.56,928.05,1307.6,1289.41,857.25,559.3,659.73,1191.17,1378.3,1040.95,914.33,783.23,791.76,824.19,831.78,776.68,648.4,1272.47,990.42,1179.21,843.32,779.7,615.86,722.31,694.97,887.71,920.04,817.23,779.59,940.32,804.23,699.96,1107.48,1001.76,646.84,816.29,1281.41,1479.97,1459.18,1559.81,1273.92,921.29,593.92,739.26,738.11,726.26,897.8,1190.34,837.91,1192.52,880.23,803.71,913.29,995.62,904.97,796.75,599.74,860.37,933.35,1084.61,968.7,707.03,762.96,633.43,504.21,0,0,171.95,140.14,126.83,214.78,239.42,261.98,281.73,225.38,268.74,300.34,283.6,166.96,316.66,0,0,42.31,99.91,275.39,196.07,266.03,297.12,247.94,385.9,302.73,386.94,426.44,522.61,460.85,445.78,354.4,436.11,0,0,20.27,130.47,178.08,235.05,209.37,288.7,319.16,445.57,385.27,599.54,0,,,,,,,5,,258574073.8,,603,,
