$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,303.99
44430.2,0
44430.25,-432.5
44430.29,0
44430.33,395.14
44430.37,0
44430.41,-268.42
44430.45,0
44430.5,0
44430.54,0
44430.58,-136.06
44430.62,0
44430.66,0
44430.7,0
44430.75,-17.32
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,160.21
44431.08,0
44431.12,0
44431.16,0
44431.2,122.44
44431.25,0
44431.29,-41.27
44431.33,0
44431.37,0.8
44431.41,0
44431.45,-101.7
44431.5,0
44431.54,0
44431.58,0
44431.62,-38.37
44431.66,-14.83
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,7.61
44432.08,123.84
44432.12,280.47
44432.16,0
44432.2,-92.51
44432.25,0
44432.29,75.92
44432.33,0
44432.37,-28.76
44432.41,-155.38
44432.45,0
44432.5,0
44432.54,0
44432.58,-106.31
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,10.58
44432.83,30.84
44432.87,61.97
44432.91,0
44432.95,28.24
44433,0.72
44433.04,110.42
44433.08,104.64
44433.12,68.39
44433.16,35.76
44433.2,27.59
44433.25,2.57
44433.29,0
44433.33,0
44433.37,-17.05
44433.41,-0.13
44433.45,-13.24
44433.5,-25.18
44433.54,-56.82
44433.58,-14.2
44433.62,-33.01
44433.66,-2.51
44433.7,-53.68
44433.75,-34.48
44433.79,0
44433.83,-10.94
44433.87,-3.63
44433.91,-35.8
44433.95,0
44434,27.61
44434.04,57.79
44434.08,63.58
44434.12,28.14
44434.16,65.89
44434.2,58.27
44434.25,2.26
44434.29,60.55
44434.33,7.27
44434.37,19.11
44434.41,21.98
44434.45,10.62
44434.5,5.97
44434.54,37.24
44434.58,35.46
44434.62,57.52
44434.66,75.71
44434.7,64.96
44434.75,26.35
44434.79,51.7
44434.83,59.69
44434.87,74.35
44434.91,56
44434.95,49.42
44435,42.71
44435.04,99.56
44435.08,96.71
44435.12,77.83
44435.16,73.31
44435.2,93.49
44435.25,32.6
44435.29,94.19
44435.33,58.27
44435.37,35.73
44435.41,31.47
44435.45,54.81
44435.5,28.43
44435.54,56.66
44435.58,41.57
44435.62,51.61
44435.66,61.67
44435.7,59.17
44435.75,15.44
44435.79,72.99
44435.83,50.67
44435.87,53.88
44435.91,52.7
44435.95,51.64
44436,43.4
44436.04,60.84
44436.08,0
44436.12,0
44436.16,200.72
44436.2,133.04
44436.25,29.21
44436.29,81.76
44436.33,52.49
44436.37,47.32
44436.41,123.46
44436.45,0
44436.5,22.96
44436.54,104.42
44436.58,108.36
44436.62,33.35
44436.66,23.3
44436.7,143.15
44436.75,38.61
44436.79,0
44436.83,0
44436.87,0
44436.91,115.34
44436.95,77.34
44437,0
44437.04,0
44437.08,100.02
44437.12,16
44437.16,116.06
44437.2,63.88
44437.25,20.13
44437.29,109.78
44437.33,0
44437.37,0
44437.41,63.5
44437.45,0
44437.5,0
44437.54,19.34
44437.58,74.03
44437.62,46.93
44437.66,0
44437.7,11.87
44437.75,32.83
44437.79,0
44437.83,51.87
44437.87,62.31
44437.91,0
44437.95,91.48
44438,28.66
44438.04,85.42
44438.08,36.03
44438.12,74.47
44438.16,117.44
44438.2,0
44438.25,55.97
44438.29,147.88
44438.33,0
44438.37,0
44438.41,77.86
44438.45,0
44438.5,0
44438.54,0
44438.58,-12.93
44438.62,0
44438.66,39.18
44438.7,31.48
44438.75,28.8
44438.79,53.71
44438.83,17.59
44438.87,42.89
44438.91,126.05
44438.95,0
44439,14.72
44439.04,91.06
44439.08,0
44439.12,0
44439.16,59.3
44439.2,0
44439.25,0
44439.29,35.11
44439.33,0
44439.37,68.18
44439.41,0
44439.45,0
44439.5,2.58
44439.54,0.92
44439.58,16.13
44439.62,27.35
44439.66,8.95
44439.7,0
44439.75,10.77
44439.79,25.42
44439.83,33.36
44439.87,20.48
44439.91,25.58
44439.95,14.24
44440,10.59
44440.04,49.08
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-131.17
44440.29,-49.85
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
