$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197.33,-6.76,-8.01,0.38,2.29,9.31,548.96
44197.38,-6.59,-7.54,0.36,2.89,9.61,549.07
44197.42,-3.03,-4.87,0.2,2.51,8.58,549.31
44197.46,-3.22,-4.73,0.18,1.96,8.03,549.74
44197.5,-3.41,-4.91,0.4,0.37,6.6,549.46
44197.54,0.02,-3.55,0.63,2.91,5.65,548.8
44197.58,0.01,-3.22,0.69,2.35,5.36,547.92
44197.62,-0.16,-3.02,0.78,2.11,5.65,547.62
44197.67,0.89,-2.17,0.86,2.2,6.52,547.28
44197.71,1.16,-1.65,0.53,2.41,7.4,547.48
44197.75,-1.64,-3.89,1.55,2.84,4.43,547.28
44197.79,-1.2,-2.95,1.3,2.9,3.97,547.35
44197.83,-1.16,-2.93,0.94,0.55,6.16,547.69
44197.88,-1.53,-3.46,0.87,0.61,6.77,547.81
44197.92,-1.84,-3.48,0.61,0.35,6.51,547.91
44197.96,-3.88,-4.54,0.37,0.29,9.02,547.95
44198,-3.71,-4.6,0.16,1.67,8.9,547.8
44198.04,-3.66,-4.41,0.31,1.18,8.96,547.6
44198.08,-3.88,-4.75,0.35,0.81,9.84,547.19
44198.12,-4.07,-4.98,0.43,0.79,9.87,546.87
44198.17,-4.78,-5.52,0.5,0.58,10,546.66
44198.21,-5.2,-5.86,0.51,0.6,9.86,546.4
44198.25,-6.35,-7.32,0.7,0.91,9.96,546.22
44198.29,-6.2,-7.22,0.69,0.68,9.83,546.22
44198.33,-5.23,-6.43,0.66,0.75,9.36,546.91
44198.38,-5.65,-6.73,0.76,0.81,9.83,547.34
44198.42,-0.21,-2.87,1.18,0.66,9.25,547.55
44198.46,0.55,-1.85,1.31,0.62,9.21,547.9
44198.5,1.43,-1.19,1.25,0.76,1.9,547.43
44198.54,4.5,0.42,1.24,0.9,1.49,546.8
44198.58,4.37,0.27,1.27,1.16,1.83,546.09
44198.62,4.28,-0.04,1.01,1.38,2.33,545.57
44198.67,4.36,-0.22,0.9,1.64,3.28,545.24
44198.71,4.5,-0.27,1.07,1.49,1.7,545.32
44198.75,2.68,-2,1.55,1.32,2.02,545.36
44198.79,2.17,-1.53,1.55,1.01,1.32,545.41
44198.83,2.54,-1.97,1.36,0.78,1.63,545.76
44198.88,3.25,-1.69,1.08,0.99,2.44,545.92
44198.92,1.89,-2.05,1.22,1.1,0.92,545.89
44198.96,-0.67,-3.04,1.35,0.98,5.18,545.78
44199,-0.68,-2.74,1.39,0.87,5.11,545.42
44199.04,-1,-2.77,1.35,0.86,5.11,545.51
44199.08,-1.34,-3.11,1.39,0.84,5.07,545.11
44199.12,-1.03,-2.73,1.42,0.8,5.07,545
44199.17,-2.17,-3.38,1.33,0.78,4.92,544.69
44199.21,-2.25,-3.52,1.15,0.82,5.19,544.72
44199.25,-3.2,-4.6,1.24,0.6,5.3,544.6
44199.29,-3.14,-4.58,1.51,0.66,5.3,544.81
44199.33,-3.16,-4.69,1.7,0.76,5.95,545.17
44199.38,-2.85,-4.55,1.74,0.78,9.12,545.54
44199.42,0.43,-2.01,1.74,0.75,5.54,545.78
44199.46,3.26,0.02,1.5,0.77,0.12,545.91
44199.5,3.82,0.87,1.8,0.94,1.4,545.56
44199.54,5.52,0.79,2.13,1.04,3.06,544.9
44199.58,5.1,-0.17,2.23,1.07,5.57,544.04
44199.62,4.79,-0.42,2.2,1.02,5.34,543.56
44199.67,4.71,-0.53,1.71,1.09,4.99,543.34
44199.71,4.28,-0.32,0.94,1.34,4.06,543.49
44199.75,1.65,-2.14,1.41,1.5,0.34,543.87
44199.79,2.17,-1.78,1.54,1.69,0.29,543.91
44199.83,3.05,-1.54,1.42,1.69,0.21,544.25
44199.88,3.07,-1.48,1.37,1.59,2.29,544.43
44199.92,2.56,-1.48,1.62,1.45,5.14,544.57
44199.96,1.31,-1.99,1.61,1.34,5.21,544.57
44200,1.13,-2.04,1.44,1.26,5.15,544.5
44200.04,0.59,-2.21,1.23,1.38,5.13,544.48
44200.08,0.36,-2.34,1.16,1.54,5.2,544.21
44200.12,0.05,-2.55,1.02,1.72,5.32,544.09
44200.17,-1.03,-3.02,0.9,1.79,5.38,543.83
44200.21,-1.56,-3.53,0.78,1.92,5.54,543.43
44200.25,-2.2,-3.7,0.98,1.24,5.24,543.22
44200.29,-2.47,-3.93,1.47,0.93,6.13,543.39
44200.33,-2.52,-4.05,1.5,1.13,5.44,543.48
44200.38,-2.9,-4.6,1.58,1.07,5.58,543.44
44200.42,0.06,-3.47,1.17,0.88,3.86,543.66
44200.46,2,-2.21,1.09,0.97,4.26,543.81
44200.5,1.81,-2.21,1.36,0.92,5.46,543.64
44200.54,3.74,-3.23,1.09,0.78,5.13,543.21
44200.58,3.33,-2.34,0.83,0.84,2.7,542.78
44200.62,3.04,-1.25,0.62,0.6,4.6,542.67
44200.67,4.38,-1.58,0.48,0.38,2.88,542.95
44200.71,4.65,-1.25,0.33,0.56,1.42,543.3
44200.75,1.34,-2.73,0.43,2.67,3.4,543.62
44200.79,1.58,-3.05,0.77,2.36,1.61,544.17
44200.83,1,-3.83,1.16,0.94,0.56,544.58
44200.88,0.63,-4.23,1.25,0.67,4.25,545.01
44200.92,-0.26,-4.02,1.21,0.7,4.97,545.3
44200.96,-3.5,-5.67,1.15,0.74,5.09,545.43
44201,-3.96,-5.62,1.23,0.69,5.07,545.3
44201.04,-4.81,-5.65,1.28,0.67,5.07,545.03
44201.08,-5.16,-5.47,1.37,0.74,5.07,544.98
44201.12,-6.18,-6.8,1.32,0.79,4.97,544.81
44201.17,-7.36,-7.58,1.15,0.84,4.97,544.43
44201.21,-7.18,-7.56,1.18,0.83,6.97,544.3
44201.25,-7.51,-7.51,1.39,0.78,4.26,544.15
44201.29,-6.89,-6.91,1.71,0.7,6.45,544.07
44201.33,-7.12,-7.14,1.29,0.8,6.93,544.5
44201.38,-6.8,-7.73,1.05,0.53,9.4,544.49
44201.42,-0.41,-2.87,1.47,0.52,9.99,545.1
44201.46,1.76,-2.38,1.37,0.57,4.15,545.3
44201.5,2.19,-2.55,1.29,0.78,0.04,545.03
44201.54,6.16,-2.37,1.28,0.9,1.46,544.63
44201.58,6.06,-2.15,1.13,1.28,6.49,544.04
44201.62,5.88,-2.32,1.34,1.6,7.44,543.46
44201.67,5.98,-2.31,1.28,1.67,9.67,543.33
44201.71,5.74,-2.29,0.81,2.3,9.48,543.37
44201.75,1.92,-2.37,0.89,2.26,9.03,543.38
44201.79,2.45,-2.94,1.28,2.61,8.52,543.61
44201.83,2.28,-2.37,1.06,3.04,8.36,543.8
44201.88,1.85,-2.41,1.44,0.33,8.54,544.4
44201.92,1.08,-2.33,1.6,0.34,7.8,544.83
44201.96,-1.34,-3.36,1.43,0.5,8.24,544.9
44202,-1.79,-3.37,1.34,0.57,8.56,545.2
44202.04,-2.09,-3.35,1.31,0.53,8.02,545.12
44202.08,-2.14,-3.5,0.9,0.31,8.64,545.28
44202.12,-3,-4.07,0.41,0.34,8.16,545.12
