$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197,-5.94,-6.84,0.97,0.57,9.37,587.41
44197.04,-6.01,-6.98,0.82,0.51,9.27,587.14
44197.08,-6.39,-7.36,0.71,0.42,8.74,587.11
44197.12,-6.24,-7.49,0.53,0.42,8.78,586.79
44197.17,-6.95,-7.69,0.31,0.68,7.96,586.44
44197.21,-6.71,-7.57,0.33,1.3,7.3,586.17
44197.25,-6,-7.5,0.3,1.96,7.34,586
44197.29,-5.85,-7.44,0.05,1.33,4.24,586.05
44197.33,-5.42,-7.34,0.24,2.34,3.22,586.15
44197.38,-5.27,-7.47,0.35,2.92,2.37,586.52
44197.42,-1.9,-5.88,0.59,0.17,2.12,586.53
44197.46,-1.07,-4.57,0.63,0.33,2.51,586.41
44197.5,-0.56,-4.51,0.36,0.89,2.03,586.09
44197.54,2.13,-3.22,0.51,2.21,1.5,585.26
44197.58,2.04,-3.11,0.89,2.38,1.54,584.59
44197.62,1.94,-2.64,1.13,2.54,2.49,583.84
44197.67,1.98,-2.19,1.26,2.82,1.07,583.48
44197.71,1.37,-2.46,1.22,2.93,0.46,583.43
44197.75,0.23,-2.3,0.99,0.2,0.12,583.46
44197.79,0.3,-2.29,1.26,0.7,0.4,584.07
44197.83,-0.58,-2.42,1.24,0.64,1.56,584.62
44197.88,-1,-2.18,1.13,0.88,2.08,584.74
44197.92,-1.49,-2.39,1.06,0.95,5.22,585.06
44197.96,-2.99,-3.32,0.67,0.79,9.36,585.09
44198,-3.07,-3.53,0.29,0.88,8.81,584.95
44198.04,-2.91,-3.88,0.19,1.69,9.18,584.69
44198.08,-2.61,-3.56,0.26,1.88,9.14,584.36
44198.12,-2.33,-2.73,0.31,1.77,9.22,584.05
44198.17,-2.68,-2.84,0.39,1.8,8.87,583.71
44198.21,-3.26,-3.45,0.4,1.81,9.06,583.31
