$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,107.37
44430.2,0
44430.25,-152.76
44430.29,0
44430.33,139.56
44430.37,0
44430.41,-94.81
44430.45,0
44430.5,0
44430.54,0
44430.58,-48.06
44430.62,0
44430.66,0
44430.7,0
44430.75,-6.12
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,56.58
44431.08,0
44431.12,0
44431.16,0
44431.2,43.24
44431.25,0
44431.29,-14.58
44431.33,0
44431.37,0.28
44431.41,0
44431.45,-35.92
44431.5,0
44431.54,0
44431.58,0
44431.62,-13.55
44431.66,-5.24
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,2.69
44432.08,43.74
44432.12,99.06
44432.16,0
44432.2,-32.68
44432.25,0
44432.29,26.81
44432.33,0
44432.37,-10.16
44432.41,-54.88
44432.45,0
44432.5,0
44432.54,0
44432.58,-37.55
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,3.74
44432.83,10.89
44432.87,21.89
44432.91,0
44432.95,9.97
44433,0.25
44433.04,39
44433.08,36.96
44433.12,24.16
44433.16,12.63
44433.2,9.74
44433.25,0.91
44433.29,0
44433.33,0
44433.37,-6.02
44433.41,-0.05
44433.45,-4.68
44433.5,-8.89
44433.54,-20.07
44433.58,-5.02
44433.62,-11.66
44433.66,-0.89
44433.7,-18.96
44433.75,-12.18
44433.79,0
44433.83,-3.87
44433.87,-1.28
44433.91,-12.64
44433.95,0
44434,9.75
44434.04,20.41
44434.08,22.45
44434.12,9.94
44434.16,23.27
44434.2,20.58
44434.25,0.8
44434.29,21.39
44434.33,2.57
44434.37,6.75
44434.41,7.76
44434.45,3.75
44434.5,2.11
44434.54,13.15
44434.58,12.53
44434.62,20.32
44434.66,26.74
44434.7,22.94
44434.75,9.31
44434.79,18.26
44434.83,21.08
44434.87,26.26
44434.91,19.78
44434.95,17.45
44435,15.09
44435.04,35.17
44435.08,34.16
44435.12,27.49
44435.16,25.89
44435.2,33.02
44435.25,11.52
44435.29,33.27
44435.33,20.58
44435.37,12.62
44435.41,11.11
44435.45,19.36
44435.5,10.04
44435.54,20.01
44435.58,14.68
44435.62,18.23
44435.66,21.78
44435.7,20.9
44435.75,5.45
44435.79,25.78
44435.83,17.9
44435.87,19.03
44435.91,18.61
