$ XILUODU,segment222的宽度是根据深泓线数据确定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西溪河,,,,牛栏江,,,,,,,,,,,,,,,金阳河,,,,,,,,,,,,美姑河,,,,,,,,,,,,,,,,,,西苏角河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,,,,,,,,,,,,,,,,,,,,,,,
DLX,885,670,860,1250,990,840,960,760,740,970,780,1390,660,1210,660,630,820,720,700,950,2350,850,1260,800,670,710,640,650,580,730,900,800,660,640,1030,540,830,820,950,1020,860,610,660,860,850,860,770,840,900,700,960,740,820,530,760,1260,1060,960,620,1110,740,780,640,660,640,660,1070,1080,750,570,970,560,870,940,1220,790,1160,1370,1210,400,1070,1130,1120,870,1050,1240,760,1050,1430,870,1070,850,580,610,590,920,800,1040,930,1190,890,850,790,580,900,630,790,850,500,580,950,800,950,1220,1050,1000,840,940,680,970,1350,720,880,870,780,840,1040,1060,1070,920,970,680,1090,770,1160,510,940,1020,950,640,620,610,920,790,470,1150,620,700,590,840,740,670,1230,850,1130,960,840,620,1020,830,1220,770,900,1190,730,1000,780,1090,910,980,720,1260,690,1000,510,790,780,990,710,1070,950,640,980,1040,840,1410,1450,1490,540,1060,1790,690,1030,820,640,1030,820,870,600,750,520,830,1180,1250,970,1040,1110,800,940,1110,730,710,730,1160,1020,550,1030,580,940,1170,660,400,885,400,500,300,400,305,570,350,280,270,290,250,310,280,310,280,420,250,110,305,402,330,530,610,640,270,530,250,440,330,90,402,963,1000,1250,880,1010,1330,980,910,990,850,870,1700,1060,1220,510,670,180,963,876,950,1070,1860,840,640,1160,930,470,700,140,876,,,,,,,,,,,,,,,,,,,,,,,
ELWS,588.76,588.76,588.21,587.66,587.1,586.55,586,585.45,584.89,584.34,583.79,583.24,582.68,582.13,581.58,581.03,580.47,579.92,579.37,578.82,578.26,577.71,577.16,576.61,576.05,575.5,575.46,575.42,575.39,575.35,575.31,575.27,575.24,575.2,575.16,575.12,575.08,575.05,575.01,574.97,574.93,574.9,574.86,574.82,574.78,574.75,574.71,574.67,574.63,574.59,574.56,574.52,574.48,574.44,574.41,574.37,574.33,574.33,574.33,574.32,574.32,574.32,574.32,574.31,574.31,574.31,574.31,574.3,574.3,574.3,574.3,574.29,574.29,574.29,574.29,574.28,574.28,574.28,574.28,574.28,574.27,574.27,574.27,574.27,574.26,574.26,574.26,574.26,574.25,574.25,574.25,574.25,574.24,574.24,574.24,574.24,574.24,574.23,574.23,574.23,574.23,574.22,574.22,574.22,574.22,574.21,574.21,574.21,574.21,574.2,574.2,574.2,574.2,574.19,574.19,574.19,574.19,574.18,574.18,574.18,574.17,574.17,574.17,574.16,574.16,574.16,574.15,574.15,574.15,574.14,574.14,574.14,574.13,574.13,574.13,574.12,574.12,574.12,574.11,574.11,574.11,574.1,574.1,574.1,574.09,574.09,574.09,574.08,574.08,574.08,574.07,574.07,574.07,574.06,574.06,574.06,574.05,574.05,574.05,574.04,574.04,574.04,574.03,574.03,574.03,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,575.42,575.42,575.42,575.42,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,,,,,,,,,,,,,,,,,,,,,,,
ANGLE,0,3.14,3.14,2.87,2.36,2.39,2.98,2.87,3.14,3.14,3.14,3.14,3.89,3.93,3.43,3.6,3.6,3.6,3.47,3.61,3.61,3.5,3.7,3.6,3.6,3.6,3.86,5.18,5.18,5.81,5.97,5.66,5.66,5.5,5.5,4.8,4.8,4.25,4.52,4.46,4.25,4.25,4.03,3.93,3.93,3.93,3.93,4.56,5.16,5.5,5.5,4.83,4.71,4.42,4.42,4.08,4.25,4.06,3.87,3.6,3.14,3.14,3.14,3.3,3.93,3.93,3.93,3.69,3.86,3.8,3.8,3.4,3.79,3.9,4.25,3.92,3.6,3.6,3.14,4.24,4.26,4.71,4.71,4.82,5.04,4.97,4.61,3.78,3.14,3.58,3.16,2.55,2.04,2.04,2.37,3.14,3.14,3.92,5.04,3.93,3.93,3.93,4.04,4.12,4.12,3.93,4.25,4.21,4.21,3.6,3.6,3.64,3.93,4.16,4.71,4.52,3.61,3.93,3.93,3.93,4.08,4.41,4.24,3.75,3.75,3.6,3.47,4.24,4.24,4.24,3.61,3.69,3.6,3.6,3.6,3.6,3.14,2.68,3.14,2.77,2.77,3.54,3.14,3.14,3.14,3.14,3.64,3.93,3.93,3.93,3.93,3.93,3.93,4.24,4.58,3.93,3.57,2.65,2.65,1.57,0.93,0.84,1.57,1.59,2.36,2.36,2.91,2.68,3.14,3.14,2.81,2.81,1.6,1.6,1.11,0.88,0.88,1.57,2.28,2.36,2.68,2.82,2.82,3.42,3.31,4.19,3.62,3.6,2.68,2.69,3.64,4.41,4.41,3.93,4.24,4.45,3.85,3.81,4.24,4.24,4.24,4.24,3.93,3.93,3.93,3.93,3.61,3.6,3.6,3.48,4.14,4.35,4.62,4.62,4.24,3.86,3.86,3.75,4.25,4.71,5.41,5.41,5.41,6,6,0.36,0.36,2.15,2.15,2.28,2.28,2.33,2.33,2.59,2.59,2.65,2.91,2.91,2.97,2.48,2.48,2.48,0.17,0.17,0.17,0,0,6.2,0.23,5.38,5.45,6.17,6.17,6.17,4.71,4.71,5.05,6.1,5.85,5.86,4.31,4.72,4.59,4.58,4.54,4.19,4.1,4.62,4.69,4.75,4.26,4.26,0,0,5.6,5.62,0.13,5.46,0.41,0.14,0.28,0.13,6.08,6.08,,,,,,,,,,,,,,,,,,,,,,,
MANNING,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,
LAYER,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,BR3,,,,,,,,,,,,,,,BR4,,,,,,,,,,,,BR5,,,,,,,,,,,,,,,,,,BR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,
0.5,0,314.77,135.61,243.54,178.74,166.82,161.32,187.86,171.38,174.9,167.96,162.46,209.53,235.35,295.59,269.67,190.04,259.4,230.58,297.56,306.37,220,234.73,250.28,199.68,168.58,193.67,266.35,279.83,288.22,339.44,256.08,336.33,360.07,413.88,361.21,347.84,392.94,394.08,332.81,461.57,361.63,300.67,327.73,610.97,622.17,493.3,550.01,426.63,483.35,452.35,462.51,436.59,485.42,409.11,364.32,480.24,360.18,298.18,392.32,417.82,548.97,403,333.32,326.27,350.95,659.91,614.5,427.46,364.12,376.76,489.26,670.69,466.14,366.09,501.39,393.98,512.17,461.47,565.87,418.96,648.19,493.3,578.42,569.29,778.41,732.9,575.41,536.12,496.72,619.27,399.57,707.91,765.35,641.45,600.81,662.81,655.14,498.17,608.07,513.72,377.18,602.26,657.73,495.68,613.56,696.4,1031.08,1037.09,945.96,985.98,827.14,728.03,1115.78,732.79,813.04,920.45,840.83,684.38,660.12,916.72,821.44,697.54,616.36,552.29,622.07,565.87,746.58,1008.27,477.12,514.55,586.4,609.83,771.57,519.94,700.45,617.82,1045.18,759.54,1001.01,889.87,722.01,732.38,724.4,617.71,618.33,587.44,699.2,666.54,768.36,613.05,648.71,691.84,707.7,734.97,767.63,805.78,658.77,925.53,1306.86,1292.65,855.13,558.62,658.46,1189.81,1375.49,1039.68,913.4,781.11,794.17,821.96,829.53,774.58,646.64,1269.43,992.92,1176.02,841.03,779.35,614.19,720.35,693.09,889.97,917.55,816.36,777.48,940.15,802.15,699,1104.48,999.04,647.57,814.08,1277.93,1475.96,1455.22,1561.7,1270.05,919.83,592.83,737.25,738.39,729.27,902,1190.01,837.82,1191.15,878.15,801.53,911.33,992.92,902.51,794.59,598.12,861.46,934.86,1081.67,969.49,705.11,760.89,634.3,502.86,0,0,112.28,119.44,0,0,173.76,139.86,129.91,214.2,238.77,261.27,283.04,227.68,271.74,305.43,282.83,166.51,316.94,0,0,54.22,67.39,78.8,112.8,166.3,211.71,205.59,197.92,171.59,339.54,0,0,47.9,99.84,274.64,198.65,265.31,296.52,247.27,388.27,301.91,385.89,425.29,521.19,459.6,444.57,353.44,435.65,0,0,24.47,130.12,177.6,234.42,208.81,287.91,318.29,444.36,384.23,597.91,0,,603.5,2,,,,,,,,,,,,,,,,,,,,
0.5,0,306.06,135.61,242.92,173.14,154.58,161.32,187.86,170.86,174.9,167.96,162.46,203.42,235.35,295.17,269.67,182.37,259.4,225.71,280.14,306.37,220,234.73,250.28,199.06,168.58,193.67,266.35,279.83,288.22,339.44,252.87,336.33,360.07,413.88,361.21,347.84,390.24,391.69,332.81,461.57,361.63,296.83,327.73,610.97,621.96,482.21,550.01,426.63,480.96,452.35,462.51,435.65,485.42,409.11,364.32,480.24,360.18,298.18,391.8,417.82,548.97,403,332.39,323.99,350.02,655.87,614.5,422.18,362.15,376.76,482.21,670.69,463.85,358.73,500.04,389.83,512.17,460.02,565.87,414.61,634.2,490.19,578.42,569.29,778.41,731.86,575.41,536.12,492.16,615.12,399.57,707.91,761.31,641.45,600.81,662.81,655.14,498.17,606.62,513.72,375.94,597.81,656.38,494.13,613.56,695.26,1031.08,1033.56,945.44,985.98,826.62,728.03,1115.78,729.79,809.62,920.45,840,680.85,660.12,916.72,821.44,697.54,616.36,552.29,622.07,565.87,744.51,1008.27,477.12,514.55,586.4,609.83,771.57,519.94,700.45,617.82,1043,759.54,998.83,887.79,719.01,731.76,722.22,617.71,616.57,587.44,699.2,665.4,764.52,610.97,648.71,691.84,706.98,732.9,767.63,805.78,658.77,925.53,1304.06,1285.92,855.13,557.79,658.46,1189.81,1374.56,1039.68,913.4,781.11,794.17,821.96,829.53,774.58,646.64,1269.43,987.74,1176.02,841.03,779.35,614.19,720.35,693.09,888.52,917.55,815.01,777.48,940.15,802.15,699,1104.48,999.04,645.08,814.08,1277.93,1475.96,1455.22,1555.58,1270.05,919.83,592.31,737.25,736.11,724.29,895.36,1190.01,835.64,1189.29,877.84,801.53,910.81,992.92,902.51,794.59,598.12,858.04,934.86,1081.67,969.49,705.11,760.89,634.3,502.86,0,0,112.28,119.44,0,0,171.48,139.86,126.49,214.2,238.77,261.27,280.97,224.77,268.01,299.53,282.83,166.51,315.8,0,0,26.23,58.89,73.61,112.18,163.71,210.47,205.59,197.92,171.59,339.54,0,0,41.57,99.63,274.64,198.65,265.31,296.31,247.27,386.61,301.91,385.89,425.29,521.19,459.6,444.57,353.44,434.93,0,0,0,128.98,177.6,234.42,208.81,287.91,318.29,444.36,384.23,597.91,0,,603,3,,,,,,,,,,,,,,,,,,,,
0.5,0,306.06,135.61,242.92,173.14,154.58,161.32,187.86,170.86,174.9,167.96,160.7,197.61,231.31,287.91,261.37,175.84,259.4,225.71,280.14,306.37,220,229.02,250.28,195.12,168.58,193.67,266.35,271.64,288.22,339.44,249.55,336.33,360.07,413.88,361.21,347.84,390.24,391.69,331.35,456.8,348.98,292.16,327.73,519.84,621.96,481.48,548.77,420.52,480.96,452.35,462.51,435.65,485.42,409.11,362.66,467.07,358.1,298.18,391.8,415.54,547,401.34,329.38,314.77,350.02,655.04,608.9,421.24,362.15,376.76,482.21,668.41,462.09,358.73,498.9,387.86,510.51,460.02,565.87,414.61,634.2,489.15,578.42,569.29,778.41,730.82,570.02,529.59,491.23,615.12,399.57,707.91,761.31,641.45,600.81,660.22,652.24,495.48,606.62,513.41,375.94,597.81,654.72,494.13,610.25,695.26,1031.08,1017.49,942.53,984.21,826.62,728.03,1115.26,729.79,809.62,920.45,837.72,680.85,660.12,915.47,821.44,697.54,613.88,551.05,615.43,564.32,744.51,1008.27,475.26,514.55,584.95,609.83,759.23,519.53,700.45,614.81,1043,759.54,998.83,887.79,717.14,729.17,722.22,610.04,616.57,587.44,698.58,665.4,764.52,610.97,647.88,689.35,706.98,732.9,767.63,804.54,658.04,921.59,1304.06,1285.92,854.3,557.79,657.94,1187.94,1374.56,1038.13,911.85,778.72,789.61,821.96,827.24,774.58,645.08,1269.02,987.74,1176.02,841.03,777.58,614.19,716,691.95,885.3,914.23,815.01,777.48,932.89,802.05,698.06,1104.48,991.57,642.39,814.08,1276.27,1473.47,1452.94,1555.58,1270.05,918.79,592.31,736.32,736.11,724.29,895.36,1187.11,834.29,1189.29,875.97,801.53,910.81,992.61,902.51,794.59,595.32,858.04,930.82,1081.57,966.07,703.87,760.89,631.71,502.85,0,0,107.72,119.44,0,0,171.48,139.76,126.49,214.2,237.21,257.54,280.97,224.77,268.01,299.53,282.83,162.98,315.8,0,0,25.3,52.98,69.26,112.18,163.71,210.47,205.59,196.37,171.59,338.82,0,0,41.16,99.63,274.64,195.54,263.45,296.31,241.88,384.85,301.91,385.89,421.55,518.7,459.6,444.57,353.44,434.93,0,0,0,121.51,177.6,234.42,208.81,287.91,318.29,444.36,384.23,597.91,0,,602.5,4,,,,,,,,,,,,,,,,,,,,
0.5,0,306.06,135.61,242.92,173.14,154.58,161.32,185.38,170.86,173.14,162.05,160.7,197.61,231.31,287.91,261.37,175.84,259.4,225.71,280.14,306.37,220,224.25,250.28,195.12,162.67,179.36,263.03,271.64,288.22,339.44,249.55,336.33,360.07,411.91,357.69,339.86,387.86,358.62,331.35,456.8,321.5,289.26,327.73,519.84,615.12,481.48,546.59,420.52,480.96,447.37,462.51,432.75,455.77,400.71,360.18,466.24,358.1,298.18,391.8,415.33,546.9,401.34,329.38,310.51,350.02,655.04,607.03,421.24,362.15,366.09,482.21,665.92,462.09,352.09,495.48,387.86,505.84,460.02,563.18,414.61,634.2,484.49,577.69,555.09,771.05,730.82,562.66,528.76,487.18,610.77,399.57,707.91,761.31,641.45,600.81,660.22,652.24,495.48,605.48,508.02,375.94,597.81,654.72,489.26,610.25,695.26,1021.95,1017.49,942.53,977.16,825.59,707.7,1115.26,722.74,806.72,920.45,837.72,680.85,660.12,913.4,816.15,694.54,613.88,549.7,612.94,562.45,744.51,1006.09,473.5,514.55,584.95,606.72,758.51,517.46,690.6,614.81,1041.96,757.57,996.76,884.89,717.14,729.17,722.22,610.04,616.57,587.44,698.58,660.22,762.14,610.97,647.88,689.35,703.66,732.9,767.63,804.54,658.04,921.59,1297.32,1285.19,845.39,557.79,654.62,1187.94,1371.86,1034.6,911.85,776.65,788.78,817.5,823.72,774.58,645.08,1268.29,986.7,1173.63,835.64,777.58,611.08,716,688.32,885.3,914.23,815.01,775.3,932.89,799.56,695.37,1098.05,987.63,642.39,814.08,1276.07,1473.47,1450.35,1548.12,1253.15,918.79,586.4,736.32,736.11,724.29,875.56,1187.11,831.7,1188.87,875.56,801.12,906.14,992.61,901.06,794.17,595.32,858.04,930.82,1080.94,966.07,703.87,757.47,631.71,502.85,0,0,107.72,119.44,0,0,167.65,135.92,126.49,211.81,232.55,257.54,279.83,224.77,268.01,299.53,282.83,162.98,315.8,0,0,20.32,41.37,59.61,112.18,163.71,210.47,205.59,196.37,171.59,338.82,0,0,38.36,99.63,274.64,195.54,263.45,296.1,241.88,384.85,300.77,385.89,421.55,514.24,459.6,444.57,351.67,434.93,0,0,0,121.51,175.32,234.31,205.9,287.91,317.56,444.36,379.67,597.18,0,,602,5,,,,,,,,,,,,,,,,,,,,
