$Water balance Flows: computed flow to complete water balance,
NLJ,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,1353.32
44430.2,0
44430.25,-1925.39
44430.29,0
44430.33,1759.1
44430.37,0
44430.41,-1194.94
44430.45,0
44430.5,0
44430.54,0
44430.58,-605.73
44430.62,0
44430.66,0
44430.7,0
44430.75,-77.11
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,713.21
44431.08,0
44431.12,0
44431.16,0
44431.2,545.06
44431.25,0
44431.29,-183.72
44431.33,0
44431.37,3.58
44431.41,0
44431.45,-452.75
44431.5,0
44431.54,0
44431.58,0
44431.62,-170.8
44431.66,-66
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,33.87
44432.08,551.3
44432.12,1248.59
44432.16,0
44432.2,-411.85
44432.25,0
44432.29,337.96
44432.33,0
44432.37,-128.05
44432.41,-691.71
44432.45,0
44432.5,0
44432.54,0
44432.58,-473.27
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,47.08
44432.83,137.31
44432.87,275.88
44432.91,0
44432.95,125.72
44433,3.19
44433.04,491.57
44433.08,465.82
44433.12,304.47
44433.16,159.18
44433.2,122.81
44433.25,11.45
44433.29,0
44433.33,0
44433.37,-75.91
44433.41,-0.58
44433.45,-58.95
44433.5,-112.09
44433.54,-252.94
44433.58,-63.22
44433.62,-146.94
44433.66,-11.19
44433.7,-238.96
44433.75,-153.5
44433.79,0
44433.83,-48.72
44433.87,-16.18
44433.91,-159.37
44433.95,0
44434,122.9
44434.04,257.27
44434.08,283.02
44434.12,125.29
44434.16,293.31
44434.2,259.41
44434.25,10.05
44434.29,269.57
44434.33,32.35
44434.37,85.06
44434.41,97.84
44434.45,47.3
44434.5,26.58
44434.54,165.78
44434.58,157.88
44434.62,256.06
44434.66,337.05
44434.7,289.17
44434.75,117.32
44434.79,230.16
44434.83,265.75
44434.87,331
44434.91,249.31
44434.95,220
44435,190.14
44435.04,443.24
44435.08,430.55
44435.12,346.47
44435.16,326.38
44435.2,416.19
44435.25,145.14
44435.29,419.3
44435.33,259.41
44435.37,159.06
44435.41,140.09
44435.45,244.01
44435.5,126.58
44435.54,252.22
44435.58,185.06
44435.62,229.77
44435.66,274.55
44435.7,263.42
44435.75,68.74
44435.79,324.95
44435.83,225.57
44435.87,239.88
44435.91,234.62
44435.95,229.9
44436,193.22
44436.04,270.86
44436.08,0
44436.12,0
44436.16,893.55
44436.2,592.25
44436.25,130.06
44436.29,363.97
44436.33,233.65
44436.37,210.65
44436.41,549.61
44436.45,0
44436.5,102.23
44436.54,464.85
44436.58,482.38
44436.62,148.47
44436.66,103.72
44436.7,637.29
44436.75,171.87
44436.79,0
44436.83,0
44436.87,0
44436.91,513.47
44436.95,344.3
44437,0
44437.04,0
44437.08,445.26
44437.12,71.24
44437.16,516.68
44437.2,284.38
44437.25,89.59
44437.29,488.73
44437.33,0
44437.37,0
44437.41,282.68
44437.45,0
44437.5,0
44437.54,86.1
44437.58,329.55
44437.62,208.94
44437.66,0
44437.7,52.86
44437.75,146.14
44437.79,0
44437.83,230.94
44437.87,277.41
44437.91,0
44437.95,407.26
44438,127.57
44438.04,380.28
44438.08,160.41
44438.12,331.53
44438.16,522.83
44438.2,0
44438.25,249.18
44438.29,658.32
44438.33,0
44438.37,0
44438.41,346.63
44438.45,0
44438.5,0
44438.54,0
44438.58,-57.56
44438.62,0
44438.66,174.41
44438.7,140.15
44438.75,128.22
44438.79,239.09
44438.83,78.29
44438.87,190.94
44438.91,561.13
44438.95,0
44439,65.51
44439.04,405.38
44439.08,0
44439.12,0
44439.16,263.98
44439.2,0
44439.25,0
44439.29,156.3
44439.33,0
44439.37,303.54
44439.41,0
44439.45,0
44439.5,11.5
44439.54,4.08
44439.58,71.82
44439.62,121.77
44439.66,39.86
44439.7,0
44439.75,47.93
44439.79,113.17
44439.83,148.5
44439.87,91.18
44439.91,113.88
44439.95,63.41
44440,47.14
44440.04,218.51
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-583.96
44440.29,-221.94
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
44440.58,0
44440.62,-257.07
44440.66,0
44440.7,0
44440.75,0
44440.79,0
44440.83,0
44440.87,42.85
44440.91,315.38
44440.95,0
44441,0
44441.04,77.74
44441.08,374.52
44441.12,213.06
44441.16,56.42
44441.2,113.3
44441.25,306.61
44441.29,0
44441.33,0
44441.37,11.09
44441.41,0
44441.45,115.89
44441.5,0
44441.54,0
44441.58,0
44441.62,539.23
44441.66,0
44441.7,0
44441.75,0
44441.79,0
44441.83,-294.12
44441.87,-633
44441.91,0
44441.95,314.21
44442,0
44442.04,-403.53
44442.08,0
44442.12,0
44442.16,0
44442.2,0
44442.25,0
44442.29,0
44442.33,-32.75
44442.37,-72.35
44442.41,-321.72
44442.45,0
44442.5,0
44442.54,0
44442.58,0
44442.62,80.35
44442.66,0
44442.7,0
44442.75,0
44442.79,0
44442.83,0
44442.87,-123.84
44442.91,0
44442.95,0
44443,0
44443.04,164.68
44443.08,457.02
44443.12,0
44443.16,469.31
44443.2,54.87
44443.25,345.68
44443.29,0
44443.33,0
44443.37,0
44443.41,-460.4
44443.45,0
44443.5,0
44443.54,0
44443.58,-49.27
44443.62,-438.53
44443.66,0
44443.7,106.77
44443.75,0
44443.79,-73.15
44443.83,-344.04
44443.87,0
44443.91,766.28
44443.95,122.81
44444,0
44444.04,247.93
44444.08,291.44
44444.12,230.77
44444.16,576.4
44444.2,0
44444.25,189.66
44444.29,291.31
44444.33,387.72
44444.37,0
44444.41,53.12
44444.45,227.64
44444.5,317.11
44444.54,0
44444.58,112.46
44444.62,297.35
44444.66,330
44444.7,0
44444.75,196.2
44444.79,231.78
44444.83,302.7
44444.87,192.29
44444.91,41.67
44444.95,130.9
44445,197.2
44445.04,246.79
44445.08,196.77
44445.12,181.82
44445.16,478.5
44445.2,294.54
44445.25,27.53
44445.29,270.92
44445.33,165.91
44445.37,237.29
44445.41,0
44445.45,0
44445.5,220.95
44445.54,0
44445.58,1011.81
44445.62,4.71
44445.66,262.71
44445.7,412.7
44445.75,209.3
44445.79,113.37
44445.83,133.81
44445.87,251.59
44445.91,358.6
44445.95,0
44446,141.47
44446.04,409.4
44446.08,473.52
44446.12,72.12
44446.16,350.97
44446.2,302.76
44446.25,191.08
44446.29,149.47
44446.33,87.29
44446.37,137.47
44446.41,0
44446.45,0
44446.5,149.86
44446.54,734.87
44446.58,34.29
44446.62,224.88
44446.66,369.8
44446.7,0
44446.75,118.24
44446.79,880.13
44446.83,91.56
44446.87,320.82
44446.91,381.05
44446.95,404.61
44447,16.77
44447.04,374.91
44447.08,322.69
44447.12,270.71
44447.16,297.65
44447.2,317.64
44447.25,112.29
44447.29,402.99
44447.33,319.97
44447.37,219.18
44447.41,540.94
44447.45,257.85
44447.5,0
44447.54,0
44447.58,487.69
44447.62,78.71
44447.66,174.19
44447.7,201.43
44447.75,0
44447.79,0
44447.83,592.11
44447.87,619.88
44447.91,318.68
44447.95,347.86
44448,83.87
44448.04,597.37
44448.08,318.22
44448.12,364.18
44448.16,420.07
44448.2,402.8
44448.25,242.7
44448.29,526.64
44448.33,11.26
44448.37,12
44448.41,434.11
44448.45,0
44448.5,146.86
44448.54,188.42
44448.58,411.01
44448.62,133.88
44448.66,156.07
44448.7,313.24
44448.75,203.87
44448.79,194.77
44448.83,122.88
44448.87,269.77
44448.91,296.42
44448.95,199.1
44449,77.75
44449.04,264.91
44449.08,243.88
44449.12,120.06
44449.16,255.46
44449.2,192.57
44449.25,155.54
44449.29,186.81
44449.33,215.6
44449.37,401.94
44449.41,542.75
44449.45,0
44449.5,0
44449.54,-50.94
44449.58,0
44449.62,0
44449.66,0
44449.7,26.52
44449.75,81.13
44449.79,78.36
44449.83,94.02
44449.87,64.29
44449.91,60.18
44449.95,88.84
44450,4.43
44450.04,69.56
44450.08,67.23
44450.12,84.94
44450.16,79.52
44450.2,77.13
44450.25,70.53
44450.29,78.29
44450.33,85.35
44450.37,0
44450.41,0
44450.45,0
44450.5,-114.09
44450.54,-94.79
44450.58,-124.17
44450.62,0
44450.66,0
44450.7,0
44450.75,-9.17
44450.79,0
44450.83,0
44450.87,-20.93
44450.91,0
44450.95,30.86
44451,0
44451.04,80.17
44451.08,16.95
44451.12,0
44451.16,0
44451.2,0
44451.25,48.49
44451.29,0
44451.33,0
44451.37,0
44451.41,371.58
44451.45,38.82
44451.5,137.62
44451.54,112.72
44451.58,0
44451.62,0
44451.66,64.28
44451.7,84.18
44451.75,79.09
44451.79,69.17
44451.83,75.51
44451.87,69.71
44451.91,92.34
44451.95,80.17
44452,147.03
44452.04,0
44452.08,62.12
44452.12,79.77
44452.16,62.12
44452.2,73.18
