$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197.33,-2.64,-4.85,0.97,2.72,6.62,588.48
44197.38,-2.48,-4.57,0.78,2.83,6.54,588.53
44197.42,1.12,-2.92,0.73,2.57,6.47,588.68
44197.46,0.98,-2.99,0.61,1.72,5.77,589.05
44197.5,0.81,-3.11,0.83,0.86,5.28,588.7
44197.54,4.4,-2.09,0.89,0.55,5.39,587.92
44197.58,4.44,-1.76,0.89,0.33,5.19,586.92
44197.62,4.38,-0.82,0.79,3.13,6.27,586.58
44197.67,5.17,-0.54,1.18,2.95,6.83,586.2
44197.71,4.88,-0.5,1.42,0.02,7.8,586.44
44197.75,1.85,-2.35,1.51,0.12,6.16,586.31
44197.79,2.6,-1.89,1.3,0.38,4.24,586.34
44197.83,2.4,-1.68,1.3,0.77,3.44,586.7
44197.88,2.04,-1.62,1.24,0.88,2.62,586.95
44197.92,1.73,-1.26,0.99,0.97,1.81,587.14
44197.96,-0.28,-1.92,0.77,1.23,1.79,587.23
44198,-0.46,-2.12,0.34,2.48,1.72,587.1
44198.04,-0.64,-2.13,0.32,2.77,3.03,586.88
44198.08,-1.02,-2.44,0.6,2.78,5.6,586.4
44198.12,-1.31,-2.61,0.7,2.72,5.83,586.01
44198.17,-2.23,-3.44,0.77,2.68,6.49,585.74
44198.21,-2.63,-3.74,0.78,2.65,6.66,585.45
44198.25,-2.75,-3.92,1.09,2.81,6.54,585.25
44198.29,-2.44,-3.93,1.07,2.64,6.59,585.19
44198.33,-2.11,-4.15,1.19,2.66,6.89,585.92
44198.38,-2.26,-4.41,0.84,2.83,6.48,586.36
44198.42,3.08,-1.31,1.01,3.05,2.44,586.52
44198.46,3.92,-0.03,0.6,0.25,1.03,586.74
44198.5,5.77,0.29,0.61,0.84,0.71,586.12
44198.54,9.51,1.21,0.77,1.12,1.61,585.32
44198.58,9.74,1.4,0.82,1.43,0.86,584.47
44198.62,9.93,1.68,0.77,1.6,4.24,583.84
44198.67,10.09,1.42,0.88,1.99,3.34,583.47
44198.71,9.63,1.36,0.94,2.32,3.4,583.53
44198.75,5.98,0.27,0.79,2.75,1.98,583.59
44198.79,6.49,1.25,0.35,1.18,0.86,583.73
44198.83,6.16,1.27,0.53,1.08,0.41,584.17
44198.88,5.83,1.72,0.63,0.91,1.66,584.49
44198.92,4.5,1.42,0.36,0.84,1.92,584.56
44198.96,1.93,0.25,0.22,3.12,2,584.45
44199,1.91,0.23,0.82,3.03,1.98,584.04
44199.04,1.53,-0.1,0.88,2.82,3.83,584.08
44199.08,1.32,-0.51,0.91,2.8,3.84,583.68
44199.12,1.47,-0.39,0.95,2.78,3.83,583.56
44199.17,0.64,-0.71,1.11,2.76,3.87,583.26
44199.21,0.67,-0.67,1.16,2.73,3.84,583.31
44199.25,-0.32,-1.62,0.67,2.68,3.95,583.25
44199.29,-0.05,-1.51,1.06,2.99,3.91,583.44
44199.33,-0.12,-1.85,1.19,3.09,3.95,583.83
44199.38,0.78,-1.79,1.17,0,3.93,584.17
44199.42,4.1,0.7,1.06,0.33,3.65,584.41
44199.46,6.72,2.07,0.96,0.56,2.86,584.45
44199.5,7.38,2.19,1.01,0.95,2.44,583.99
44199.54,10.08,2.3,1.25,1.1,2.61,583.23
44199.58,10.12,1.13,1.8,0.92,5.4,582.22
44199.62,10.44,0.47,1.45,1.03,4.87,581.63
44199.67,10.68,-0.79,1.01,1.47,2.12,581.42
44199.71,9.35,-0.05,0.9,2.72,3.08,581.66
44199.75,6.69,-0.38,1.05,2.76,4.12,582.3
44199.79,6.28,0.46,0.72,2.46,4,582.48
44199.83,5.81,0.56,0.32,2.21,4.12,582.86
44199.88,4.91,0.46,0.56,0.9,4.24,583.14
44199.92,4.02,0.27,0.38,0.11,4.12,583.4
