file,role,exists,jday_rows,first_jday,last_jday,first_datetime,last_datetime
InputFiles\BHT\BHTOUTFLOW.npt,inflow_or_distributed_flow,True,8440,44197.0,44561.96,2021-01-01 00:00:00,2021-12-31 23:02:23.999999922
InputFiles\BHT\DT_QIN_BHT_AVG.csv,inflow_or_distributed_flow,True,1297,44430.0,44484.0,2021-08-22 00:00:00,2021-10-15 00:00:00
InputFiles\BHT\DT_TIN_BHT.npt,temperature,True,4381,44197.0,44562.0,2021-01-01 00:00:00,2022-01-01 00:00:00
InputFiles\BHT\TIN_BHT.npt,temperature,True,4381,44197.0,44562.0,2021-01-01 00:00:00,2022-01-01 00:00:00
InputFiles\BTH\DIXING20250226.csv,other_referenced,True,0,,,,
cases\xld_2021_base\InputFiles\lpr.npt,other_referenced,False,0,,,,
InputFiles\metinput_34.2_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_34_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_35_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_43.2_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_43_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_51_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_52_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_59.2_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_59_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_60.2_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_60.3_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_60_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\metinput_68_2021-2023.csv,meteorology,True,26280,44197.33,45292.29,2021-01-01 07:55:12.000000146,2024-01-01 06:57:36.000000077
InputFiles\TRIB\DT_QIN_JYH.csv,inflow_or_distributed_flow,True,1297,44430.0,44484.0,2021-08-22 00:00:00,2021-10-15 00:00:00
