year,role,required_files,files_covering_full_year,role_ready,all_required_roles_ready
2020,inflow_or_distributed_flow,12,0,False,False
2020,meteorology,13,0,False,False
2020,reservoir_outflow,1,0,False,False
2020,temperature,12,0,False,False
2021,inflow_or_distributed_flow,12,6,False,False
2021,meteorology,13,0,False,False
2021,reservoir_outflow,1,1,True,False
2021,temperature,12,12,True,False
2022,inflow_or_distributed_flow,12,5,False,False
2022,meteorology,13,13,True,False
2022,reservoir_outflow,1,0,False,False
2022,temperature,12,0,False,False
2023,inflow_or_distributed_flow,12,0,False,False
2023,meteorology,13,13,True,False
2023,reservoir_outflow,1,0,False,False
2023,temperature,12,0,False,False
2024,inflow_or_distributed_flow,12,0,False,False
2024,meteorology,13,0,False,False
2024,reservoir_outflow,1,0,False,False
2024,temperature,12,0,False,False
2025,inflow_or_distributed_flow,12,0,False,False
2025,meteorology,13,0,False,False
2025,reservoir_outflow,1,0,False,False
2025,temperature,12,0,False,False
