year,contract,required_variables,common_valid_hours,year_hours,coverage_percent,first_common,last_common,longest_common_run_hours
2020,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,109,8784,1.2408925318761386,2020-12-02 00:00:00,2020-12-31 22:00:00,3
2020,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,109,8784,1.2408925318761386,2020-12-02 00:00:00,2020-12-31 22:00:00,3
2020,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,109,8784,1.2408925318761386,2020-12-02 00:00:00,2020-12-31 22:00:00,3
2020,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,524,8784,5.965391621129326,2020-12-02 00:00:00,2020-12-31 22:00:00,143
2021,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,4375,8760,49.94292237442922,2021-01-01 00:00:00,2021-12-31 22:00:00,1
2021,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,4375,8760,49.94292237442922,2021-01-01 00:00:00,2021-12-31 22:00:00,1
2021,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,4299,8760,49.07534246575342,2021-01-01 00:00:00,2021-12-31 22:00:00,1
2021,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,4376,8760,49.954337899543376,2021-01-01 00:00:00,2021-12-31 22:00:00,1
2022,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,4289,8760,48.961187214611876,2022-01-01 00:00:00,2022-12-31 22:00:00,1
2022,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,4289,8760,48.961187214611876,2022-01-01 00:00:00,2022-12-31 22:00:00,1
2022,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,4276,8760,48.81278538812786,2022-01-01 00:00:00,2022-12-31 22:00:00,1
2022,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,4378,8760,49.97716894977169,2022-01-01 00:00:00,2022-12-31 22:00:00,1
2023,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,4327,8760,49.39497716894977,2023-01-01 00:00:00,2023-12-31 22:00:00,1
2023,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,4326,8760,49.38356164383562,2023-01-01 00:00:00,2023-12-31 22:00:00,1
2023,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,4326,8760,49.38356164383562,2023-01-01 00:00:00,2023-12-31 22:00:00,1
2023,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,4374,8760,49.93150684931506,2023-01-01 00:00:00,2023-12-31 22:00:00,1
2024,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,4387,8784,49.943078324225866,2024-01-01 00:00:00,2024-12-31 22:00:00,1
2024,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,4387,8784,49.943078324225866,2024-01-01 00:00:00,2024-12-31 22:00:00,1
2024,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,2515,8784,28.6316029143898,2024-01-01 00:00:00,2024-08-05 14:00:00,1
2024,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,4387,8784,49.943078324225866,2024-01-01 00:00:00,2024-12-31 22:00:00,1
2025,macro_endpoints,BHT_Q_TD+BHT_WL+SJ_WL,4352,8760,49.68036529680365,2025-01-01 00:00:00,2025-12-30 10:00:00,1
2025,macro_plus_xld_boundary,BHT_Q_TD+BHT_WL+SJ_WL+XLD_WL,4351,8760,49.6689497716895,2025-01-01 00:00:00,2025-12-30 10:00:00,1
2025,full_waterline,BHT_Q_TD+BHT_WL+SJ_WL+YMT_WL+SLB_WL+HH_WL+SS_WL+XLD_WL,0,8760,0.0,,,0
2025,flow_balance_observed,BHT_Q_TD+XLD_Q_SW,4352,8760,49.68036529680365,2025-01-01 00:00:00,2025-12-30 10:00:00,1
