year,location,overlap_hours,td_minus_sw_bias_m3s,td_minus_sw_rmse_m3s,p95_absolute_difference_m3s,correlation
2020,BHT,0,,,,
2020,XLD,4391,-0.48394443179230245,15.279279697240302,0.0,0.9999891733031313
2021,BHT,0,,,,
2021,XLD,4395,0.1390216154721274,10.314563304121085,0.0,0.9999893181579989
2022,BHT,0,,,,
2022,XLD,4368,-0.2834249084249084,32.31793891670964,0.0,0.9998738421281163
2023,BHT,0,,,,
2023,XLD,4368,0.03663003663003663,3.108242616201663,0.0,0.9999980572407312
2024,BHT,0,,,,
2024,XLD,4376,0.06946983546617916,3.122645365196383,0.0,0.999998430922772
2025,BHT,0,,,,
2025,XLD,4344,0.5244014732965009,13.672370008797252,0.0,0.9999640032662954
