year,stage_variable,q_threshold_m3s,stage_threshold_m,q_class,stage_class,hours,percent_of_overlap
2020,SJ_WL,1720.0,590.705,low_q,low_stage,147,28.053435114503817
2020,SJ_WL,1720.0,590.705,low_q,high_stage,116,22.137404580152673
2020,SJ_WL,1720.0,590.705,high_q,low_stage,115,21.946564885496183
2020,SJ_WL,1720.0,590.705,high_q,high_stage,146,27.862595419847327
2020,XLD_WL,1720.0,590.48,low_q,low_stage,145,27.671755725190838
2020,XLD_WL,1720.0,590.48,low_q,high_stage,118,22.519083969465647
2020,XLD_WL,1720.0,590.48,high_q,low_stage,119,22.709923664122137
2020,XLD_WL,1720.0,590.48,high_q,high_stage,142,27.099236641221374
2021,SJ_WL,2520.0,584.8199999999999,low_q,low_stage,1267,28.953382084095065
2021,SJ_WL,2520.0,584.8199999999999,low_q,high_stage,980,22.39488117001828
2021,SJ_WL,2520.0,584.8199999999999,high_q,low_stage,921,21.046617915904935
2021,SJ_WL,2520.0,584.8199999999999,high_q,high_stage,1208,27.60511882998172
2021,XLD_WL,2520.0,584.51,low_q,low_stage,1263,28.86197440585009
2021,XLD_WL,2520.0,584.51,low_q,high_stage,984,22.486288848263253
2021,XLD_WL,2520.0,584.51,high_q,low_stage,925,21.13802559414991
2021,XLD_WL,2520.0,584.51,high_q,high_stage,1204,27.513711151736747
2022,SJ_WL,2625.0,580.785,low_q,low_stage,587,13.682983682983682
2022,SJ_WL,2625.0,580.785,low_q,high_stage,1558,36.31701631701632
2022,SJ_WL,2625.0,580.785,high_q,low_stage,1558,36.31701631701632
2022,SJ_WL,2625.0,580.785,high_q,high_stage,587,13.682983682983682
2022,XLD_WL,2600.0,580.465,low_q,low_stage,575,13.133851073549566
2022,XLD_WL,2600.0,580.465,low_q,high_stage,1617,36.93467336683417
2022,XLD_WL,2600.0,580.465,high_q,low_stage,1614,36.866148926450435
2022,XLD_WL,2600.0,580.465,high_q,high_stage,572,13.06532663316583
2023,SJ_WL,2970.0,568.98,low_q,low_stage,1362,31.47677374624451
2023,SJ_WL,2970.0,568.98,low_q,high_stage,823,19.02010630922117
2023,SJ_WL,2970.0,568.98,high_q,low_stage,802,18.534781603882596
2023,SJ_WL,2970.0,568.98,high_q,high_stage,1340,30.968338340651723
2023,XLD_WL,2970.0,566.2,low_q,low_stage,1372,31.39588100686499
2023,XLD_WL,2970.0,566.2,low_q,high_stage,843,19.290617848970253
2023,XLD_WL,2970.0,566.2,high_q,low_stage,813,18.60411899313501
2023,XLD_WL,2970.0,566.2,high_q,high_stage,1342,30.709382151029747
2024,SJ_WL,2940.0,584.49,low_q,low_stage,1248,28.447686346022337
2024,SJ_WL,2940.0,584.49,low_q,high_stage,954,21.746067927968998
2024,SJ_WL,2940.0,584.49,high_q,low_stage,947,21.586505584682016
2024,SJ_WL,2940.0,584.49,high_q,high_stage,1238,28.219740141326646
2024,XLD_WL,2940.0,584.0,low_q,low_stage,1230,28.037383177570092
2024,XLD_WL,2940.0,584.0,low_q,high_stage,972,22.156371096421246
2024,XLD_WL,2940.0,584.0,high_q,low_stage,964,21.974014132664692
2024,XLD_WL,2940.0,584.0,high_q,high_stage,1221,27.83223159334397
2025,SJ_WL,2970.0,585.57,low_q,low_stage,820,18.82893226176808
2025,SJ_WL,2970.0,585.57,low_q,high_stage,1369,31.435132032146957
2025,SJ_WL,2970.0,585.57,high_q,low_stage,1358,31.182548794489094
2025,SJ_WL,2970.0,585.57,high_q,high_stage,808,18.553386911595865
2025,XLD_WL,2970.0,585.125,low_q,low_stage,807,18.53468075333027
2025,XLD_WL,2970.0,585.125,low_q,high_stage,1382,31.740927882406982
2025,XLD_WL,2970.0,585.125,high_q,low_stage,1370,31.46531924666973
2025,XLD_WL,2970.0,585.125,high_q,high_stage,795,18.259072117593018
