source,year,variable,expected_hours,numeric_hours,valid_hours,valid_percent,missing_or_nonnumeric,out_of_range,zero_flow_review,longest_invalid_gap_hours,valid_min,valid_p05,valid_median,valid_p95,valid_max,valid_mean,first_valid,last_valid
XLD库区水位2020-2025.xlsx,2020,BHT_WL,8784,406,406,4.622040072859745,8378,0,0,7873,589.75,589.89,592.93,594.6175000000001,594.69,592.4315517241379,2020-11-24 01:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,XLD_WL,8784,8784,8784,100.0,0,0,0,0,544.4,548.3014999999999,587.8,598.95,599.73,581.1288069216757,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,SJ_WL,8784,5160,5160,58.7431693989071,3624,0,0,3624,559.23,564.8285000000001,590.91,599.38,599.87,588.8133391472868,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,SLB_WL,8784,5139,5139,58.504098360655746,3645,0,0,3624,557.1,560.755,590.59,599.29,599.76,587.872043199066,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,YMT_WL,8784,8784,8784,100.0,0,0,0,0,509.42,553.12,587.89,599.01,599.88,581.7899464936248,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,HH_WL,8784,5160,5160,58.7431693989071,3624,0,0,3624,542.29,542.84,590.59,599.18,599.66,584.8238972868218,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2020,SS_WL,8784,5159,5159,58.73178506375227,3625,0,0,3624,557.05,560.716,590.59,599.28,599.76,587.8855030044582,2020-01-01 00:00:00,2020-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2021,BHT_WL,8760,8759,8758,99.9771689497717,1,1,0,1,573.38,577.91,588.595,599.71,606.33,589.2289084265814,2021-01-01 00:00:00,2021-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2021,XLD_WL,8760,8760,8760,100.0,0,0,0,0,539.79,541.26,584.52,598.87,599.49,578.1472328767123,2021-01-01 00:00:00,2021-12-31 23:00:00
XLD库区水位2020-2025.xlsx,2021,SJ_WL,8760,8760,8760,100.0,0,0,0,0,551.22,554.05,584.845,599.16,600.12,580.6995742009132,2021-01-01 00:00:00,2021-12-31 23:00:00
