group,year,neff,input_samples,representable_samples,representable_percent,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_0p5m_percent,stage_within_1p0m_percent,samples,bias_m3s,mae_m3s,rmse_m3s,median_ratio,within_20pct_percent
all,2020,0.07,166,166,100.0,0.03704694428913777,0.3329107201909617,0.5371690016703792,0.9761048722272264,90.96385542168674,91.56626506024097,166,-152.68861736204468,656.8201908374289,948.4928316049562,0.7029578587873175,1.8072289156626504
all,2020,0.0725,166,166,100.0,0.0658880600482981,0.3579221221371869,0.5429256478826596,0.975418370091162,90.96385542168674,91.56626506024097,166,-199.819307447012,676.1091580654792,924.170560776521,0.6773335285035098,1.2048192771084338
all,2020,0.075,166,166,100.0,0.09515953308598442,0.3832448654173788,0.5502955927567386,0.9746473142851998,90.96385542168674,91.56626506024097,166,-243.57229253546927,693.9761558473505,904.3399775385329,0.653556063961547,0.6024096385542169
all,2021,0.07,7949,6563,82.56384450874323,0.19908922067242954,1.2480019163986285,1.781772441770421,0.9682211033046519,41.149830167316644,59.74336394515033,7849,-488.11622767838736,798.4535786776851,1075.2486017248466,0.7225903823057842,40.74404382723914
all,2021,0.0725,7949,6559,82.51352371367467,0.3028225538178602,1.279703985535351,1.8136309280032354,0.967619266696072,42.307208453893566,58.67404704994339,7849,-598.3294503357453,814.9698986645692,1053.5230233793666,0.6961166764163604,39.0113390240795
all,2021,0.075,7949,6552,82.42546232230468,0.4082507660114505,1.333563853825937,1.8549137216864993,0.9668927517490367,36.960623977858845,55.99446471254246,7849,-700.824339542069,857.2394353266443,1053.2939492126236,0.671510653798334,36.20843419543891
all,2022,0.07,7813,7073,90.52860616920518,0.7098262235780863,1.17486466144209,1.7645342909502635,0.9571339168595463,45.57788301548701,60.59132215538205,7813,-590.1170157462979,792.0109569650069,1054.1823243342042,0.7177331599647635,42.89005503647766
all,2022,0.0725,7813,6976,89.2870856265199,0.8415120017664046,1.2044152692061167,1.819541683355186,0.9575926776293358,46.729809292205296,60.66811724049661,7813,-698.7259382811613,813.8869053966341,1073.6851408141395,0.6917760389841753,41.136567259695376
all,2022,0.075,7813,6921,88.5831306796365,0.9741077503287368,1.274689310126695,1.8890138309230522,0.957518826216373,41.02137463202355,59.27300652758224,7813,-799.688750333545,865.8454689949779,1106.6101160521139,0.66761994113239,38.97350569563548
all,2023,0.07,8449,6419,75.97348798674399,0.047164714751968206,1.095810583264352,1.4708958425286922,0.9711243821614218,41.81559947922831,56.01846372351758,8449,-574.255739193508,656.3136121337826,756.1135183680309,0.7744156732040305,45.011243934193395
all,2023,0.0725,8449,6316,74.75440880577582,0.16866751747335346,1.1748454634611287,1.52843965158396,0.9694142897378756,35.672860693573206,54.47982009705291,8449,-678.7601578490087,724.9485688038701,813.0871601422082,0.7462421370890949,39.19990531423837
all,2023,0.075,8449,6196,73.3341223813469,0.2816778425056267,1.2627944659434767,1.5894907820380666,0.9679135182046535,26.594863297431647,51.80494733104509,8449,-775.8424405636987,802.1677789644564,878.1707339036798,0.7199097784418788,34.84436027932299
all,2024,0.07,8670,8640,99.65397923875432,0.7230759250681351,0.9175730545243148,1.2090394738755452,0.9895709101889438,42.0876585928489,62.67589388696655,8670,-543.364156928497,690.2442633358849,799.2903116755418,0.7966482539960724,48.88119953863899
all,2024,0.0725,8670,8625,99.48096885813149,0.8720949523645509,0.9756080188495975,1.2786428125471136,0.9911849929882254,40.74971164936563,60.73817762399077,8670,-657.0056140519529,731.2520105488057,840.171645550689,0.7679152639674993,45.31718569780854
all,2024,0.075,8670,8608,99.28489042675895,1.0168451658735231,1.0668162768350131,1.3640518363544816,0.9922902100840315,36.68973471741638,55.720876585928494,8670,-762.5851893959132,795.5045197777767,895.8117816603708,0.741227753135788,41.510957324106116
all,2025,0.07,8280,8260,99.7584541062802,0.5865583262349356,0.7193925507292285,0.9414134283326381,0.9924951753629714,50.5072463768116,74.6256038647343,8280,-595.1386712710412,689.43828316588,774.7683941883785,0.7962020857615963,49.468599033816425
all,2025,0.0725,8280,8250,99.63768115942028,0.7194346386429201,0.7847050962077096,1.0131009361149614,0.9935294009549486,46.58212560386473,70.19323671497585,8280,-705.24979412812,747.5751632758978,833.29838996757,0.7675201590480369,45.12077294685991
all,2025,0.075,8280,8237,99.48067632850241,0.8556058464536956,0.8790188903807136,1.105435983409991,0.9943251647628043,38.212560386473434,66.08695652173913,8280,-807.5446270423924,820.7590761705286,900.9815379299052,0.740727901412753,34.432367149758456
falling_flow,2020,0.07,0,0,,,,,,,,0,,,,,
falling_flow,2020,0.0725,0,0,,,,,,,,0,,,,,
falling_flow,2020,0.075,0,0,,,,,,,,0,,,,,
falling_flow,2021,0.07,569,509,89.45518453427064,-0.1935290947605294,0.7506128260562791,1.213895545998978,0.9793804139035963,60.632688927943754,78.55887521968366,569,-120.64325648077181,710.7805899103638,1182.603185852025,0.9438415681056103,73.4622144112478
falling_flow,2021,0.0725,569,507,89.103690685413,-0.042904583347243556,0.7614306782807642,1.2074042853892428,0.9790096336103896,60.28119507908612,79.78910369068541,569,-298.7494954777095,721.141153998699,1135.4543954562557,0.9098585514888318,70.82601054481546
falling_flow,2021,0.075,569,506,88.92794376098419,0.1118045639251551,0.8168110861116308,1.2307105135244911,0.9782304269079624,52.196836555360285,76.6256590509666,569,-464.45405535896265,772.2222727821977,1123.6976466156993,0.8782832431197264,65.37785588752196
falling_flow,2022,0.07,998,944,94.58917835671342,0.37620772427634813,1.3084743837615662,1.998926706597378,0.913255732955425,35.671342685370746,55.11022044088176,998,-348.31274240917827,842.4133858758067,1204.7165459810574,0.9281787023010788,55.31062124248497
falling_flow,2022,0.0725,998,937,93.88777555110221,0.5535189323128444,1.3125327340288762,2.039538729010058,0.9131005121684951,39.37875751503006,58.116232464929865,998,-490.5426363298451,828.6833494587407,1196.6571487323959,0.8950945818897555,52.40480961923848
falling_flow,2022,0.075,998,932,93.3867735470942,0.7271279190628762,1.353652761313019,2.1016602958303623,0.9118723266059213,35.47094188376754,55.51102204408818,998,-622.7929164619156,850.2438996799801,1210.3607594325722,0.8644345049807489,51.00200400801603
falling_flow,2023,0.07,1497,1268,84.70273881095525,0.11892350925718922,0.8375518293194169,1.200742834956855,0.9818801659119281,50.76820307281229,67.40146960587843,1497,-417.8471143443846,617.4566967143807,733.6382232228808,0.8578345251829476,58.31663326653307
falling_flow,2023,0.0725,1497,1261,84.23513694054776,0.24237078821919208,0.8762388956905628,1.2331410270857635,0.9814648476671469,48.897795591182366,67.8690714762859,1497,-539.8691362325833,659.7304628230601,772.4082534345638,0.8271989725660956,54.04141616566466
falling_flow,2023,0.075,1497,1251,83.56713426853707,0.3686474494903045,0.9410571472859437,1.2878926799293378,0.980714182276474,41.5497661990648,67.33466933867736,1497,-653.2731824312481,721.0505659158858,828.1367254009612,0.7986516113460131,49.498997995991985
falling_flow,2024,0.07,1789,1789,100.0,0.12227617814657377,0.6548230246546695,0.87681552740521,0.9811993174002301,52.040245947456675,78.53549468977083,1789,-153.37899705316698,555.053711951404,663.2778968665588,0.9364995877160284,68.921185019564
falling_flow,2024,0.0725,1789,1789,100.0,0.30884426181001357,0.6395410819857837,0.8622815363414051,0.984381418972977,52.59921743991056,80.93907210732253,1789,-307.89636042248486,547.6613666326717,656.694575653771,0.9030850786926806,67.9709334823924
falling_flow,2024,0.075,1789,1789,100.0,0.49069780390413137,0.6819705024106354,0.9000234829314147,0.986709644592731,48.5187255449972,79.37395192845165,1789,-451.5607177229811,583.4732113028455,691.2456796603759,0.8720198163309015,65.95863610955841
falling_flow,2025,0.07,1311,1310,99.92372234935164,0.11470041994919009,0.5363998596458083,0.6804799867352161,0.9903387923704743,57.20823798627003,86.88024408848207,1311,-221.89456780949686,530.9036401658929,625.47601747841,0.9448463859877384,78.03203661327231
falling_flow,2025,0.0725,1311,1309,99.84744469870328,0.30113039948134707,0.5416183966118072,0.689400855185966,0.9918177908436607,59.95423340961098,85.04958047292143,1311,-386.85291281100046,548.3789180266638,657.947483246114,0.911315581385219,75.89626239511823
falling_flow,2025,0.075,1311,1305,99.54233409610984,0.4923278239986913,0.6000261221050502,0.75905932754266,0.9930371490047393,53.165522501906935,81.00686498855835,1311,-540.2396747106283,606.9910704366581,727.8293485750113,0.8797456925069508,69.48893974065598
rising_flow,2020,0.07,0,0,,,,,,,,0,,,,,
rising_flow,2020,0.0725,0,0,,,,,,,,0,,,,,
rising_flow,2020,0.075,0,0,,,,,,,,0,,,,,
rising_flow,2021,0.07,589,518,87.94567062818336,-0.34536681564616567,0.8004144520695329,1.4732957097119892,0.9721998780782986,63.83701188455009,79.11714770797963,588,-154.70192363171253,588.4410744162649,811.6718021539511,0.9710901610457562,78.57142857142857
rising_flow,2021,0.0725,589,517,87.77589134125637,-0.19149999725914313,0.7974109493234275,1.4648707404990307,0.9714348442434894,65.02546689303905,80.1358234295416,588,-333.74987522441575,598.2437577574192,812.6574136127292,0.9365265012105684,75.34013605442176
rising_flow,2021,0.075,589,512,86.92699490662139,-0.03721354117469642,0.8383086618921545,1.4783366755699487,0.9704293366235055,57.72495755517827,79.11714770797963,588,-500.3556046124246,657.7998789457165,855.5670788585322,0.9043922111951389,70.74829931972789
rising_flow,2022,0.07,951,886,93.16508937960042,0.8476151369465819,1.606341446959808,2.327664089913136,0.913438409115457,33.33333333333333,48.68559411146162,951,-647.9285001080992,1002.7202672839178,1408.5107188620611,0.8294828180272674,47.94952681388013
rising_flow,2022,0.0725,951,876,92.11356466876973,1.0194055309621715,1.6387382538896202,2.3946969502264124,0.9129959069991737,34.27970557308097,48.89589905362776,951,-780.0082298127447,1010.7585975482074,1421.8118785255556,0.8001738692818976,46.47739221871714
rising_flow,2022,0.075,951,869,91.37749737118823,1.1854152788237757,1.7139848626463856,2.4743221152750254,0.9118655977322986,30.70452155625657,47.213459516298634,951,-902.8181104607248,1056.14158501098,1450.3083130260234,0.7717722620470662,43.743427970557306
rising_flow,2023,0.07,1557,1248,80.15414258188824,0.24329511014703423,1.1389460992992748,1.6111547331268974,0.9710952919422797,44.38021836865767,60.05138086062941,1557,-729.7443951200664,776.4256044734726,902.3394059169839,0.7855649909323136,46.82080924855491
rising_flow,2023,0.0725,1557,1237,79.44765574823379,0.35782344534428034,1.2212161009259381,1.6684676406576804,0.9698313154047749,40.59087989723828,57.16120745022479,1557,-839.8146548782382,860.5062912575833,972.464138709932,0.7571432573495542,41.811175337186896
rising_flow,2023,0.075,1557,1226,78.74116891457932,0.4748261495356245,1.322872135807896,1.7378698610414207,0.9683596802156161,31.66345536287733,53.94990366088632,1557,-942.0909293285953,951.7607792589782,1047.0412344626402,0.730691456751686,35.90237636480411
rising_flow,2024,0.07,1875,1847,98.50666666666666,0.5048438017535622,0.6647238879596822,0.9143098459119349,0.9871104709727168,54.45333333333333,78.82666666666667,1875,-465.6159070702103,577.2209487267016,711.7236730168391,0.8842558771029919,66.4
rising_flow,2024,0.0725,1875,1834,97.81333333333333,0.6842975215233319,0.7429968009792297,1.004351608051853,0.9884920188161622,47.14666666666666,73.33333333333333,1875,-608.9707122564733,644.1513298140873,783.192712651347,0.8525269472463357,62.50666666666667
