year,boundary_method,samples,stage_bias_m,stage_mae_m,stage_rmse_m,within_1p0m_percent
2020,interp,166,0.0658880600482981,0.3579221221371869,0.5429256478826596,91.56626506024097
2020,sj,166,0.05996551572732584,0.37092520651379096,0.5733419040496032,91.56626506024097
2021,interp,7949,0.3028225538178602,1.279703985535351,1.8136309280032354,58.67404704994339
2021,sj,7949,0.39333950736346796,1.1978965357933513,1.694781856359911,58.975971820354765
2022,interp,7813,0.8415120017664046,1.2044152692061167,1.819541683355186,60.66811724049661
2022,sj,7813,0.8830328489144494,1.1767030351539063,1.8042990393569305,62.99756815563804
2023,interp,8449,0.16866751747335346,1.1748454634611287,1.52843965158396,54.47982009705291
2023,sj,8449,0.22889472455899082,1.1315007269753925,1.4626552611592105,55.18996330926736
2024,interp,8670,0.8720949523645509,0.9756080188495975,1.2786428125471136,60.73817762399077
2024,sj,8670,0.8777364784147853,0.9798755492052741,1.281209027008648,60.64590542099193
2025,interp,8280,0.7194346386429201,0.7847050962077096,1.0131009361149614,70.19323671497585
2025,sj,8280,0.7232198789980026,0.7885192741119739,1.0158446946132835,70.02415458937197
