line_number,neff,qtarget,wup,wdn,python_flow_m3s,python_minus_logged_target_m3s,note
308,0.0725,5360.0,588.87,576.57,5363.089213490597,3.0892134905971034,logged QTARGET is an old/new average after the first step
466,0.0725,5469.8,589.09,576.35,5553.720074448501,83.9200744485006,logged QTARGET is an old/new average after the first step
624,0.0725,5624.7,589.16,576.28,5621.596413331037,-3.1035866689626346,logged QTARGET is an old/new average after the first step
782,0.0725,5763.4,589.32,576.12,5774.689257274708,11.289257274708689,logged QTARGET is an old/new average after the first step
940,0.0725,5868.2,589.49,575.95,5934.544890705573,66.34489070557356,logged QTARGET is an old/new average after the first step
1098,0.0725,6014.5,589.64,575.79,6075.601554952493,61.101554952492734,logged QTARGET is an old/new average after the first step
1256,0.0725,6148.6,589.78,575.64,6203.598171927907,54.9981719279067,logged QTARGET is an old/new average after the first step
1414,0.0725,6267.4,589.9,575.52,6314.589219051429,47.18921905142906,logged QTARGET is an old/new average after the first step
1572,0.0725,6361.9,590.0,575.4,6404.78008291203,42.88008291203005,logged QTARGET is an old/new average after the first step
1730,0.0725,6424.4,590.07,575.31,6442.125612759298,17.7256127592982,logged QTARGET is an old/new average after the first step
1888,0.0725,6467.6,590.12,575.23,6488.618558615812,21.018558615811344,logged QTARGET is an old/new average after the first step
1922,0.0725,6489.0,590.15,575.18,6489.3182603265295,0.31826032652952563,logged QTARGET is an old/new average after the first step
1955,0.0725,6517.0,590.14,575.14,6513.01894998296,-3.9810500170397063,logged QTARGET is an old/new average after the first step
1988,0.0725,6508.5,590.12,575.13,6497.474849433864,-11.02515056613629,logged QTARGET is an old/new average after the first step
2021,0.0725,6483.2,590.08,575.12,6465.6523277443885,-17.54767225561136,logged QTARGET is an old/new average after the first step
2054,0.0725,6445.7,590.03,575.13,6424.207024070511,-21.49297592948915,logged QTARGET is an old/new average after the first step
2087,0.0725,6416.3,589.98,575.13,6410.138934298387,-6.161065701613552,logged QTARGET is an old/new average after the first step
2120,0.0725,6387.7,589.93,575.13,6369.932432318691,-17.76756768130872,logged QTARGET is an old/new average after the first step
2153,0.0725,6349.1,589.88,575.12,6330.335969766084,-18.764030233915946,logged QTARGET is an old/new average after the first step
2186,0.0725,6315.4,589.84,575.11,6298.733767891974,-16.666232108025724,logged QTARGET is an old/new average after the first step
2219,0.0725,6295.2,589.81,575.08,6276.609739550896,-18.59026044910388,logged QTARGET is an old/new average after the first step
2252,0.0725,6294.3,589.78,575.05,6254.452740964689,-39.847259035311254,logged QTARGET is an old/new average after the first step
2286,0.0725,6328.5,589.73,575.08,6211.687501369196,-116.81249863080393,logged QTARGET is an old/new average after the first step
2319,0.0725,6281.8,589.76,574.99,6244.416337268138,-37.38366273186239,logged QTARGET is an old/new average after the first step
2352,0.0725,6293.6,589.72,574.97,6213.359016082447,-80.24098391755342,logged QTARGET is an old/new average after the first step
2385,0.0725,6288.6,589.7,574.92,6200.634901695859,-87.96509830414107,logged QTARGET is an old/new average after the first step
2418,0.0725,6287.3,589.68,574.88,6187.1722080399695,-100.12779196003066,logged QTARGET is an old/new average after the first step
2451,0.0725,6282.9,589.66,574.83,6174.370455841943,-108.52954415805652,logged QTARGET is an old/new average after the first step
2484,0.0725,6283.3,589.65,574.78,6169.660782246719,-113.63921775328163,logged QTARGET is an old/new average after the first step
2517,0.0725,6284.9,589.63,574.73,6156.914153195372,-127.98584680462773,logged QTARGET is an old/new average after the first step
2550,0.0725,6285.8,589.62,574.68,6152.122036827974,-133.67796317202647,logged QTARGET is an old/new average after the first step
2586,0.0725,6299.7,589.6,574.65,6137.838131236527,-161.86186876347256,logged QTARGET is an old/new average after the first step
2619,0.0725,6288.8,589.61,574.59,6149.888640890609,-138.91135910939101,logged QTARGET is an old/new average after the first step
2652,0.0725,6286.9,589.61,574.54,6153.092521367498,-133.80747863250144,logged QTARGET is an old/new average after the first step
2685,0.0725,6284.0,589.6,574.49,6148.133349537765,-135.86665046223516,logged QTARGET is an old/new average after the first step
2718,0.0725,6285.2,589.58,574.45,6137.696693045475,-147.50330695452521,logged QTARGET is an old/new average after the first step
2751,0.0725,6280.8,589.57,574.41,6133.989568050265,-146.81043194973518,logged QTARGET is an old/new average after the first step
2784,0.0725,6277.6,589.56,574.36,6130.920545784485,-146.67945421551576,logged QTARGET is an old/new average after the first step
2817,0.0725,6273.0,589.55,574.32,6125.23714766181,-147.76285233819,logged QTARGET is an old/new average after the first step
2850,0.0725,6268.9,589.53,574.28,6111.403091968564,-157.49690803143585,logged QTARGET is an old/new average after the first step
2883,0.0725,6263.7,589.52,574.23,6106.751236486787,-156.94876351321273,logged QTARGET is an old/new average after the first step
2916,0.0725,6255.3,589.51,574.18,6101.572967282226,-153.7270327177739,logged QTARGET is an old/new average after the first step
2949,0.0725,6249.8,589.49,574.14,6087.650667780909,-162.14933221909087,logged QTARGET is an old/new average after the first step
2982,0.0725,6268.6,589.45,574.13,6055.676862083578,-212.9231379164221,logged QTARGET is an old/new average after the first step
3015,0.0725,6229.7,589.47,574.05,6076.546059931624,-153.15394006837596,logged QTARGET is an old/new average after the first step
3048,0.0725,6232.3,589.44,574.02,6053.844025850308,-178.45597414969234,logged QTARGET is an old/new average after the first step
3081,0.0725,6222.7,589.42,573.97,6040.984221835264,-181.71577816473564,logged QTARGET is an old/new average after the first step
3117,0.0725,6233.6,589.4,573.95,6030.808063788048,-202.79193621195282,logged QTARGET is an old/new average after the first step
3150,0.0725,6210.8,589.39,573.9,6025.429820014159,-185.37017998584088,logged QTARGET is an old/new average after the first step
3183,0.0725,6198.8,589.37,573.86,6011.3179623619935,-187.48203763800666,logged QTARGET is an old/new average after the first step
3216,0.0725,6181.5,589.35,573.82,5998.274666264419,-183.22533373558144,logged QTARGET is an old/new average after the first step
3249,0.0725,6162.3,589.31,573.8,5967.625465240951,-194.6745347590495,logged QTARGET is an old/new average after the first step
3282,0.0725,6141.2,589.27,573.77,5936.479433701785,-204.7205662982151,logged QTARGET is an old/new average after the first step
3315,0.0725,6119.7,589.23,573.76,5904.14940293972,-215.55059706027987,logged QTARGET is an old/new average after the first step
3348,0.0725,6088.2,589.18,573.74,5866.501553168074,-221.69844683192605,logged QTARGET is an old/new average after the first step
3381,0.0725,6058.7,589.13,573.73,5825.628328773353,-233.07167122664669,logged QTARGET is an old/new average after the first step
3414,0.0725,6021.0,589.07,573.73,5779.937435994602,-241.0625640053977,logged QTARGET is an old/new average after the first step
3447,0.0725,5987.6,589.0,573.73,5740.055172129705,-247.5448278702952,logged QTARGET is an old/new average after the first step
3480,0.0725,5963.3,588.94,573.74,5706.3003176230395,-256.99968237696066,logged QTARGET is an old/new average after the first step
3513,0.0725,5920.5,588.87,573.75,5647.123006086885,-273.37699391311526,logged QTARGET is an old/new average after the first step
3546,0.0725,5886.1,588.8,573.76,5595.552207401745,-290.547792598255,logged QTARGET is an old/new average after the first step
3579,0.0725,5846.6,588.74,573.78,5543.388526255723,-303.2114737442771,logged QTARGET is an old/new average after the first step
3612,0.0725,5802.9,588.67,573.79,5482.954414696017,-319.9455853039826,logged QTARGET is an old/new average after the first step
3645,0.0725,5763.0,588.61,573.8,5430.6872984277115,-332.31270157228846,logged QTARGET is an old/new average after the first step
3678,0.0725,5755.5,588.56,573.83,5385.385696203922,-370.1143037960783,logged QTARGET is an old/new average after the first step
3711,0.0725,5686.3,588.53,573.81,5360.6662854898495,-325.63371451015064,logged QTARGET is an old/new average after the first step
3744,0.0725,5648.8,588.45,573.84,5288.591695385836,-360.20830461416426,logged QTARGET is an old/new average after the first step
3777,0.0725,5617.7,588.38,573.87,5238.372276149767,-379.32772385023327,logged QTARGET is an old/new average after the first step
3810,0.0725,5656.7,588.28,573.95,5142.954305484293,-513.7456945157064,logged QTARGET is an old/new average after the first step
3843,0.0725,5558.9,588.3,573.9,5164.690166281583,-394.20983371841703,logged QTARGET is an old/new average after the first step
3876,0.0725,5542.2,588.21,573.96,5082.956797168146,-459.2432028318535,logged QTARGET is an old/new average after the first step
3909,0.0725,5510.0,588.13,574.0,5006.548574587472,-503.4514254125279,logged QTARGET is an old/new average after the first step
3945,0.0725,5532.4,588.04,574.08,4916.277679019581,-616.1223209804184,logged QTARGET is an old/new average after the first step
3978,0.0725,5474.2,588.04,574.06,4917.907941788184,-556.2920582118159,logged QTARGET is an old/new average after the first step
4011,0.0725,5457.0,587.98,574.1,4896.25895551285,-560.7410444871502,logged QTARGET is an old/new average after the first step
4044,0.0725,5416.7,587.91,574.15,4827.326453580118,-589.3735464198817,logged QTARGET is an old/new average after the first step
4077,0.0725,5371.4,587.84,574.2,4757.650497087639,-613.7495029123602,logged QTARGET is an old/new average after the first step
4110,0.0725,5318.5,587.75,574.27,4666.439758116059,-652.0602418839408,logged QTARGET is an old/new average after the first step
4143,0.0725,5274.4,587.64,574.36,4552.75830584789,-721.6416941521093,logged QTARGET is an old/new average after the first step
4176,0.0725,5231.6,587.55,574.45,4456.687755718113,-774.9122442818871,logged QTARGET is an old/new average after the first step
4209,0.0725,5300.9,587.45,574.53,4575.406076313805,-725.4939236861946,logged QTARGET is an old/new average after the first step
4242,0.0725,5281.7,587.36,574.61,4515.827126104214,-765.8728738957861,logged QTARGET is an old/new average after the first step
4275,0.0725,5246.9,587.28,574.69,4438.085765032492,-808.8142349675072,logged QTARGET is an old/new average after the first step
4308,0.0725,5210.4,587.2,574.76,4360.578453481983,-849.8215465180165,logged QTARGET is an old/new average after the first step
4341,0.0725,5186.9,587.12,574.84,4280.10773404314,-906.7922659568594,logged QTARGET is an old/new average after the first step
4374,0.0725,5135.4,587.06,574.89,4221.222674297206,-914.1773257027935,logged QTARGET is an old/new average after the first step
4407,0.0725,5117.0,586.98,574.97,4140.663640924722,-976.3363590752779,logged QTARGET is an old/new average after the first step
4443,0.0725,5084.9,586.93,575.02,4089.86329994914,-995.0367000508595,logged QTARGET is an old/new average after the first step
4476,0.0725,5009.9,586.92,575.04,4078.6148181676617,-931.2851818323379,logged QTARGET is an old/new average after the first step
4509,0.0725,4953.2,586.87,575.09,4027.4857996859196,-925.7142003140802,logged QTARGET is an old/new average after the first step
4545,0.0725,4925.3,586.81,575.16,3964.6381987033114,-960.6618012966887,logged QTARGET is an old/new average after the first step
4578,0.0725,4860.0,586.8,575.18,3953.2106698854677,-906.7893301145323,logged QTARGET is an old/new average after the first step
4612,0.0725,4791.5,586.17,575.78,3286.9979574278036,-1504.5020425721964,logged QTARGET is an old/new average after the first step
4645,0.0725,5102.5,586.49,575.48,3627.2826209622744,-1475.2173790377256,logged QTARGET is an old/new average after the first step
4678,0.0725,5063.2,586.73,575.26,3879.3779582487855,-1183.8220417512143,logged QTARGET is an old/new average after the first step
4711,0.0725,4935.7,586.79,575.21,3940.671783737033,-995.0282162629669,logged QTARGET is an old/new average after the first step
4744,0.0725,4861.1,586.77,575.23,3919.921358811565,-941.1786411884354,logged QTARGET is an old/new average after the first step
4777,0.0725,4826.5,586.76,575.24,3909.5277409622927,-916.9722590377073,logged QTARGET is an old/new average after the first step
4810,0.0725,4794.6,586.77,575.24,3918.822388303884,-875.7776116961163,logged QTARGET is an old/new average after the first step
4843,0.0725,4761.7,586.78,575.24,3928.1068803918006,-833.5931196081992,logged QTARGET is an old/new average after the first step
4876,0.0725,4738.2,586.78,575.25,3927.0066139874416,-811.1933860125582,logged QTARGET is an old/new average after the first step
4909,0.0725,4724.8,586.78,575.26,3925.9047783667115,-798.8952216332887,logged QTARGET is an old/new average after the first step
4942,0.0725,4714.0,586.78,575.27,3924.8013729131053,-789.1986270868947,logged QTARGET is an old/new average after the first step
4975,0.0725,4700.9,586.78,575.28,3923.6963970069255,-777.2036029930741,logged QTARGET is an old/new average after the first step
5008,0.0725,4686.2,586.79,575.29,3931.8655761933333,-754.3344238066666,logged QTARGET is an old/new average after the first step
5041,0.0725,4672.8,586.8,575.3,3940.0236683053135,-732.7763316946866,logged QTARGET is an old/new average after the first step
5074,0.0725,4662.3,586.81,575.31,3948.170721048812,-714.1292789511881,logged QTARGET is an old/new average after the first step
5107,0.0725,4655.2,586.83,575.31,3966.65329240545,-688.5467075945498,logged QTARGET is an old/new average after the first step
5140,0.0725,4650.9,586.86,575.31,3991.839068350966,-659.0609316490336,logged QTARGET is an old/new average after the first step
5173,0.0725,4652.7,586.91,575.3,4038.7771142294173,-613.9228857705825,logged QTARGET is an old/new average after the first step
5206,0.0725,4658.2,586.97,575.28,4091.552585618266,-566.6474143817336,logged QTARGET is an old/new average after the first step
5239,0.0725,4675.3,587.03,575.26,4147.963234737544,-527.3367652624565,logged QTARGET is an old/new average after the first step
5272,0.0725,4696.7,587.1,575.23,4214.047716465216,-482.65228353478415,logged QTARGET is an old/new average after the first step
5305,0.0725,4715.7,587.19,575.2,4297.39970398493,-418.30029601506976,logged QTARGET is an old/new average after the first step
5338,0.0725,4732.3,587.27,575.16,4365.290152307938,-367.00984769206207,logged QTARGET is an old/new average after the first step
5371,0.0725,4753.3,587.35,575.12,4439.375353948482,-313.9246460515178,logged QTARGET is an old/new average after the first step
5404,0.0725,4797.1,587.36,575.14,4446.0162006822,-351.0837993178002,logged QTARGET is an old/new average after the first step
