year,head_class,hours,percent_of_complete,median_head_m,median_flow_m3s,p90_flow_m3s
2020,head_le_0,48,22.325581395348838,-0.034015412695168834,1332.5,1386.5
2020,head_0_to_0p05,1,0.46511627906976744,0.010535388359357967,1400.0,1400.0
2020,head_0p05_to_1,151,70.23255813953489,0.20374771851550122,1500.0,1745.0
2020,head_1_to_5,15,6.976744186046512,1.964891502737828,1510.0,1592.0
2020,head_5_to_15,0,0.0,,,
2020,head_15_to_25,0,0.0,,,
2020,head_gt_25,0,0.0,,,
2021,head_le_0,360,4.114755972111098,-0.121433786250293,421.25,2480.0
2021,head_0_to_0p05,440,5.029146188135787,0.024818495234171678,2500.0,2525.0
2021,head_0p05_to_1,2641,30.18630700651503,0.3448184952342217,2000.0,3300.0
2021,head_1_to_5,1814,20.733798148359813,1.8674954370310388,4870.0,6700.0
2021,head_5_to_15,981,11.212710024002742,8.985889271952942,4270.0,11800.0
2021,head_15_to_25,1172,13.395816664761687,21.75042587710402,4285.0,6419.000000000001
2021,head_gt_25,1341,15.327465996113842,27.418953559115835,2020.0,6880.0
2022,head_le_0,527,6.159420289855072,-0.06839383492183515,1450.0,2347.0
2022,head_0_to_0p05,216,2.524544179523142,0.025267694179717637,1700.0,2360.0
2022,head_0p05_to_1,1995,23.31697054698457,0.2226769417967489,2490.0,2540.0
2022,head_1_to_5,1931,22.568957456755495,2.640707767187223,2155.0,4470.0
2022,head_5_to_15,1890,22.08976157082749,8.53703711214763,3962.5,6180.0
2022,head_15_to_25,1235,14.43431510051426,23.12415534374361,5420.0,6985.0
2022,head_gt_25,762,8.906030855539973,25.807529912796667,4830.0,7319.0
2023,head_le_0,26,0.3056665882906184,-0.042599878320800144,2555.0,3207.5
2023,head_0_to_0p05,31,0.3644486245003527,0.03642466031226377,2460.0,3190.0
2023,head_0p05_to_1,1254,14.742534681401363,0.5124954370310206,2720.0,4298.5
2023,head_1_to_5,1458,17.140841758758523,2.196243155546597,5055.0,6469.499999999999
2023,head_5_to_15,1279,15.036444862450034,10.616061650780807,3500.0,7110.0
2023,head_15_to_25,2632,30.942863860804138,22.513271141756206,3132.5,5419.5
2023,head_gt_25,1826,21.46719962379497,27.197186169134,2165.0,3710.0
2024,head_le_0,54,0.615595075239398,-0.02330764550799813,1340.0,2160.0
2024,head_0_to_0p05,48,0.5471956224350205,0.018566213749750204,1570.0,1580.0
2024,head_0p05_to_1,1942,22.138622891016873,0.48070776718714114,2545.0,3364.5000000000005
2024,head_1_to_5,2927,33.36753305973552,2.3349908740619867,2940.0,5440.0
2024,head_5_to_15,2402,27.382580939352486,10.17953254917876,2930.0,8330.0
2024,head_15_to_25,1369,15.606475148198815,20.65656053538828,4860.0,7580.0
2024,head_gt_25,30,0.34199726402188785,25.37599776921519,6490.0,7495.5
2025,head_le_0,162,1.8620689655172413,-0.02732305820319425,1900.0,2080.0
2025,head_0_to_0p05,258,2.9655172413793105,0.029550801054540443,1900.0,2330.0
2025,head_0p05_to_1,2413,27.735632183908045,0.3289292232811931,2440.0,3764.0000000000146
2025,head_1_to_5,2190,25.17241379310345,1.8804400730075486,3065.0,5960.0
2025,head_5_to_15,1579,18.149425287356323,10.73034475765553,2975.0,8030.0
2025,head_15_to_25,2082,23.93103448275862,20.95617927398098,3985.0,6489.000000000001
2025,head_gt_25,16,0.1839080459770115,25.591423646319242,6825.0,8075.0
