group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
all,2020,2,165,-6.333820185597158,-62.062774340297615,33.74705621652634,-200.95017354053394,694.2024111000333,949.654522326773,0.6735638266095659,0.6060606060606061
all,2021,2,7837,2.656328693603476,-99.74346509359943,105.32377362055415,-594.9539375684925,839.9210682131254,1086.1173442663555,0.698648306975316,38.02475437029476
all,2022,2,7786,-0.8878550201137033,-151.72394404648804,134.57121900454575,-703.4334195767517,842.764307499626,1114.5582027314479,0.6915281968151157,40.72694580015413
all,2023,2,8418,0.6389114929326913,-314.4386868380668,331.510630392802,-680.914146063382,748.2887103807917,854.483184193036,0.7517415547496141,39.41553813257306
all,2024,2,8663,5.795074429826604,-354.7339694715813,370.93017620430646,-655.5233636271211,783.30116941788,896.5923299858235,0.7696261913636312,43.899342029320096
all,2025,2,8263,-1.1993279422809267,-202.41741105607608,171.1927460440977,-707.2244760620597,794.481702642788,888.8878917760924,0.7624610218145706,42.86578724434224
falling_flow,2020,2,0,,,,,,,,
falling_flow,2021,2,569,-57.48394405964969,-928.1168234386117,169.30040069795228,-613.744841773591,895.2773855879276,1348.9267198056614,0.8791711263554468,65.72934973637962
falling_flow,2022,2,998,-155.5924446621951,-1544.4949495229218,119.81277554920031,-945.4437766632631,1081.237190869739,1537.4350520861558,0.803937273256002,49.69939879759519
falling_flow,2023,2,1494,-219.85340228972544,-1084.2172182803629,67.50976134265069,-905.0741967267448,936.5571905377607,1120.796922310571,0.7699714646728684,43.64123159303882
falling_flow,2024,2,1788,-284.3130387434819,-1349.5380739042448,139.5040016761592,-729.2145791907018,804.5263256827519,966.3058852639563,0.8281574626723177,58.7248322147651
falling_flow,2025,2,1311,-236.27725943613797,-1213.3602919629486,59.78773606761876,-785.5582834645073,839.349060876269,1000.8375696464815,0.8502513214876187,62.31884057971014
rising_flow,2020,2,0,,,,,,,,
rising_flow,2021,2,586,98.34716721754108,-137.22619042736426,996.2762793550413,-11.914688794970663,684.5063488449047,914.7223925651135,0.9643722536161394,69.7952218430034
rising_flow,2022,2,941,129.8759265807685,-117.18201599529634,1451.3902706806734,-331.92667326630846,946.5411902383304,1289.0180733475277,0.8749885802780044,45.05844845908608
rising_flow,2023,2,1550,185.3486300006716,-24.913330424508494,968.830384885278,-514.9522268000312,713.9970655341999,814.3088815451118,0.8289951349705134,49.67741935483871
rising_flow,2024,2,1874,191.98427341107796,-83.59782673920319,1177.743029767587,-218.29259004562928,600.2292710091715,705.1350516121508,0.8940555742895798,66.80896478121664
rising_flow,2025,2,1288,214.2455783188881,-51.04828453869766,1250.3096696684518,-210.30270612303838,626.5803812777743,741.7143613775685,0.9020372162454688,67.2360248447205
stable,2020,2,138,-4.188217255744256,-61.862429739870336,29.22413310109203,-307.3460721279644,622.2593374772641,815.4151994806216,0.6710757002403893,0.7246376811594203
stable,2021,2,3574,0.8148281684279856,-54.437806565001196,51.326782329870085,-692.3221578814043,886.3573143772106,1099.122072407647,0.5686703723268951,26.636821488528263
stable,2022,2,3104,-0.6291951682703156,-62.82972550439648,47.71038637811609,-751.7088199010633,782.8311546160531,974.410841986228,0.6559213880654845,35.019329896907216
stable,2023,2,2225,0.0874482315695948,-48.90996818100661,63.49240675511172,-681.8150510108094,703.9205290263138,754.9165531341033,0.720329990853396,34.02247191011236
stable,2024,2,1630,2.5654312339497523,-102.39976533842915,97.97743749182759,-768.1679449502227,775.8538538367508,858.4967195181862,0.7136249925999743,26.25766871165644
