$ XILUODU,segment222的宽度是根据深泓线数据确定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,牛栏江,,,,,,,,,,,,,,,美姑河,,,,,,,,,,,,,,,,,,西苏角河,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,,,,,,,,,,,,,
DLX,885,670,860,1250,990,840,960,760,740,970,780,1390,660,1210,660,630,820,720,700,950,2350,850,1260,800,670,710,640,650,580,730,900,800,660,640,1030,540,830,820,950,1020,860,610,660,860,850,860,770,840,900,700,960,740,820,530,760,1260,1060,960,620,1110,740,780,640,660,640,660,1070,1080,750,570,970,560,870,940,1220,790,1160,1370,1210,400,1070,1130,1120,870,1050,1240,760,1050,1430,870,1070,850,580,610,590,920,800,1040,930,1190,890,850,790,580,900,630,790,850,500,580,950,800,950,1220,1050,1000,840,940,680,970,1350,720,880,870,780,840,1040,1060,1070,920,970,680,1090,770,1160,510,940,1020,950,640,620,610,920,790,470,1150,620,700,590,840,740,670,1230,850,1130,960,840,620,1020,830,1220,770,900,1190,730,1000,780,1090,910,980,720,1260,690,1000,510,790,780,990,710,1070,950,640,980,1040,840,1410,1450,1490,540,1060,1790,690,1030,820,640,1030,820,870,600,750,520,830,1180,1250,970,1040,1110,800,940,1110,730,710,730,1160,1020,550,1030,580,940,1170,660,400,885,305,570,350,280,270,290,250,310,280,310,280,420,250,110,305,963,1000,1250,880,1010,1330,980,910,990,850,870,1700,1060,1220,510,670,180,963,876,950,1070,1860,840,640,1160,930,470,700,140,876,,,,,,,,,,,,,
ELWS,592.18,592.18,592.04,591.85,591.59,591.38,591.2,590.99,590.83,590.67,590.47,590.3,590.01,589.86,589.61,589.47,589.33,589.16,589,588.86,588.65,588.15,587.97,587.7,587.53,587.39,587.37,587.35,587.34,587.32,587.3,587.27,587.25,587.23,587.22,587.19,587.17,587.15,587.13,587.1,587.08,587.05,587.04,587.02,586.99,586.97,586.95,586.93,586.9,586.88,586.86,586.83,586.81,586.79,586.78,586.75,586.72,586.7,586.68,586.67,586.65,586.64,586.62,586.61,586.6,586.59,586.57,586.55,586.53,586.52,586.51,586.49,586.48,586.47,586.45,586.43,586.41,586.39,586.36,586.34,586.33,586.31,586.29,586.27,586.26,586.24,586.21,586.2,586.18,586.15,586.14,586.12,586.1,586.09,586.08,586.07,586.05,586.04,586.02,586,585.98,585.96,585.95,585.93,585.92,585.9,585.89,585.88,585.86,585.85,585.84,585.82,585.81,585.79,585.77,585.75,585.77,585.78,585.8,585.81,585.83,585.86,585.87,585.89,585.9,585.92,585.93,585.95,585.97,585.99,586.01,586.03,586.04,586.06,586.08,586.1,586.11,586.13,586.14,586.16,586.17,586.19,586.2,586.21,586.23,586.24,586.26,586.27,586.28,586.29,586.31,586.32,586.34,586.36,586.38,586.4,586.41,586.43,586.44,586.46,586.48,586.5,586.51,586.53,586.55,586.57,586.59,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.57,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,586.72,592,592,591.32,590.65,589.97,589.3,588.63,587.95,587.28,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,602,602,597,592,587,586.93,586.86,586.8,586.73,586.66,586.6,586.6,,,,,,,,,,,,,
ANGLE,0,3.14,3.14,2.87,2.36,2.39,2.98,2.87,3.14,3.14,3.14,3.14,3.89,3.93,3.43,3.6,3.6,3.6,3.47,3.61,3.61,3.5,3.7,3.6,3.6,3.6,3.86,5.18,5.18,5.81,5.97,5.66,5.66,5.5,5.5,4.8,4.8,4.25,4.52,4.46,4.25,4.25,4.03,3.93,3.93,3.93,3.93,4.56,5.16,5.5,5.5,4.83,4.71,4.42,4.42,4.08,4.25,4.06,3.87,3.6,3.14,3.14,3.14,3.3,3.93,3.93,3.93,3.69,3.86,3.8,3.8,3.4,3.79,3.9,4.25,3.92,3.6,3.6,3.14,4.24,4.26,4.71,4.71,4.82,5.04,4.97,4.61,3.78,3.14,3.58,3.16,2.55,2.04,2.04,2.37,3.14,3.14,3.92,5.04,3.93,3.93,3.93,4.04,4.12,4.12,3.93,4.25,4.21,4.21,3.6,3.6,3.64,3.93,4.16,4.71,4.52,3.61,3.93,3.93,3.93,4.08,4.41,4.24,3.75,3.75,3.6,3.47,4.24,4.24,4.24,3.61,3.69,3.6,3.6,3.6,3.6,3.14,2.68,3.14,2.77,2.77,3.54,3.14,3.14,3.14,3.14,3.64,3.93,3.93,3.93,3.93,3.93,3.93,4.24,4.58,3.93,3.57,2.65,2.65,1.57,0.93,0.84,1.57,1.59,2.36,2.36,2.91,2.68,3.14,3.14,2.81,2.81,1.6,1.6,1.11,0.88,0.88,1.57,2.28,2.36,2.68,2.82,2.82,3.42,3.31,4.19,3.62,3.6,2.68,2.69,3.64,4.41,4.41,3.93,4.24,4.45,3.85,3.81,4.24,4.24,4.24,4.24,3.93,3.93,3.93,3.93,3.61,3.6,3.6,3.48,4.14,4.35,4.62,4.62,4.24,3.86,3.86,3.75,4.25,4.71,5.41,5.41,5.41,2.15,2.15,2.28,2.28,2.33,2.33,2.59,2.59,2.65,2.91,2.91,2.97,2.48,2.48,2.48,4.71,4.71,5.05,6.1,5.85,5.86,4.31,4.72,4.59,4.58,4.54,4.19,4.1,4.62,4.69,4.75,4.26,4.26,0,0,5.6,5.62,0.13,5.46,0.41,0.14,0.28,0.13,6.08,6.08,,,,,,,,,,,,,
MANNING,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,
LAYER,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,,BR3,,,,,,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,,0,,602,,
0.5,0,315.27,135.83,243.93,179.03,167.09,161.58,188.17,171.65,175.19,168.23,162.72,209.87,235.73,296.06,270.1,190.35,259.82,230.95,298.03,306.86,220.36,235.1,250.68,200,168.85,193.98,266.78,280.28,288.69,339.99,256.5,336.87,360.65,414.55,361.79,348.4,393.57,394.71,333.34,462.31,362.21,301.15,328.25,611.95,623.17,494.09,550.89,427.32,484.12,453.07,463.25,437.29,486.2,409.77,364.91,481.01,360.75,298.66,392.95,418.49,549.86,403.64,333.86,326.8,351.51,660.97,615.48,428.15,364.7,377.37,490.04,671.77,466.88,366.67,502.19,394.61,512.99,462.21,566.78,419.63,649.23,494.09,579.35,570.21,779.66,734.07,576.34,536.98,497.52,620.26,400.22,709.05,766.58,642.48,601.78,663.88,656.19,498.97,609.05,514.55,377.79,603.23,658.79,496.48,614.55,697.52,1032.73,1038.75,947.47,987.56,828.47,729.19,1117.57,733.97,814.35,921.93,842.18,685.48,661.18,918.19,822.76,698.66,617.35,553.18,623.07,566.78,747.78,1009.89,477.89,515.38,587.34,610.81,772.81,520.78,701.57,618.81,1046.85,760.76,1002.62,891.3,723.17,733.56,725.56,618.7,619.33,588.38,700.33,667.61,769.59,614.03,649.75,692.95,708.84,736.15,768.86,807.08,659.83,927.02,1308.96,1294.73,856.51,559.51,659.51,1191.72,1377.7,1041.35,914.87,782.36,795.45,823.28,830.86,775.82,647.68,1271.47,994.52,1177.91,842.38,780.6,615.17,721.51,694.2,891.4,919.02,817.67,778.73,941.66,803.44,700.12,1106.25,1000.64,648.61,815.38,1279.98,1478.33,1457.56,1564.21,1272.09,921.31,593.78,738.44,739.58,730.44,903.44,1191.92,839.17,1193.07,879.56,802.82,912.79,994.52,903.96,795.86,599.08,862.84,936.36,1083.41,971.05,706.24,762.11,635.32,503.67,0,0,174.04,140.09,130.12,214.54,239.15,261.69,283.49,228.04,272.18,305.93,283.29,166.77,317.45,0,0,47.98,100,275.08,198.97,265.74,296.99,247.67,388.9,302.39,386.51,425.97,522.02,460.34,445.28,354.01,436.35,0,0,24.51,130.32,177.89,234.79,209.14,288.38,318.8,445.08,384.85,598.87,0,603.5,,,,,603.5,2,,267292320.6,,600,,
0.5,0,306.55,135.83,243.31,173.42,154.83,161.58,188.17,171.14,175.19,168.23,162.72,203.74,235.73,295.64,270.1,182.66,259.82,226.07,280.59,306.86,220.36,235.1,250.68,199.38,168.85,193.98,266.78,280.28,288.69,339.99,253.28,336.87,360.65,414.55,361.79,348.4,390.87,392.32,333.34,462.31,362.21,297.31,328.25,611.95,622.96,482.98,550.89,427.32,481.73,453.07,463.25,436.35,486.2,409.77,364.91,481.01,360.75,298.66,392.43,418.49,549.86,403.64,332.92,324.51,350.58,656.92,615.48,422.85,362.73,377.37,482.98,671.77,464.6,359.3,500.84,390.45,512.99,460.76,566.78,415.27,635.22,490.98,579.35,570.21,779.66,733.04,576.34,536.98,492.95,616.11,400.22,709.05,762.53,642.48,601.78,663.88,656.19,498.97,607.59,514.55,376.54,598.77,657.44,494.92,614.55,696.38,1032.73,1035.22,946.96,987.56,827.95,729.19,1117.57,730.96,810.92,921.93,841.35,681.95,661.18,918.19,822.76,698.66,617.35,553.18,623.07,566.78,745.71,1009.89,477.89,515.38,587.34,610.81,772.81,520.78,701.57,618.81,1044.67,760.76,1000.44,889.22,720.16,732.93,723.38,618.7,617.56,588.38,700.33,666.47,765.75,611.95,649.75,692.95,708.11,734.07,768.86,807.08,659.83,927.02,1306.15,1287.98,856.51,558.68,659.51,1191.72,1376.77,1041.35,914.87,782.36,795.45,823.28,830.86,775.82,647.68,1271.47,989.32,1177.91,842.38,780.6,615.17,721.51,694.2,889.95,919.02,816.32,778.73,941.66,803.44,700.12,1106.25,1000.64,646.12,815.38,1279.98,1478.33,1457.56,1558.08,1272.09,921.31,593.26,738.44,737.29,725.46,896.8,1191.92,836.98,1191.2,879.25,802.82,912.27,994.52,903.96,795.86,599.08,859.41,936.36,1083.41,971.05,706.24,762.11,635.32,503.67,0,0,171.76,140.09,126.69,214.54,239.15,261.69,281.42,225.13,268.44,300.01,283.29,166.77,316.31,0,0,41.64,99.79,275.08,198.97,265.74,296.79,247.67,387.24,302.39,386.51,425.97,522.02,460.34,445.28,354.01,435.63,0,0,0,129.18,177.89,234.79,209.14,288.38,318.8,445.08,384.85,598.87,0,603,,,,,603,3,,264274881.8,,598,,
0.5,0,306.55,135.83,243.31,173.42,154.83,161.58,188.17,171.14,175.19,168.23,160.96,197.93,231.68,288.38,261.79,176.12,259.82,226.07,280.59,306.86,220.36,229.39,250.68,195.43,168.85,193.98,266.78,272.07,288.69,339.99,249.95,336.87,360.65,414.55,361.79,348.4,390.87,392.32,331.89,457.54,349.54,292.63,328.25,520.68,622.96,482.25,549.65,421.19,481.73,453.07,463.25,436.35,486.2,409.77,363.25,467.82,358.68,298.66,392.43,416.21,547.88,401.98,329.91,315.27,350.58,656.09,609.88,421.92,362.73,377.37,482.98,669.48,462.83,359.3,499.7,388.48,511.33,460.76,566.78,415.27,635.22,489.94,579.35,570.21,779.66,732,570.94,530.44,492.01,616.11,400.22,709.05,762.53,642.48,601.78,661.28,653.28,496.27,607.59,514.24,376.54,598.77,655.78,494.92,611.23,696.38,1032.73,1019.13,944.05,985.79,827.95,729.19,1117.05,730.96,810.92,921.93,839.06,681.95,661.18,916.94,822.76,698.66,614.86,551.93,616.42,565.22,745.71,1009.89,476.02,515.38,585.89,610.81,760.45,520.36,701.57,615.8,1044.67,760.76,1000.44,889.22,718.29,730.34,723.38,611.02,617.56,588.38,699.7,666.47,765.75,611.95,648.92,690.46,708.11,734.07,768.86,805.83,659.1,923.07,1306.15,1287.98,855.68,558.68,659,1189.85,1376.77,1039.79,913.31,779.97,790.88,823.28,828.57,775.82,646.12,1271.05,989.32,1177.91,842.38,778.83,615.17,717.15,693.06,886.73,915.7,816.32,778.73,934.39,803.34,699.18,1106.25,993.17,643.42,815.38,1278.32,1475.83,1455.27,1558.08,1272.09,920.27,593.26,737.5,737.29,725.46,896.8,1189.02,835.63,1191.2,877.38,802.82,912.27,994.2,903.96,795.86,596.27,859.41,932.31,1083.3,967.62,705,762.11,632.72,503.65,0,0,171.76,139.98,126.69,214.54,237.6,257.95,281.42,225.13,268.44,300.01,283.29,163.24,316.31,0,0,41.23,99.79,275.08,195.85,263.87,296.79,242.27,385.47,302.39,386.51,422.23,519.53,460.34,445.28,354.01,435.63,0,0,0,121.71,177.89,234.79,209.14,288.38,318.8,445.08,384.85,598.87,0,602.5,,,,,602.5,4,,261448297.4,,596,,
0.5,0,306.55,135.83,243.31,173.42,154.83,161.58,185.67,171.14,173.42,162.31,160.96,197.93,231.68,288.38,261.79,176.12,259.82,226.07,280.59,306.86,220.36,224.62,250.68,195.43,162.93,179.65,263.45,272.07,288.69,339.99,249.95,336.87,360.65,412.57,358.26,340.4,388.48,359.2,331.89,457.54,322.02,289.73,328.25,520.68,616.11,482.25,547.47,421.19,481.73,448.09,463.25,433.45,456.5,401.36,360.75,466.99,358.68,298.66,392.43,416,547.78,401.98,329.91,311.01,350.58,656.09,608.01,421.92,362.73,366.67,482.98,666.99,462.83,352.66,496.27,388.48,506.66,460.76,564.08,415.27,635.22,485.26,578.62,555.98,772.29,732,563.56,529.61,487.96,611.75,400.22,709.05,762.53,642.48,601.78,661.28,653.28,496.27,606.45,508.84,376.54,598.77,655.78,490.04,611.23,696.38,1023.59,1019.13,944.05,978.73,826.91,708.84,1117.05,723.9,808.01,921.93,839.06,681.95,661.18,914.87,817.46,695.65,614.86,550.58,613.93,563.35,745.71,1007.7,474.26,515.38,585.89,607.7,759.72,518.29,691.71,615.8,1043.63,758.79,998.36,886.31,718.29,730.34,723.38,611.02,617.56,588.38,699.7,661.28,763.36,611.95,648.92,690.46,704.79,734.07,768.86,805.83,659.1,923.07,1299.4,1287.25,846.75,558.68,655.67,1189.85,1374.07,1036.26,913.31,777.9,790.05,818.81,825.04,775.82,646.12,1270.33,988.29,1175.52,836.98,778.83,612.06,717.15,689.42,886.73,915.7,816.32,776.55,934.39,800.85,696.48,1099.81,989.22,643.42,815.38,1278.11,1475.83,1452.68,1550.6,1255.17,920.27,587.34,737.5,737.29,725.46,876.96,1189.02,833.04,1190.78,876.96,802.4,907.6,994.2,902.51,795.45,596.27,859.41,932.31,1082.68,967.62,705,758.69,632.72,503.65,0,0,167.92,136.14,126.69,212.15,232.92,257.95,280.28,225.13,268.44,300.01,283.29,163.24,316.31,0,0,38.42,99.79,275.08,195.85,263.87,296.58,242.27,385.47,301.25,386.51,422.23,515.07,460.34,445.28,352.24,435.63,0,0,0,121.71,175.6,234.69,206.23,288.38,318.07,445.08,380.28,598.14,0,602,,,,,602,5,,258574073.8,,594,,
