$ XILUODU,segment222的宽度是根据深泓线数据确定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西溪河,,,,牛栏江,,,,,,,,,,,,,,,金阳河,,,,,,,,,,,,美姑河,,,,,,,,,,,,,,,,,,西苏角河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,,,,,,,,,,,,,,,,,,,,,,,
DLX,885,670,860,1250,990,840,960,760,740,970,780,1390,660,1210,660,630,820,720,700,950,2350,850,1260,800,670,710,640,650,580,730,900,800,660,640,1030,540,830,820,950,1020,860,610,660,860,850,860,770,840,900,700,960,740,820,530,760,1260,1060,960,620,1110,740,780,640,660,640,660,1070,1080,750,570,970,560,870,940,1220,790,1160,1370,1210,400,1070,1130,1120,870,1050,1240,760,1050,1430,870,1070,850,580,610,590,920,800,1040,930,1190,890,850,790,580,900,630,790,850,500,580,950,800,950,1220,1050,1000,840,940,680,970,1350,720,880,870,780,840,1040,1060,1070,920,970,680,1090,770,1160,510,940,1020,950,640,620,610,920,790,470,1150,620,700,590,840,740,670,1230,850,1130,960,840,620,1020,830,1220,770,900,1190,730,1000,780,1090,910,980,720,1260,690,1000,510,790,780,990,710,1070,950,640,980,1040,840,1410,1450,1490,540,1060,1790,690,1030,820,640,1030,820,870,600,750,520,830,1180,1250,970,1040,1110,800,940,1110,730,710,730,1160,1020,550,1030,580,940,1170,660,400,885,400,500,300,400,305,570,350,280,270,290,250,310,280,310,280,420,250,110,305,402,330,530,610,640,270,530,250,440,330,90,402,963,1000,1250,880,1010,1330,980,910,990,850,870,1700,1060,1220,510,670,180,963,876,950,1070,1860,840,640,1160,930,470,700,140,876,,,,,,,,,,,,,,,,,,,,,,,
ELWS,588.76,588.76,588.21,587.66,587.1,586.55,586,585.45,584.89,584.34,583.79,583.24,582.68,582.13,581.58,581.03,580.47,579.92,579.37,578.82,578.26,577.71,577.16,576.61,576.05,575.5,575.46,575.42,575.39,575.35,575.31,575.27,575.24,575.2,575.16,575.12,575.08,575.05,575.01,574.97,574.93,574.9,574.86,574.82,574.78,574.75,574.71,574.67,574.63,574.59,574.56,574.52,574.48,574.44,574.41,574.37,574.33,574.33,574.33,574.32,574.32,574.32,574.32,574.31,574.31,574.31,574.31,574.3,574.3,574.3,574.3,574.29,574.29,574.29,574.29,574.28,574.28,574.28,574.28,574.28,574.27,574.27,574.27,574.27,574.26,574.26,574.26,574.26,574.25,574.25,574.25,574.25,574.24,574.24,574.24,574.24,574.24,574.23,574.23,574.23,574.23,574.22,574.22,574.22,574.22,574.21,574.21,574.21,574.21,574.2,574.2,574.2,574.2,574.19,574.19,574.19,574.19,574.18,574.18,574.18,574.17,574.17,574.17,574.16,574.16,574.16,574.15,574.15,574.15,574.14,574.14,574.14,574.13,574.13,574.13,574.12,574.12,574.12,574.11,574.11,574.11,574.1,574.1,574.1,574.09,574.09,574.09,574.08,574.08,574.08,574.07,574.07,574.07,574.06,574.06,574.06,574.05,574.05,574.05,574.04,574.04,574.04,574.03,574.03,574.03,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,574.01,575.42,575.42,575.42,575.42,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.33,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.27,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,574.02,,,,,,,,,,,,,,,,,,,,,,,
ANGLE,0,3.14,3.14,2.87,2.36,2.39,2.98,2.87,3.14,3.14,3.14,3.14,3.89,3.93,3.43,3.6,3.6,3.6,3.47,3.61,3.61,3.5,3.7,3.6,3.6,3.6,3.86,5.18,5.18,5.81,5.97,5.66,5.66,5.5,5.5,4.8,4.8,4.25,4.52,4.46,4.25,4.25,4.03,3.93,3.93,3.93,3.93,4.56,5.16,5.5,5.5,4.83,4.71,4.42,4.42,4.08,4.25,4.06,3.87,3.6,3.14,3.14,3.14,3.3,3.93,3.93,3.93,3.69,3.86,3.8,3.8,3.4,3.79,3.9,4.25,3.92,3.6,3.6,3.14,4.24,4.26,4.71,4.71,4.82,5.04,4.97,4.61,3.78,3.14,3.58,3.16,2.55,2.04,2.04,2.37,3.14,3.14,3.92,5.04,3.93,3.93,3.93,4.04,4.12,4.12,3.93,4.25,4.21,4.21,3.6,3.6,3.64,3.93,4.16,4.71,4.52,3.61,3.93,3.93,3.93,4.08,4.41,4.24,3.75,3.75,3.6,3.47,4.24,4.24,4.24,3.61,3.69,3.6,3.6,3.6,3.6,3.14,2.68,3.14,2.77,2.77,3.54,3.14,3.14,3.14,3.14,3.64,3.93,3.93,3.93,3.93,3.93,3.93,4.24,4.58,3.93,3.57,2.65,2.65,1.57,0.93,0.84,1.57,1.59,2.36,2.36,2.91,2.68,3.14,3.14,2.81,2.81,1.6,1.6,1.11,0.88,0.88,1.57,2.28,2.36,2.68,2.82,2.82,3.42,3.31,4.19,3.62,3.6,2.68,2.69,3.64,4.41,4.41,3.93,4.24,4.45,3.85,3.81,4.24,4.24,4.24,4.24,3.93,3.93,3.93,3.93,3.61,3.6,3.6,3.48,4.14,4.35,4.62,4.62,4.24,3.86,3.86,3.75,4.25,4.71,5.41,5.41,5.41,6,6,0.36,0.36,2.15,2.15,2.28,2.28,2.33,2.33,2.59,2.59,2.65,2.91,2.91,2.97,2.48,2.48,2.48,0.17,0.17,0.17,0,0,6.2,0.23,5.38,5.45,6.17,6.17,6.17,4.71,4.71,5.05,6.1,5.85,5.86,4.31,4.72,4.59,4.58,4.54,4.19,4.1,4.62,4.69,4.75,4.26,4.26,0,0,5.6,5.62,0.13,5.46,0.41,0.14,0.28,0.13,6.08,6.08,,,,,,,,,,,,,,,,,,,,,,,
MANN,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,
LAYER,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,BR3,,,,,,,,,,,,,,,BR4,,,,,,,,,,,,BR5,,,,,,,,,,,,,,,,,,BR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,
0.5,0,383.59,165.26,296.79,217.82,203.29,196.6,228.94,208.85,213.15,204.68,197.99,255.35,286.81,360.22,328.63,231.59,316.12,281,362.62,373.36,268.11,286.05,305,243.34,205.44,236.02,324.59,341.01,351.24,413.66,312.08,409.87,438.8,504.38,440.19,423.89,478.86,480.25,405.57,562.5,440.7,366.41,399.38,744.56,758.21,601.16,670.27,519.92,589.03,551.25,563.63,532.05,591.56,498.57,443.98,585.24,438.93,363.37,478.1,509.18,669.01,491.11,406.21,397.61,427.68,804.2,748.86,520.93,443.73,459.15,596.23,817.34,568.06,446.13,611.01,480.12,624.15,562.37,689.6,510.57,789.92,601.16,704.89,693.77,948.61,893.15,701.23,653.34,605.33,754.67,486.94,862.7,932.69,781.71,732.18,807.74,798.39,607.1,741.03,626.05,459.65,733.95,801.55,604.07,747.72,848.67,1256.52,1263.85,1152.79,1201.56,1008,887.21,1359.75,893.02,990.81,1121.71,1024.67,834.02,804.45,1117.16,1001.05,850.06,751.13,673.05,758.08,689.6,909.82,1228.72,581.45,627.06,714.62,743.17,940.27,633.63,853.6,752.9,1273.7,925.62,1219.88,1084.44,879.88,892.52,882.79,752.78,753.53,715.88,852.08,812.29,936.36,747.09,790.55,843.11,862.44,895.67,935.47,981.97,802.81,1127.9,1592.6,1575.29,1042.11,680.76,802.43,1449.96,1676.25,1267.01,1113.12,951.9,967.82,1001.68,1010.9,943.94,788.03,1546.99,1210.03,1433.15,1024.93,949.75,748.48,877.86,844.63,1084.56,1118.17,994.86,947.48,1145.71,977.55,851.83,1345.97,1217.48,789.16,992.08,1557.35,1798.68,1773.41,1903.17,1547.75,1120.95,722.45,898.45,899.84,888.73,1099.22,1450.21,1021.01,1451.6,1070.16,976.79,1110.59,1210.03,1099.85,968.32,728.9,1049.82,1139.27,1318.18,1181.47,859.29,927.26,772.99,612.81,0,0,136.83,145.55,0,0,211.76,170.44,158.31,261.03,290.98,318.39,344.93,277.46,331.16,372.22,344.67,202.91,386.24,0,0,66.08,82.13,96.02,137.47,202.66,258,250.55,241.2,209.1,413.79,0,0,58.37,121.67,334.69,242.08,323.32,361.35,301.34,473.17,367.92,470.26,518.28,635.15,560.1,541.78,430.72,530.91,0,0,29.82,158.57,216.43,285.67,254.46,350.87,387.89,541.52,468.24,728.64,0,,603.5,2,,,,,,,,,,,,,,,,,,,,
0.5,0,372.98,165.26,296.03,211,188.38,196.6,228.94,208.22,213.15,204.68,197.99,247.89,286.81,359.71,328.63,222.24,316.12,275.06,341.39,373.36,268.11,286.05,305,242.59,205.44,236.02,324.59,341.01,351.24,413.66,308.16,409.87,438.8,504.38,440.19,423.89,475.57,477.34,405.57,562.5,440.7,361.73,399.38,744.56,757.96,587.64,670.27,519.92,586.12,551.25,563.63,530.91,591.56,498.57,443.98,585.24,438.93,363.37,477.47,509.18,669.01,491.11,405.07,394.83,426.55,799.27,748.86,514.49,441.33,459.15,587.64,817.34,565.28,437.16,609.37,475.06,624.15,560.6,689.6,505.26,772.86,597.37,704.89,693.77,948.61,891.88,701.23,653.34,599.77,749.62,486.94,862.7,927.77,781.71,732.18,807.74,798.39,607.1,739.26,626.05,458.13,728.52,799.9,602.17,747.72,847.28,1256.52,1259.55,1152.16,1201.56,1007.36,887.21,1359.75,889.36,986.64,1121.71,1023.66,829.72,804.45,1117.16,1001.05,850.06,751.13,673.05,758.08,689.6,907.3,1228.72,581.45,627.06,714.62,743.17,940.27,633.63,853.6,752.9,1271.05,925.62,1217.23,1081.91,876.22,891.76,880.13,752.78,751.39,715.88,852.08,810.9,931.68,744.56,790.55,843.11,861.56,893.15,935.47,981.97,802.81,1127.9,1589.19,1567.08,1042.11,679.75,802.43,1449.96,1675.11,1267.01,1113.12,951.9,967.82,1001.68,1010.9,943.94,788.03,1546.99,1203.71,1433.15,1024.93,949.75,748.48,877.86,844.63,1082.79,1118.17,993.21,947.48,1145.71,977.55,851.83,1345.97,1217.48,786.13,992.08,1557.35,1798.68,1773.41,1895.71,1547.75,1120.95,721.82,898.45,897.06,882.66,1091.13,1450.21,1018.36,1449.33,1069.78,976.79,1109.96,1210.03,1099.85,968.32,728.9,1045.65,1139.27,1318.18,1181.47,859.29,927.26,772.99,612.81,0,0,136.83,145.55,0,0,208.98,170.44,154.14,261.03,290.98,318.39,342.4,273.92,326.61,365.02,344.67,202.91,384.85,0,0,31.97,71.77,89.71,136.71,199.5,256.48,250.55,241.2,209.1,413.79,0,0,50.67,121.42,334.69,242.08,323.32,361.1,301.34,471.15,367.92,470.26,518.28,635.15,560.1,541.78,430.72,530.03,0,0,0,157.18,216.43,285.67,254.46,350.87,387.89,541.52,468.24,728.64,0,,603,3,,,,,,,,,,,,,,,,,,,,
0.5,0,372.98,165.26,296.03,211,188.38,196.6,228.94,208.22,213.15,204.68,195.84,240.82,281.88,350.87,318.52,214.28,316.12,275.06,341.39,373.36,268.11,279.1,305,237.79,205.44,236.02,324.59,331.03,351.24,413.66,304.12,409.87,438.8,504.38,440.19,423.89,475.57,477.34,403.81,556.69,425.28,356.05,399.38,633.5,757.96,586.76,668.75,512.46,586.12,551.25,563.63,530.91,591.56,498.57,441.96,569.19,436.4,363.37,477.47,506.4,666.61,489.09,401.4,383.59,426.55,798.26,742.04,513.35,441.33,459.15,587.64,814.56,563.13,437.16,607.98,472.66,622.13,560.6,689.6,505.26,772.86,596.11,704.89,693.77,948.61,890.62,694.66,645.38,598.63,749.62,486.94,862.7,927.77,781.71,732.18,804.58,794.85,603.81,739.26,625.67,458.13,728.52,797.88,602.17,743.68,847.28,1256.52,1239.97,1148.62,1199.41,1007.36,887.21,1359.12,889.36,986.64,1121.71,1020.88,829.72,804.45,1115.64,1001.05,850.06,748.1,671.53,750,687.71,907.3,1228.72,579.17,627.06,712.85,743.17,925.24,633.12,853.6,749.24,1271.05,925.62,1217.23,1081.91,873.94,888.6,880.13,743.43,751.39,715.88,851.33,810.9,931.68,744.56,789.54,840.08,861.56,893.15,935.47,980.45,801.92,1123.1,1589.19,1567.08,1041.1,679.75,801.8,1447.68,1675.11,1265.11,1111.22,948.99,962.26,1001.68,1008.12,943.94,786.13,1546.49,1203.71,1433.15,1024.93,947.6,748.48,872.55,843.24,1078.88,1114.13,993.21,947.48,1136.87,977.42,850.69,1345.97,1208.38,782.85,992.08,1555.33,1795.64,1770.63,1895.71,1547.75,1119.69,721.82,897.32,897.06,882.66,1091.13,1446.67,1016.71,1449.33,1067.51,976.79,1109.96,1209.65,1099.85,968.32,725.48,1045.65,1134.34,1318.05,1177.3,857.77,927.26,769.83,612.8,0,0,131.27,145.55,0,0,208.98,170.32,154.14,261.03,289.08,313.85,342.4,273.92,326.61,365.02,344.67,198.62,384.85,0,0,30.83,64.56,84.4,136.71,199.5,256.48,250.55,239.3,209.1,412.9,0,0,50.16,121.42,334.69,238.29,321.05,361.1,294.77,469,367.92,470.26,513.73,632.11,560.1,541.78,430.72,530.03,0,0,0,148.08,216.43,285.67,254.46,350.87,387.89,541.52,468.24,728.64,0,,602.5,4,,,,,,,,,,,,,,,,,,,,
0.5,0,372.98,165.26,296.03,211,188.38,196.6,225.91,208.22,211,197.48,195.84,240.82,281.88,350.87,318.52,214.28,316.12,275.06,341.39,373.36,268.11,273.29,305,237.79,198.24,218.58,320.54,331.03,351.24,413.66,304.12,409.87,438.8,501.98,435.9,414.17,472.66,437.03,403.81,556.69,391.8,352.51,399.38,633.5,749.62,586.76,666.1,512.46,586.12,545.19,563.63,527.37,555.42,488.33,438.93,568.18,436.4,363.37,477.47,506.15,666.48,489.09,401.4,378.41,426.55,798.26,739.76,513.35,441.33,446.13,587.64,811.53,563.13,429.07,603.81,472.66,616.45,560.6,686.32,505.26,772.86,590.42,704.01,676.46,939.64,890.62,685.69,644.37,593.7,744.31,486.94,862.7,927.77,781.71,732.18,804.58,794.85,603.81,737.87,619.1,458.13,728.52,797.88,596.23,743.68,847.28,1245.4,1239.97,1148.62,1190.82,1006.1,862.44,1359.12,880.77,983.11,1121.71,1020.88,829.72,804.45,1113.12,994.6,846.4,748.1,669.89,746.96,685.43,907.3,1226.07,577.03,627.06,712.85,739.38,924.35,630.6,841.6,749.24,1269.79,923.22,1214.7,1078.37,873.94,888.6,880.13,743.43,751.39,715.88,851.33,804.58,928.78,744.56,789.54,840.08,857.52,893.15,935.47,980.45,801.92,1123.1,1580.98,1566.2,1030.23,679.75,797.76,1447.68,1671.82,1260.82,1111.22,946.47,961.25,996.25,1003.83,943.94,786.13,1545.6,1202.44,1430.25,1018.36,947.6,744.69,872.55,838.82,1078.88,1114.13,993.21,944.82,1136.87,974.39,847.41,1338.14,1203.58,782.85,992.08,1555.08,1795.64,1767.47,1886.61,1527.16,1119.69,714.62,897.32,897.06,882.66,1067,1446.67,1013.56,1448.82,1067,976.28,1104.27,1209.65,1098.08,967.82,725.48,1045.65,1134.34,1317.29,1177.3,857.77,923.09,769.83,612.8,0,0,131.27,145.55,0,0,204.3,165.64,154.14,258.13,283.4,313.85,341.01,273.92,326.61,365.02,344.67,198.62,384.85,0,0,24.76,50.41,72.65,136.71,199.5,256.48,250.55,239.3,209.1,412.9,0,0,46.75,121.42,334.69,238.29,321.05,360.85,294.77,469,366.53,470.26,513.73,626.68,560.1,541.78,428.57,530.03,0,0,0,148.08,213.65,285.54,250.93,350.87,387,541.52,462.68,727.76,0,,602,5,,,,,,,,,,,,,,,,,,,,
