$ XILUODU,segment222的宽度是根据深泓线数据确定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,牛栏江,,,,,,,,,,,,,,,美姑河,,,,,,,,,,,,,,,,,,西苏角河,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,,,,,,,,,,,,,
DLX,885,670,860,1250,990,840,960,760,740,970,780,1390,660,1210,660,630,820,720,700,950,2350,850,1260,800,670,710,640,650,580,730,900,800,660,640,1030,540,830,820,950,1020,860,610,660,860,850,860,770,840,900,700,960,740,820,530,760,1260,1060,960,620,1110,740,780,640,660,640,660,1070,1080,750,570,970,560,870,940,1220,790,1160,1370,1210,400,1070,1130,1120,870,1050,1240,760,1050,1430,870,1070,850,580,610,590,920,800,1040,930,1190,890,850,790,580,900,630,790,850,500,580,950,800,950,1220,1050,1000,840,940,680,970,1350,720,880,870,780,840,1040,1060,1070,920,970,680,1090,770,1160,510,940,1020,950,640,620,610,920,790,470,1150,620,700,590,840,740,670,1230,850,1130,960,840,620,1020,830,1220,770,900,1190,730,1000,780,1090,910,980,720,1260,690,1000,510,790,780,990,710,1070,950,640,980,1040,840,1410,1450,1490,540,1060,1790,690,1030,820,640,1030,820,870,600,750,520,830,1180,1250,970,1040,1110,800,940,1110,730,710,730,1160,1020,550,1030,580,940,1170,660,400,885,305,570,350,280,270,290,250,310,280,310,280,420,250,110,305,963,1000,1250,880,1010,1330,980,910,990,850,870,1700,1060,1220,510,670,180,963,876,950,1070,7860,840,640,1160,930,470,700,140,876,,,,,,,,,,,,,
ELWS,592.18,592.09,591.99,591.9,591.8,591.71,591.62,591.52,591.43,591.33,591.24,591.14,591.05,590.96,590.86,590.77,590.67,590.58,590.49,590.39,590.3,590.2,590.11,590.01,589.92,589.83,589.73,589.64,589.54,589.45,589.36,589.26,589.17,589.07,588.98,588.89,588.79,588.7,588.6,588.51,588.41,588.32,588.23,588.13,588.04,587.94,587.85,587.76,587.66,587.57,587.47,587.38,587.28,587.19,587.1,587,586.91,586.81,586.72,586.72,586.72,586.72,586.72,586.72,586.71,586.71,586.71,586.71,586.71,586.71,586.71,586.71,586.71,586.71,586.71,586.7,586.7,586.7,586.7,586.7,586.7,586.7,586.7,586.7,586.7,586.7,586.69,586.69,586.69,586.69,586.69,586.69,586.69,586.69,586.69,586.69,586.69,586.68,586.68,586.68,586.68,586.68,586.68,586.68,586.68,586.68,586.68,586.68,586.67,586.67,586.67,586.67,586.67,586.67,586.67,586.67,586.67,586.67,586.67,586.66,586.66,586.66,586.66,586.66,586.66,586.66,586.66,586.66,586.66,586.66,586.65,586.65,586.65,586.65,586.65,586.65,586.65,586.65,586.65,586.65,586.65,586.64,586.64,586.64,586.64,586.64,586.64,586.64,586.64,586.64,586.64,586.63,586.63,586.63,586.63,586.63,586.63,586.63,586.63,586.63,586.63,586.63,586.62,586.62,586.62,586.62,586.62,586.62,586.62,586.62,586.62,586.62,586.62,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.61,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.6,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.59,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.58,586.57,586.57,586.57,586.57,586.57,586.57,595,595,594.31,593.62,592.93,592.24,591.55,590.86,590.17,589.48,588.79,588.1,587.41,586.72,586.72,596,596,595.37,594.75,594.12,593.5,592.87,592.24,591.62,590.99,590.37,589.74,589.11,588.49,587.86,587.24,586.61,586.61,606,606,603.84,601.69,599.53,597.38,595.22,593.07,590.91,588.76,586.6,586.6,,,,,,,,,,,,,
ANGLE,0,3.14,3.14,2.87,2.36,2.39,2.98,2.87,3.14,3.14,3.14,3.14,3.89,3.93,3.43,3.6,3.6,3.6,3.47,3.61,3.61,3.5,3.7,3.6,3.6,3.6,3.86,5.18,5.18,5.81,5.97,5.66,5.66,5.5,5.5,4.8,4.8,4.25,4.52,4.46,4.25,4.25,4.03,3.93,3.93,3.93,3.93,4.56,5.16,5.5,5.5,4.83,4.71,4.42,4.42,4.08,4.25,4.06,3.87,3.6,3.14,3.14,3.14,3.3,3.93,3.93,3.93,3.69,3.86,3.8,3.8,3.4,3.79,3.9,4.25,3.92,3.6,3.6,3.14,4.24,4.26,4.71,4.71,4.82,5.04,4.97,4.61,3.78,3.14,3.58,3.16,2.55,2.04,2.04,2.37,3.14,3.14,3.92,5.04,3.93,3.93,3.93,4.04,4.12,4.12,3.93,4.25,4.21,4.21,3.6,3.6,3.64,3.93,4.16,4.71,4.52,3.61,3.93,3.93,3.93,4.08,4.41,4.24,3.75,3.75,3.6,3.47,4.24,4.24,4.24,3.61,3.69,3.6,3.6,3.6,3.6,3.14,2.68,3.14,2.77,2.77,3.54,3.14,3.14,3.14,3.14,3.64,3.93,3.93,3.93,3.93,3.93,3.93,4.24,4.58,3.93,3.57,2.65,2.65,1.57,0.93,0.84,1.57,1.59,2.36,2.36,2.91,2.68,3.14,3.14,2.81,2.81,1.6,1.6,1.11,0.88,0.88,1.57,2.28,2.36,2.68,2.82,2.82,3.42,3.31,4.19,3.62,3.6,2.68,2.69,3.64,4.41,4.41,3.93,4.24,4.45,3.85,3.81,4.24,4.24,4.24,4.24,3.93,3.93,3.93,3.93,3.61,3.6,3.6,3.48,4.14,4.35,4.62,4.62,4.24,3.86,3.86,3.75,4.25,4.71,5.41,5.41,5.41,2.15,2.15,2.28,2.28,2.33,2.33,2.59,2.59,2.65,2.91,2.91,2.97,2.48,2.48,2.48,4.71,4.71,5.05,6.1,5.85,5.86,4.31,4.72,4.59,4.58,4.54,4.19,4.1,4.62,4.69,4.75,4.26,4.26,0,0,5.6,5.62,0.13,5.46,0.41,0.14,0.28,0.13,6.08,6.08,,,,,,,,,,,,,
MANNING,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,,BR3,,,,,,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),mult
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,0,,602,,
2,0,303.6,130.8,234.9,172.4,160.9,155.6,181.2,165.3,168.7,162,156.7,202.1,227,285.1,256.7,183.3,250.2,222.4,287,295.5,212.2,226.4,241.4,192.6,162.6,186.8,256.9,269.9,278,327.4,247,324.4,347.3,399.2,345.1,327.6,379,380.1,321,445.2,339.6,290,316.1,570.7,600.1,475.8,530.5,411.5,466.2,436.3,446.1,421.1,458.4,394.6,351.4,463.2,347.4,287.6,378.4,403,529.5,388.7,321.5,314.7,338.5,636.5,592.7,412.3,351.2,363.4,471.9,646.9,449.6,353.1,483.6,380,494,445.1,545.8,404.1,625.2,475.8,557.9,549.1,750.8,706.9,555,517.1,479.1,597.3,385.4,682.8,738.2,618.7,579.5,639.3,631.9,480.5,586.5,495.5,363.8,580.9,634.4,478.1,591.8,671.7,994.5,1000.3,912.4,951,797.8,702.2,1076.2,706.8,784.2,887.8,811,660.1,636.7,884.2,792.3,672.8,594.5,532.7,600,545.8,720.1,972.5,460.2,496.3,565.6,588.2,744.2,501.5,675.6,595.9,1008.1,732.6,965.5,858.3,696.4,706.4,698.7,595.8,596.4,566.6,674.4,642.9,741.1,591.3,625.7,667.3,682.6,708.9,740.4,777.2,635.4,892.7,1260.5,1246.8,824.8,538.8,635.1,1147.6,1326.7,1002.8,881,753.4,766,792.8,800.1,747.1,623.7,1224.4,957.7,1134.3,811.2,751.7,592.4,694.8,668.5,858.4,885,787.4,749.9,906.8,773.7,674.2,1065.3,963.6,624.6,785.2,1232.6,1423.6,1403.6,1506.3,1217.7,887.2,571.8,711.1,712.2,703.4,870,1147.8,808.1,1148.9,847,773.1,879,957.7,870.5,766.4,576.9,830.9,901.7,1043.3,935.1,680.1,733.9,611.8,485.02,0,0,167.6,134.9,125.3,206.6,230.3,252,273,219.6,262.1,294.6,272.8,160.6,305.7,0,0,46.2,96.3,264.9,191.6,255.9,286,238.5,374.5,291.2,372.2,410.2,502.7,443.3,428.8,340.9,420.2,0,0,23.6,125.5,171.3,226.1,201.4,277.7,307,428.6,370.6,576.7,0,,,,,,,2,,258334896,,600,,
2,0,295.2,126.2,234.3,167,149.1,155.6,178,164.8,167,156.3,155,190.6,214,277.2,247.3,167.8,248.1,217.7,264.9,295.5,212.2,216.3,241.4,188.2,156.9,173,253.7,262,278,324.9,240.7,318,336.7,397.3,341.2,324.3,370.9,340.5,317.4,439.3,303.9,279,312.8,501.4,587.9,443.7,527.2,405.6,454.4,431.5,446.1,417.4,417.9,384.9,347.4,448.8,341,287.6,372.3,400.6,527.5,385.6,315.3,297.1,337.6,631.8,585.5,405.6,349.3,353.1,465.1,635.8,443.9,339.5,477.9,369.4,478,441.7,543.2,397.1,602.6,467.3,556.8,535.4,743.7,699,542.7,499,469.9,589.1,385.4,676.6,734.3,614.3,578.2,636.8,627.3,477.9,584,490,362.6,576.6,631.5,471.9,588.6,665.3,983.7,981.4,907.8,942.5,796.3,682.6,1075.7,693.2,778.1,877.1,802.6,656.7,629.4,881,787.2,669.9,592.1,530.2,591.2,542.5,713.6,967.4,456.7,490.3,561.5,585.2,725.7,496.5,666.1,593,1005,730.7,961.4,853.5,686.8,698.1,694.5,585.6,594.7,559.1,669.9,636.8,735.1,587.1,624.7,664.9,678.7,705,732.5,770.5,634.7,888.9,1247.6,1239.6,808.7,535.6,629.7,1143.3,1323.2,997.9,876.4,749.1,760.8,788.5,794.5,746,618.8,1223.3,950.3,1123.6,806,746.5,586.9,689.9,663.9,853.9,879,782.9,747.8,899.8,771.2,667.9,1059.1,952.6,619.6,783.5,1230.8,1421.2,1398.9,1493.2,1200.9,884.2,565.6,707.1,709.3,698.6,843.1,1145,802.2,1143.6,844.5,772.7,873.7,955.3,869.1,766,574.2,822.9,895.8,1039.1,931.8,669.8,726.5,609.3,485.01,0,0,161.7,131.1,122,204.3,224.3,248.4,264.2,215.3,256.7,287.1,269.4,157.2,298.3,0,0,40.1,96.1,264.9,188.6,254.1,285.6,233.3,371.2,290,372.2,403.8,496,440.2,426.4,338.1,419.5,0,0,0,124.4,164.8,226,198.6,274.7,303.5,427.8,366.2,576,0,,,,,,,3,,255363698,,598,,
2,0,284.9,126.2,231.5,167,141,150.9,170.8,154,167,151.1,149.8,184.5,205.8,264.6,236.5,167,244,208.2,258.8,282.6,210.5,209.8,240.9,186.7,153.7,173,253.2,259.6,273.5,318.5,230.6,308.5,332.7,394.4,330.6,319.1,370.4,334.1,315.3,425.3,296.3,264.6,310.1,488,575.7,433.9,524.2,402.6,450.9,428.9,443.6,415.6,386.5,384.9,347.4,445.2,336.4,286.7,364.1,396.1,517.3,376.9,307.5,293.9,335.6,628.4,574.7,399,345.5,349.2,457.6,624.9,434.7,326.8,473.9,362.8,478,434,536.2,397.1,602.6,458.2,556.8,513.5,740,696.9,535.1,485,464.2,582.7,384.9,666.9,732.6,609.7,578.2,635.4,625,473.7,580.4,486.7,359.3,568.6,630.5,466.8,580.9,662.6,978.2,968.5,901.9,923,785,673.5,1058.6,676.7,770.5,874.1,789.9,647.6,629.4,878.2,783.4,662.7,589.7,522.8,585.2,539.6,707,965.2,451.9,490.3,555,582.1,722,495.1,664.8,592.1,996.3,725.2,958.2,845.3,682.6,691.9,690.7,584.5,591.2,555.7,658.4,632.8,726.1,582.4,621.2,653.9,675.1,699,728.5,762.7,630.1,884.9,1241,1235.3,798,534.6,622.3,1141.3,1293.2,992.9,868.3,742,751.8,783.5,786.9,744.5,614.8,1211.3,942.5,1120,804.6,739.1,585.9,683.2,658.7,821.8,874.9,780.1,744.5,894.3,762.3,660.4,1050.1,949.8,619.6,776.2,1223.2,1331.8,1396.3,1484.4,1154,878.9,559.9,705,708.6,689.3,843.1,1137.9,793.3,1140.6,844.5,765.6,871.6,953.3,864.7,761.5,569.3,820.8,889.4,1036,924.8,669.8,724.1,604,485.01,0,0,161.3,131.1,116.4,201.5,220.8,243,256.2,213.2,255.9,273.8,261.7,157.2,298.3,0,0,39.7,90.4,255.2,180.3,244,282.9,228.1,364.3,287.1,366.4,400.1,493.6,434.5,421.6,335.9,410.9,0,0,0,117.2,164.8,216.1,195.5,273.6,299.1,426,359.1,572.3,0,,,,,,,4,,252653606,,596,,
2,0,272.5,122.5,220.1,161.7,136,150.9,167.2,154,164.6,146.6,149,178.6,199.3,247.1,224.6,163.7,235.7,208.2,241,270.5,210.1,202.4,223.3,185.8,153.4,167.9,247.9,254.6,271.9,314.8,218.2,302.8,324.7,391.9,323.2,315.1,360.9,332.7,306.3,411.4,272.9,261.8,308.5,487.2,552.8,418.6,513.9,393.5,447.2,428.1,437.1,413.1,376.5,379,340.8,434.9,329.6,286.7,357.6,390.5,495.9,373.3,297.8,279.8,335.6,627.9,565.3,393.6,342.1,346.8,454.1,616.6,426.1,316.2,468.4,357.1,453.6,430.8,531.9,394.3,602.6,444.7,555.2,503.2,731.9,686.7,528.9,468.7,461.1,575.6,384.9,650.8,731.7,601.5,572.9,632.6,616.9,442.7,574.8,477.3,357.6,564,624.4,459.3,577.6,657.8,962.6,965.5,891.5,915,779.4,673.2,1049.4,675.1,763.4,867,784.9,644.2,623.9,872.2,780.6,654.9,586.1,517.9,580.9,536.3,706.8,960.2,447.4,483.4,550.5,576.5,715.1,490.3,661.2,588.8,989.2,722.4,954.8,841.4,672.5,683.9,685.1,581,588.8,546.7,651.7,628.4,721.9,581.4,616,649.4,671.4,694.6,718.7,758.5,624.6,868.1,1233.7,1232.5,784.1,532.9,616.4,1139.2,1283.7,978.9,861.5,738.3,743.8,780.9,781.3,740.4,608.9,1200.3,926.6,1111.8,801.4,731.5,580.5,676.7,649.7,819.1,870.4,773.8,742.1,890.9,758.8,656.7,1046.9,944.8,612.4,770.2,1217.7,1331.8,1381.9,1475.4,1140.2,876.5,559,701.2,704.6,679.5,836,1133,786.4,1135.9,840.5,763.8,860.6,949,859.3,761.3,568.5,817,888.7,1035.7,921,654.6,718.3,603.5,485.01,0,0,155.9,127.6,116.4,201.5,216.7,243,236.7,208,252.9,271.4,253,151.6,291.4,0,0,37,84.8,247.3,174.7,234.9,281.6,224.2,355.9,284.6,362.6,392.9,485.5,432.8,420.1,332.8,407.1,0,0,0,117.2,155.1,208.1,192.3,273,294.9,422.8,356.2,572.2,0,,,,,,,5,,249781564,,594,,
