$,
XXH,
JDAY,DGP
44197,1.2
44197.04,1.2
44197.08,1.2
44197.12,1.2
44197.17,1.2
44197.21,1.2
44197.25,1.2
44197.29,1.2
44197.33,1.2
44197.38,1.2
44197.42,1.2
44197.46,1.2
44197.5,1.2
44197.54,1.2
44197.58,1.2
44197.62,1.2
44197.67,1.2
44197.71,1.2
44197.75,1.2
44197.79,1.2
44197.83,1.2
44197.88,1.2
44197.92,1.2
44197.96,1.2
44198,1.2
44198.04,1.2
44198.08,1.2
44198.12,1.2
44198.17,1.2
44198.21,1.2
44198.25,1.2
44198.29,1.2
44198.33,1.2
44198.38,1.2
44198.42,1.2
44198.46,1.2
44198.5,1.2
44198.54,1.2
44198.58,1.2
44198.62,1.2
44198.67,1.2
44198.71,1.2
44198.75,1.2
44198.79,1.2
44198.83,1.2
44198.88,1.2
44198.92,1.2
44198.96,1.2
44199,1.2
44199.04,1.2
44199.08,1.2
44199.12,1.2
44199.17,1.2
44199.21,1.2
44199.25,1.2
44199.29,1.2
44199.33,1.2
44199.38,1.2
44199.42,1.2
44199.46,1.2
44199.5,1.2
44199.54,1.2
44199.58,1.2
44199.62,1.2
44199.67,1.2
44199.71,1.2
44199.75,1.2
44199.79,1.2
44199.83,1.2
44199.88,1.2
44199.92,1.2
44199.96,1.2
44200,1.2
44200.04,1.2
44200.08,1.2
44200.12,1.2
44200.17,1.2
44200.21,1.2
44200.25,1.2
44200.29,1.2
44200.33,1.2
44200.38,1.2
44200.42,1.2
44200.46,1.2
44200.5,1.2
44200.54,1.2
44200.58,1.2
44200.62,1.2
44200.67,1.2
44200.71,1.2
44200.75,1.2
44200.79,1.2
44200.83,1.2
44200.88,1.2
44200.92,1.2
44200.96,1.2
44201,1.2
44201.04,1.2
44201.08,1.2
44201.12,1.2
44201.17,1.2
44201.21,1.2
44201.25,1.2
44201.29,1.2
44201.33,1.2
44201.38,1.2
44201.42,1.2
44201.46,1.2
44201.5,1.2
44201.54,1.2
44201.58,1.2
44201.62,1.2
44201.67,1.2
44201.71,1.2
44201.75,1.2
44201.79,1.2
44201.83,1.2
44201.88,1.2
44201.92,1.2
44201.96,1.2
44202,1.2
44202.04,1.2
44202.08,1.2
44202.12,1.2
44202.17,1.2
44202.21,1.2
44202.25,1.2
44202.29,1.2
44202.33,1.2
44202.38,1.2
44202.42,1.2
44202.46,1.2
44202.5,1.2
44202.54,1.2
44202.58,1.2
44202.62,1.2
44202.67,1.2
44202.71,1.2
44202.75,1.2
44202.79,1.2
44202.83,1.2
44202.88,1.2
44202.92,1.2
44202.96,1.2
44203,1.2
44203.04,1.2
44203.08,1.2
44203.12,1.2
44203.17,1.2
44203.21,1.2
44203.25,1.2
44203.29,1.2
44203.33,1.2
44203.38,1.2
44203.42,1.2
44203.46,1.2
44203.5,1.2
44203.54,1.2
44203.58,1.2
44203.62,1.2
44203.67,1.2
44203.71,1.2
44203.75,1.2
44203.79,1.2
44203.83,1.2
44203.88,1.2
44203.92,1.2
44203.96,1.2
44204,1.2
44204.04,1.2
44204.08,1.2
44204.12,1.2
44204.17,1.2
