$,
,
JDAY,FLOW
44197,22
44197.04,22
44197.08,22
44197.12,22
44197.17,22
44197.21,22
44197.25,22
44197.29,22
44197.33,22
44197.38,22
44197.42,22
44197.46,22
44197.5,22
44197.54,22
44197.58,22
44197.62,22
44197.67,22
44197.71,22
44197.75,22
44197.79,22
44197.83,22
44197.88,22
44197.92,22
44197.96,22
44198,22
44198.04,22
44198.08,22
44198.12,22
44198.17,22
44198.21,22
44198.25,22
44198.29,22
44198.33,22
44198.38,22
44198.42,22
44198.46,22
44198.5,22
44198.54,22
44198.58,22
44198.62,22
44198.67,22
44198.71,22
44198.75,22
44198.79,22
44198.83,22
44198.88,22
44198.92,22
44198.96,22
44199,22
44199.04,22
44199.08,22
44199.12,22
44199.17,22
44199.21,22
44199.25,22
44199.29,22
44199.33,22
44199.38,22
44199.42,22
44199.46,22
44199.5,22
44199.54,22
44199.58,22
44199.62,22
44199.67,22
44199.71,22
44199.75,22
44199.79,22
44199.83,22
44199.88,22
44199.92,22
44199.96,22
44200,22
44200.04,22
44200.08,22
44200.12,22
44200.17,22
44200.21,22
44200.25,22
44200.29,22
44200.33,22
44200.38,22
44200.42,22
44200.46,22
44200.5,22
44200.54,22
44200.58,22
44200.62,22
44200.67,22
44200.71,22
44200.75,22
44200.79,22
44200.83,22
44200.88,22
44200.92,22
44200.96,22
44201,22
44201.04,22
44201.08,22
44201.12,22
44201.17,22
44201.21,22
44201.25,22
44201.29,22
44201.33,22
44201.38,22
44201.42,22
44201.46,22
44201.5,22
44201.54,22
44201.58,22
44201.62,22
44201.67,22
44201.71,22
44201.75,22
44201.79,22
44201.83,22
44201.88,22
44201.92,22
44201.96,22
44202,22
44202.04,22
44202.08,22
44202.12,22
44202.17,22
44202.21,22
44202.25,22
44202.29,22
44202.33,22
44202.38,22
44202.42,22
44202.46,22
44202.5,22
44202.54,22
44202.58,22
44202.62,22
44202.67,22
44202.71,22
44202.75,22
44202.79,22
44202.83,22
44202.88,22
44202.92,22
44202.96,22
44203,22
44203.04,22
44203.08,22
44203.12,22
44203.17,22
44203.21,22
44203.25,22
44203.29,22
44203.33,22
44203.38,22
44203.42,22
44203.46,22
44203.5,22
44203.54,22
44203.58,22
44203.62,22
44203.67,22
44203.71,22
44203.75,22
44203.79,22
44203.83,22
44203.88,22
44203.92,22
44203.96,22
44204,22
44204.04,22
44204.08,22
44204.12,22
44204.17,22
44204.21,22
44204.25,22
44204.29,22
44204.33,22
44204.38,22
44204.42,22
44204.46,22
44204.5,22
44204.54,22
44204.58,22
44204.62,22
44204.67,22
44204.71,22
44204.75,22
44204.79,22
44204.83,22
44204.88,22
44204.92,22
44204.96,22
44205,22
44205.04,22
44205.08,22
44205.12,22
44205.17,22
44205.21,22
44205.25,22
44205.29,22
44205.33,22
44205.38,22
44205.42,22
44205.46,22
44205.5,22
44205.54,22
44205.58,22
44205.62,22
44205.67,22
44205.71,22
44205.75,22
44205.79,22
44205.83,22
44205.88,22
44205.92,22
44205.96,22
44206,22
44206.04,22
44206.08,22
44206.12,22
44206.17,22
44206.21,22
44206.25,22
44206.29,22
44206.33,22
44206.38,22
44206.42,22
44206.46,22
44206.5,22
44206.54,22
44206.58,22
44206.62,22
44206.67,22
44206.71,22
44206.75,22
44206.79,22
44206.83,22
44206.88,22
44206.92,22
44206.96,22
44207,22
44207.04,22
44207.08,22
44207.12,22
44207.17,22
44207.21,22
44207.25,22
44207.29,22
44207.33,22
44207.38,22
44207.42,22
44207.46,22
44207.5,22
44207.54,22
44207.58,22
44207.62,22
44207.67,22
44207.71,22
44207.75,22
44207.79,22
44207.83,22
44207.88,22
44207.92,22
44207.96,22
44208,22
44208.04,22
44208.08,22
44208.12,22
44208.17,22
44208.21,22
44208.25,22
44208.29,22
44208.33,22
44208.38,22
44208.42,22
