$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197,-4.89,-5.88,1.29,1.46,9.3,607.39
44197.04,-4.71,-5.87,1.12,1.68,9.12,607.11
44197.08,-4.86,-6.03,1.02,1.79,9.06,607.07
44197.12,-4.68,-6.05,0.76,1.82,8.89,606.79
44197.17,-5.23,-6.19,0.52,2.07,8.64,606.38
44197.21,-4.98,-6.13,0.51,2.21,8.62,606.1
44197.25,-4.88,-6.49,0.75,2.16,8.93,606.04
44197.29,-4.86,-6.43,0.62,2.3,9.47,606
44197.33,-4.66,-6.51,0.59,2.86,8.46,598.19
44197.38,-4.44,-6.48,0.5,2.6,8.36,598.52
44197.42,-1.28,-4.82,0.58,2.16,7.74,598.6
44197.46,-0.68,-4.41,0.79,1.62,5.62,598.44
44197.5,-0.05,-3.82,0.94,1.57,2.71,598.04
44197.54,2.95,-3.13,0.89,1.8,1.7,597.12
44197.58,3.75,-3.25,0.97,2.12,1.54,596.39
44197.62,3.5,-3.03,1.11,2.38,2.12,595.63
44197.67,4.25,-2.54,1.29,2.46,1.12,595.21
44197.71,4.27,-2.47,1.26,2.64,0.94,595.1
44197.75,2.39,-2.08,1.17,2.98,0.61,595.02
44197.79,2.99,-2.44,1.68,0.44,0.75,595.43
44197.83,0.86,-2.65,2.18,0.49,0.7,596.07
44197.88,-0.17,-2.35,2.17,0.48,3.32,596.27
44197.92,-0.88,-2.62,1.65,0.52,5.95,596.65
44197.96,-1.96,-2.51,1.43,0.49,8.7,596.8
44198,-2.09,-2.34,1.45,0.47,9.62,596.78
44198.04,-2.37,-2.88,1.21,0.34,9.81,596.57
44198.08,-2.45,-3.33,1.2,0.17,9.57,596.26
44198.12,-2.45,-3.01,1.02,0.13,9.59,595.9
44198.17,-3.04,-3.28,1.12,3.02,9.49,595.57
44198.21,-3.33,-3.78,1.09,2.95,9.69,595.19
