$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197.33,-6.18,-7.56,1.19,0.88,8.82,571.65
44197.38,-6.07,-7.12,1.03,0.92,8.74,571.7
44197.42,-2.08,-4.19,0.92,0.94,8.28,571.91
44197.46,-1.79,-4.15,0.59,0.82,7.02,572.31
44197.5,-1.78,-4.49,0.29,1.3,5.42,571.95
44197.54,1.86,-3.41,0.38,2.38,4.74,571.21
44197.58,1.8,-3.08,0.6,2.32,2.72,570.26
44197.62,1.54,-2.73,0.7,2.4,1.72,569.91
44197.67,2.25,-1.87,0.75,2.53,1.72,569.54
44197.71,2.38,-1.44,0.53,2.98,4.54,569.75
44197.75,-0.35,-3.74,1.48,2.91,2.72,569.46
44197.79,0.09,-2.82,1.2,2.78,3.56,569.66
44197.83,-0.14,-2.62,0.87,2.5,3.5,570.08
44197.88,-0.41,-2.62,0.54,2.35,5.93,570.25
44197.92,-1.21,-2.83,0.28,2.29,7.35,570.38
44197.96,-3.74,-4.32,0.39,1.54,9.16,570.4
44198,-4.04,-4.85,0.67,1.34,8.96,570.18
44198.04,-4.03,-4.81,0.72,1.37,8.62,569.98
44198.08,-4.12,-4.95,0.76,1.3,8.68,569.55
44198.12,-4.61,-5.4,0.84,1.26,9.76,569.18
44198.17,-4.58,-5.33,0.88,1.2,9.22,568.96
44198.21,-4.75,-5.32,0.84,1.2,8.54,568.67
44198.25,-6.13,-6.99,1.01,1.12,5.42,568.49
44198.29,-6.17,-7.19,0.99,1.12,5.56,568.55
44198.33,-5.53,-6.9,1.13,1.11,4.64,569.23
44198.38,-5.56,-6.99,1,1.17,6.22,569.54
44198.42,0.71,-2.57,1.29,1.1,4.16,569.69
44198.46,1.38,-0.94,1.1,1.14,4,569.99
44198.5,1.83,-0.12,0.9,1.3,0.93,569.41
44198.54,4.84,1.1,0.77,1.49,0.62,568.7
44198.58,4.75,0.88,0.69,1.66,0.94,567.9
44198.62,4.69,0.49,0.57,1.9,0.6,567.35
44198.67,4.97,0.4,0.57,2.53,1.46,566.97
44198.71,4.87,0.48,0.67,2.29,0.66,567.06
44198.75,3.33,-0.85,0.75,2.29,2.16,567.09
44198.79,2.99,-0.18,1.06,1.78,2.1,567.2
44198.83,2.98,-0.28,1.04,1.56,1.58,567.66
44198.88,3.49,0.2,1.25,1.57,1.68,567.86
44198.92,2.66,-0.09,1.33,1.47,4.02,567.79
44198.96,0.47,-1.15,1.18,1.4,0.36,567.67
44199,0.25,-1.25,1.13,1.31,1.06,567.32
44199.04,-0.01,-1.38,1.15,1.28,6.08,567.43
44199.08,-0.14,-1.61,1.21,1.24,6,567.03
44199.12,-0.47,-1.99,1.24,1.19,6,566.93
44199.17,-1.02,-2.07,1.15,1.23,0.48,566.65
44199.21,-1.19,-2.17,1.08,1.31,0.66,566.72
44199.25,-1.96,-3.03,1.09,1.09,6.14,566.64
44199.29,-1.99,-3.1,1.46,1.12,6.14,566.71
44199.33,-1.97,-3.27,1.39,1.21,0.46,567.08
44199.38,-2.13,-3.59,1.46,1.26,2.1,567.46
44199.42,1.2,-0.77,1.17,1.32,2.02,567.63
44199.46,3.22,1.06,0.81,1.4,0.12,567.72
44199.5,3.29,1.21,0.62,1.44,1.26,567.31
44199.54,4.98,1.54,0.69,1.56,2.1,566.58
44199.58,4.69,0.93,0.71,1.8,3.75,565.69
44199.62,4.2,0.9,0.77,1.71,4.06,565.25
44199.67,4.72,0.7,0.59,2.04,5.27,565.05
44199.71,4.41,0.69,0.45,2.66,7.88,565.26
44199.75,2.28,-0.91,0.53,1.99,6.18,565.69
44199.79,2.18,-1.22,0.67,2.6,6.14,565.81
44199.83,2.58,-1.06,0.95,2.81,6.06,566.25
44199.88,2.38,-0.98,0.87,2.32,6.16,566.46
44199.92,2.06,-0.69,0.98,2.12,6.02,566.57
44199.96,0.87,-1.32,0.84,2.09,6.16,566.63
44200,0.86,-1.37,0.81,2.1,6,566.62
44200.04,0.44,-1.46,0.92,2.39,6,566.63
44200.08,0.18,-1.8,0.97,2.42,6.04,566.37
44200.12,-0.04,-1.93,1.01,2.5,6.22,566.29
44200.17,-0.61,-1.95,0.77,2.47,6.28,566.08
44200.21,-0.7,-2.06,0.86,2.6,6.56,565.69
44200.25,-1.69,-2.6,0.36,1.72,7.66,565.48
44200.29,-1.62,-2.59,0.81,1.39,6.36,565.56
44200.33,-1.64,-2.5,1.03,2,4.02,565.6
44200.38,-1.68,-2.71,0.75,1.99,5.42,565.64
44200.42,0.3,-2.52,0.32,2.41,7.05,565.96
44200.46,1.64,-1.44,0.03,2.26,7.1,566.06
44200.5,1.12,-1.53,0.26,2.57,7.59,565.88
44200.54,3.63,-2.07,0.46,2.6,6.84,565.41
44200.58,3.88,-1.66,0.43,2.35,5.22,564.86
44200.62,4.01,-1.03,0.47,2.28,6.14,564.66
44200.67,5.1,-0.93,0.56,2.11,6.72,564.92
44200.71,5.34,-0.95,0.56,0.91,0.32,565.22
44200.75,2.44,-2.09,0.74,0.46,3.68,565.55
44200.79,2.34,-1.96,0.96,2.25,1.2,566.07
44200.83,1.98,-2.14,0.89,1.31,0,566.51
44200.88,1.67,-2.29,0.85,1.06,0,567.02
44200.92,0.6,-2.36,1.08,1.14,0,567.28
44200.96,-2.07,-3.89,1.18,1.18,0.12,567.34
44201,-1.99,-4.02,1.2,1.15,0.06,567.17
44201.04,-2.32,-4.39,1.26,1.15,0,566.88
44201.08,-2.57,-4.37,1.31,1.2,0,566.8
44201.12,-4.68,-5.16,1.35,1.25,0.06,566.62
44201.17,-5.99,-6.04,1.31,1.28,0.06,566.26
44201.21,-5.79,-6.03,1.36,1.26,1.39,566.13
44201.25,-6.23,-6.4,1.72,1.09,6.54,565.96
44201.29,-4.19,-4.4,1.67,1.01,6.93,565.95
44201.33,-4,-4.2,1.24,1.21,7.11,566.53
44201.38,-3.66,-4.51,1.06,1.02,9.24,566.47
44201.42,1.02,-1.07,1.14,1.03,5.09,567.07
44201.46,1.87,-0.62,0.71,1.25,0.95,567.2
44201.5,2.14,-1.34,0.58,1.41,0.58,566.84
44201.54,6.14,-0.42,0.43,1.57,1.18,566.41
44201.58,6.22,-0.37,0.57,2.26,3.07,565.77
44201.62,7.11,-0.58,0.96,2.27,7.98,565.08
44201.67,6.98,-0.61,0.84,2.34,9.76,564.96
44201.71,6.49,-0.5,0.89,3.05,9.7,565.12
44201.75,3,-0.86,0.66,3.03,9.54,565.19
44201.79,2.92,-1.22,1.28,0.08,9.32,565.54
44201.83,2.72,-0.87,0.98,0.39,9.12,565.94
44201.88,2.26,-0.84,1.27,0.44,9.08,566.66
44201.92,1.51,-0.93,1.36,0.4,8.69,567.17
44201.96,-0.33,-1.69,1.23,0.62,8.62,567.35
44202,-0.78,-1.84,1.14,0.67,8.66,567.7
44202.04,-1.37,-2.2,0.93,0.49,8.85,567.59
44202.08,-1.04,-2.13,0.65,2.99,9.23,567.73
44202.12,-1.7,-2.52,0.31,2.49,9.09,567.56
44202.17,-2.45,-2.95,0.29,2.11,8.77,567.86
44202.21,-2.43,-2.81,0.37,2.18,8.79,567.56
44202.25,-2.24,-2.83,0.62,2.13,8.65,567.45
44202.29,-2.5,-2.89,0.71,1.34,10,567.89
44202.33,-2.1,-2.77,0.98,1.41,9.84,568.21
44202.38,-2.14,-2.67,0.9,1.43,9.16,568.47
44202.42,0.18,-1.85,0.65,1.74,3.77,568.81
44202.46,0.55,-1.46,0.53,2.58,3.52,569.18
44202.5,1.2,-1.13,0.74,0,4.12,568.97
44202.54,4.15,-0.12,0.93,3.11,6.04,568.35
44202.58,3.87,-0.14,0.86,2.67,7.47,567.74
44202.62,3.77,0.1,1,2.82,6.18,567.06
44202.67,4.57,0.86,1.07,2.98,5.7,567.03
44202.71,4.1,1.01,1.21,0.07,5.74,567.2
44202.75,0.62,-0.51,1.4,0.42,6.08,567.4
44202.79,0.41,-0.53,1.49,0.61,6.8,567.96
44202.83,0.64,-0.22,1.6,0.57,9.09,568.47
44202.88,0.37,-0.47,1.41,0.47,9.68,568.79
44202.92,0.13,-0.45,1.18,0.25,9.78,569.1
44202.96,-1.16,-1.24,0.85,0.22,9.86,569.13
44203,-0.97,-1.14,0.95,0.14,9.68,569.02
44203.04,-1.24,-1.46,0.92,0.02,9.8,569.04
44203.08,-1.13,-1.67,0.89,3.01,9.76,568.86
44203.12,-1.2,-1.98,0.79,3.07,9.82,568.62
44203.17,-2.12,-2.38,0.67,0,9.94,568.36
44203.21,-1.96,-2.54,0.54,2.76,9.6,568.18
44203.25,-2.62,-3.66,0.25,1.63,9.04,567.74
44203.29,-2.49,-3.63,0.62,0.04,8.88,568
44203.33,-2.62,-3.43,0.5,3.13,9.86,568.25
44203.38,-1.88,-3.12,0.57,2.3,9.24,568.54
44203.42,-0.25,-2.8,0.57,2.54,8.56,568.74
44203.46,0.54,-2.26,0.58,2.89,8.88,569.21
44203.5,0.27,-2.09,0.72,2.73,8.9,568.93
44203.54,2.1,-1.14,0.77,2.45,8.8,568.37
44203.58,2.44,-0.78,0.72,2.54,9.31,567.5
44203.62,2.27,-0.64,0.88,3.07,9.48,567.02
44203.67,2.21,-0.42,0.98,0.1,8.99,567.03
44203.71,2.14,-0.28,1.05,0.26,8.51,567.18
44203.75,0.4,-1.01,1.43,0.09,8.46,566.94
44203.79,0.38,-0.8,1.56,0.58,8.3,567.8
44203.83,0.45,-0.74,1.49,0.54,9.47,568.36
44203.88,0.4,-0.84,1.1,0.47,9.29,568.84
44203.92,0.21,-0.99,0.74,0.3,8.63,569.11
44203.96,-0.94,-1.59,0.62,2.89,8.55,568.86
44204,-1.14,-1.56,0.81,2.65,8.71,568.78
44204.04,-0.82,-1.28,0.83,2.57,8.27,568.63
44204.08,-1.2,-1.59,0.79,2.63,8.31,568.46
44204.12,-1.38,-1.81,0.63,2.69,8.61,568.3
44204.17,-1.68,-1.9,0.63,2.57,8.73,568.04
44204.21,-1.92,-2.3,0.58,2.39,8.83,567.96
44204.25,-2.05,-2.16,0.65,1.57,8.85,567.51
