$Water balance Flows: computed flow to complete water balance,
MGH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,732.42
44430.2,0
44430.25,-1042.02
44430.29,0
44430.33,952.02
44430.37,0
44430.41,-646.7
44430.45,0
44430.5,0
44430.54,0
44430.58,-327.82
44430.62,0
44430.66,0
44430.7,0
44430.75,-41.73
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,385.99
44431.08,0
44431.12,0
44431.16,0
44431.2,294.99
44431.25,0
44431.29,-99.43
44431.33,0
44431.37,1.94
44431.41,0
44431.45,-245.03
44431.5,0
44431.54,0
44431.58,0
44431.62,-92.44
44431.66,-35.72
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,18.33
44432.08,298.36
44432.12,675.74
44432.16,0
44432.2,-222.89
44432.25,0
44432.29,182.9
44432.33,0
44432.37,-69.3
44432.41,-374.35
44432.45,0
44432.5,0
44432.54,0
44432.58,-256.13
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,25.48
44432.83,74.31
44432.87,149.31
44432.91,0
44432.95,68.04
44433,1.72
44433.04,266.04
44433.08,252.1
44433.12,164.78
44433.16,86.15
44433.2,66.47
44433.25,6.2
44433.29,0
44433.33,0
44433.37,-41.08
44433.41,-0.32
44433.45,-31.9
44433.5,-60.66
44433.54,-136.89
44433.58,-34.21
44433.62,-79.52
44433.66,-6.06
44433.7,-129.32
44433.75,-83.08
44433.79,0
44433.83,-26.37
44433.87,-8.75
44433.91,-86.25
44433.95,0
44434,66.51
44434.04,139.23
44434.08,153.17
44434.12,67.81
44434.16,158.74
44434.2,140.39
44434.25,5.44
44434.29,145.89
44434.33,17.51
44434.37,46.03
44434.41,52.95
44434.45,25.6
44434.5,14.38
44434.54,89.72
44434.58,85.45
44434.62,138.58
44434.66,182.41
44434.7,156.5
44434.75,63.49
44434.79,124.56
44434.83,143.82
44434.87,179.14
44434.91,134.93
44434.95,119.06
44435,102.9
44435.04,239.88
44435.08,233.02
44435.12,187.51
44435.16,176.63
44435.2,225.24
44435.25,78.55
44435.29,226.92
44435.33,140.39
44435.37,86.08
44435.41,75.82
44435.45,132.06
44435.5,68.5
44435.54,136.5
44435.58,100.15
44435.62,124.35
44435.66,148.58
44435.7,142.56
44435.75,37.2
44435.79,175.86
44435.83,122.08
44435.87,129.82
44435.91,126.98
44435.95,124.42
44436,104.57
44436.04,146.59
44436.08,0
44436.12,0
44436.16,483.59
44436.2,320.53
44436.25,70.39
44436.29,196.98
44436.33,126.45
44436.37,114
44436.41,297.45
44436.45,0
44436.5,55.33
44436.54,251.58
44436.58,261.07
44436.62,80.35
44436.66,56.14
44436.7,344.9
44436.75,93.02
44436.79,0
44436.83,0
44436.87,0
44436.91,277.89
44436.95,186.34
44437,0
44437.04,0
44437.08,240.97
44437.12,38.55
44437.16,279.63
44437.2,153.91
44437.25,48.49
44437.29,264.5
44437.33,0
44437.37,0
44437.41,152.99
44437.45,0
44437.5,0
44437.54,46.6
44437.58,178.35
44437.62,113.08
44437.66,0
44437.7,28.61
44437.75,79.09
44437.79,0
44437.83,124.98
44437.87,150.14
44437.91,0
44437.95,220.41
44438,69.04
44438.04,205.81
44438.08,86.81
44438.12,179.42
44438.16,282.95
44438.2,0
44438.25,134.86
44438.29,356.28
44438.33,0
44438.37,0
44438.41,187.6
44438.45,0
44438.5,0
44438.54,0
44438.58,-31.15
44438.62,0
44438.66,94.39
44438.7,75.85
44438.75,69.39
44438.79,129.39
44438.83,42.37
44438.87,103.34
44438.91,303.68
44438.95,0
44439,35.46
44439.04,219.39
44439.08,0
44439.12,0
44439.16,142.86
44439.2,0
44439.25,0
44439.29,84.59
44439.33,0
44439.37,164.28
44439.41,0
44439.45,0
44439.5,6.22
44439.54,2.21
44439.58,38.87
44439.62,65.9
44439.66,21.57
44439.7,0
44439.75,25.94
44439.79,61.25
44439.83,80.37
44439.87,49.34
44439.91,61.63
44439.95,34.32
44440,25.51
44440.04,118.26
44440.08,0
44440.12,0
44440.16,0
44440.2,0
44440.25,-316.04
44440.29,-120.11
44440.33,0
44440.37,0
44440.41,0
44440.45,0
44440.5,0
44440.54,0
44440.58,0
44440.62,-139.13
44440.66,0
44440.7,0
44440.75,0
44440.79,0
44440.83,0
44440.87,23.19
44440.91,170.68
44440.95,0
44441,0
44441.04,42.07
44441.08,202.69
44441.12,115.31
44441.16,30.54
44441.2,61.32
44441.25,165.94
44441.29,0
44441.33,0
44441.37,6
44441.41,0
44441.45,62.72
44441.5,0
44441.54,0
44441.58,0
44441.62,291.83
44441.66,0
44441.7,0
44441.75,0
44441.79,0
44441.83,-159.18
44441.87,-342.58
44441.91,0
44441.95,170.05
44442,0
44442.04,-218.39
44442.08,0
44442.12,0
44442.16,0
44442.2,0
44442.25,0
44442.29,0
44442.33,-17.72
44442.37,-39.16
44442.41,-174.11
44442.45,0
44442.5,0
44442.54,0
44442.58,0
44442.62,43.49
44442.66,0
44442.7,0
44442.75,0
44442.79,0
44442.83,0
44442.87,-67.02
44442.91,0
44442.95,0
44443,0
44443.04,89.13
44443.08,247.34
44443.12,0
44443.16,253.99
44443.2,29.7
44443.25,187.08
44443.29,0
44443.33,0
44443.37,0
44443.41,-249.17
44443.45,0
44443.5,0
44443.54,0
44443.58,-26.66
44443.62,-237.33
44443.66,0
44443.7,57.78
44443.75,0
44443.79,-39.59
44443.83,-186.2
44443.87,0
44443.91,414.71
44443.95,66.47
44444,0
44444.04,134.18
44444.08,157.72
44444.12,124.89
44444.16,311.95
44444.2,0
44444.25,102.64
44444.29,157.65
44444.33,209.83
44444.37,0
44444.41,28.75
44444.45,123.2
44444.5,171.62
44444.54,0
44444.58,60.86
44444.62,160.93
44444.66,178.6
44444.7,0
44444.75,106.18
44444.79,125.44
44444.83,163.82
44444.87,104.07
44444.91,22.55
44444.95,70.84
44445,106.73
44445.04,133.56
44445.08,106.49
44445.12,98.4
44445.16,258.96
44445.2,159.41
44445.25,14.9
44445.29,146.62
44445.33,89.79
44445.37,128.42
44445.41,0
44445.45,0
44445.5,119.58
44445.54,0
44445.58,547.59
44445.62,2.55
44445.66,142.18
44445.7,223.35
44445.75,113.27
44445.79,61.35
44445.83,72.42
44445.87,136.16
44445.91,194.07
44445.95,0
44446,76.56
44446.04,221.56
44446.08,256.27
44446.12,39.03
44446.16,189.94
44446.2,163.85
44446.25,103.41
44446.29,80.89
44446.33,47.24
44446.37,74.4
44446.41,0
44446.45,0
44446.5,81.11
44446.54,397.71
44446.58,18.56
44446.62,121.71
44446.66,200.13
44446.7,0
44446.75,63.99
44446.79,476.33
44446.83,49.55
44446.87,173.63
44446.91,206.23
44446.95,218.97
44447,9.08
44447.04,202.9
44447.08,174.64
44447.12,146.51
44447.16,161.09
44447.2,171.91
44447.25,60.77
44447.29,218.1
44447.33,173.17
44447.37,118.62
44447.41,292.76
44447.45,139.55
44447.5,0
44447.54,0
44447.58,263.94
44447.62,42.6
44447.66,94.27
44447.7,109.01
44447.75,0
44447.79,0
44447.83,320.45
44447.87,335.48
44447.91,172.47
44447.95,188.26
44448,45.39
44448.04,323.29
44448.08,172.22
44448.12,197.09
44448.16,227.34
44448.2,217.99
44448.25,131.35
44448.29,285.02
44448.33,6.09
44448.37,6.49
44448.41,234.94
44448.45,0
44448.5,79.48
44448.54,101.97
44448.58,222.44
44448.62,72.46
44448.66,84.47
44448.7,169.53
44448.75,110.34
44448.79,105.41
44448.83,66.5
44448.87,146
44448.91,160.42
44448.95,107.75
44449,42.08
44449.04,143.37
44449.08,131.99
44449.12,64.98
44449.16,138.25
44449.2,104.22
44449.25,84.18
44449.29,101.1
44449.33,116.68
44449.37,217.53
44449.41,293.74
44449.45,0
44449.5,0
44449.54,-27.57
44449.58,0
44449.62,0
44449.66,0
44449.7,14.35
44449.75,43.91
44449.79,42.41
44449.83,50.88
44449.87,34.8
44449.91,32.57
44449.95,48.08
44450,2.4
44450.04,37.65
44450.08,36.38
44450.12,45.97
44450.16,43.04
44450.2,41.74
44450.25,38.17
44450.29,42.37
44450.33,46.19
44450.37,0
44450.41,0
44450.45,0
44450.5,-61.74
44450.54,-51.3
44450.58,-67.2
44450.62,0
44450.66,0
44450.7,0
44450.75,-4.96
44450.79,0
44450.83,0
44450.87,-11.33
44450.91,0
44450.95,16.7
44451,0
44451.04,43.39
44451.08,9.17
44451.12,0
44451.16,0
44451.2,0
44451.25,26.24
44451.29,0
44451.33,0
44451.37,0
44451.41,201.1
44451.45,21.01
44451.5,74.48
44451.54,61
44451.58,0
44451.62,0
44451.66,34.79
44451.7,45.56
44451.75,42.8
44451.79,37.44
44451.83,40.87
44451.87,37.72
44451.91,49.97
44451.95,43.39
44452,79.57
44452.04,0
44452.08,33.62
44452.12,43.17
44452.16,33.62
44452.2,39.61
44452.25,0
44452.29,71.86
44452.33,41.18
44452.37,90.92
44452.41,95.92
44452.45,0
44452.5,101.68
44452.54,42.13
44452.58,50.6
44452.62,42.88
44452.66,46.19
44452.7,42.44
44452.75,37.98
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,149.09
44453.04,17.16
44453.08,0
44453.12,230.78
44453.16,29
44453.2,227.03
44453.25,0
44453.29,0
44453.33,0
44453.37,224.79
44453.41,470.02
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-107.72
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-46.86
44454.33,0
44454.37,0
44454.41,-38.67
44454.45,-91.4
44454.5,0
44454.54,-75.79
44454.58,-42.72
44454.62,0
44454.66,-247.4
44454.7,0
44454.75,-86.45
44454.79,-146.48
44454.83,0
44454.87,27.9
44454.91,0
44454.95,0
44455,-50.27
44455.04,-56.03
44455.08,-18.42
44455.12,-11.62
44455.16,-17.75
44455.2,0
44455.25,0
44455.29,-5.88
44455.33,-222.58
44455.37,-104.48
44455.41,-43.6
44455.45,-190.26
44455.5,0
44455.54,0
44455.58,0
44455.62,74.59
44455.66,50.78
44455.7,0
44455.75,18.67
44455.79,120.15
44455.83,29.24
44455.87,0
44455.91,1.66
44455.95,101.2
44456,28.23
44456.04,7.28
44456.08,48.43
44456.12,35.59
44456.16,38.84
44456.2,17.79
44456.25,23
44456.29,48.47
44456.33,36.03
44456.37,72.04
44456.41,34.18
44456.45,8.37
44456.5,43.26
44456.54,53.09
44456.58,0
44456.62,0
44456.66,58.13
44456.7,33.58
44456.75,15.81
44456.79,39.15
44456.83,0
44456.87,7.02
44456.91,33.27
44456.95,34.84
44457,20.82
44457.04,25.21
44457.08,86.71
44457.12,28.27
