$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44430,0
44430.04,0
44430.08,0
44430.12,0
44430.16,675.77
44430.2,0
44430.25,-961.42
44430.29,0
44430.33,878.39
44430.37,0
44430.41,-596.68
44430.45,0
44430.5,0
44430.54,0
44430.58,-302.46
44430.62,0
44430.66,0
44430.7,0
44430.75,-38.51
44430.79,0
44430.83,0
44430.87,0
44430.91,0
44430.95,0
44431,0
44431.04,356.13
44431.08,0
44431.12,0
44431.16,0
44431.2,272.17
44431.25,0
44431.29,-91.74
44431.33,0
44431.37,1.79
44431.41,0
44431.45,-226.07
44431.5,0
44431.54,0
44431.58,0
44431.62,-85.29
44431.66,-32.96
44431.7,0
44431.75,0
44431.79,0
44431.83,0
44431.87,0
44431.91,0
44431.95,0
44432,0
44432.04,16.91
44432.08,275.28
44432.12,623.47
44432.16,0
44432.2,-205.65
44432.25,0
44432.29,168.76
44432.33,0
44432.37,-63.94
44432.41,-345.4
44432.45,0
44432.5,0
44432.54,0
44432.58,-236.32
44432.62,0
44432.66,0
44432.7,0
44432.75,0
44432.79,23.51
44432.83,68.56
44432.87,137.76
44432.91,0
44432.95,62.78
44433,1.59
44433.04,245.46
44433.08,232.6
44433.12,152.03
44433.16,79.48
44433.2,61.32
44433.25,5.72
44433.29,0
44433.33,0
44433.37,-37.91
44433.41,-0.29
44433.45,-29.43
44433.5,-55.97
44433.54,-126.3
44433.58,-31.57
44433.62,-73.37
44433.66,-5.59
44433.7,-119.32
44433.75,-76.65
44433.79,0
44433.83,-24.33
44433.87,-8.08
44433.91,-79.58
44433.95,0
44434,61.37
44434.04,128.47
44434.08,141.33
44434.12,62.56
44434.16,146.46
44434.2,129.53
44434.25,5.02
44434.29,134.6
44434.33,16.16
44434.37,42.47
44434.41,48.85
44434.45,23.62
44434.5,13.27
44434.54,82.78
44434.58,78.84
44434.62,127.86
44434.66,168.3
44434.7,144.39
44434.75,58.58
44434.79,114.93
44434.83,132.7
44434.87,165.28
44434.91,124.49
44434.95,109.85
44435,94.94
44435.04,221.33
44435.08,214.99
44435.12,173.01
44435.16,162.97
44435.2,207.82
44435.25,72.47
