year,station_code,station_name,start_time,end_time,hours,reason,left_anchor_time,left_anchor_m,right_anchor_time,right_anchor_m
2021,SS,双狮,2021-02-25 12:00,2021-02-25 13:00,2,temporal_inconsistent,2021-02-25 11:00,575.93,2021-02-25 14:00,583.82
2021,SS,双狮,2021-10-04 21:00,2021-10-04 22:00,2,temporal_inconsistent,2021-10-04 20:00,597.50,2021-10-04 23:00,575.59
2021,SS,双狮,2021-10-07 11:00,2021-10-07 12:00,2,temporal_inconsistent,2021-10-07 10:00,575.59,2021-10-07 13:00,598.34
2021,HH,黄华,2021-02-25 12:00,2021-02-25 13:00,2,spatial_inconsistent,2021-02-25 11:00,583.85,2021-02-25 14:00,583.82
2021,HH,黄华,2021-03-07 14:00,2021-03-07 14:00,1,spatial_inconsistent,2021-03-07 13:00,582.72,2021-03-07 15:00,582.73
2021,HH,黄华,2021-03-07 16:00,2021-03-07 16:00,1,spatial_inconsistent,2021-03-07 15:00,582.73,2021-03-07 17:00,582.72
2021,HH,黄华,2021-03-08 17:00,2021-03-08 17:00,1,spatial_inconsistent,2021-03-08 16:00,582.72,2021-03-08 18:00,582.68
2021,HH,黄华,2021-03-09 13:00,2021-03-09 13:00,1,spatial_inconsistent,2021-03-09 12:00,582.64,2021-03-09 14:00,582.64
2021,HH,黄华,2021-03-10 13:00,2021-03-10 13:00,1,spatial_inconsistent,2021-03-10 12:00,582.73,2021-03-10 14:00,582.76
2021,HH,黄华,2021-03-10 15:00,2021-03-10 16:00,2,spatial_inconsistent,2021-03-10 14:00,582.76,2021-03-10 17:00,582.80
2021,HH,黄华,2021-03-11 15:00,2021-03-11 15:00,1,spatial_inconsistent,2021-03-11 14:00,582.89,2021-03-11 16:00,582.90
2021,HH,黄华,2021-03-12 14:00,2021-03-12 14:00,1,spatial_inconsistent,2021-03-12 13:00,582.78,2021-03-12 15:00,582.77
2021,HH,黄华,2021-03-12 16:00,2021-03-12 16:00,1,spatial_inconsistent,2021-03-12 15:00,582.77,2021-03-12 17:00,582.75
2021,HH,黄华,2021-03-14 15:00,2021-03-14 16:00,2,spatial_inconsistent,2021-03-14 14:00,583.27,2021-03-14 17:00,583.28
2021,HH,黄华,2021-03-16 03:00,2021-03-16 04:00,2,spatial_inconsistent,2021-03-16 02:00,583.33,2021-03-16 05:00,583.37
2021,HH,黄华,2021-03-16 07:00,2021-03-16 07:00,1,spatial_inconsistent,2021-03-16 06:00,583.37,2021-03-16 08:00,583.41
2021,HH,黄华,2021-03-16 18:00,2021-03-16 18:00,1,spatial_inconsistent,2021-03-16 17:00,583.39,2021-03-16 19:00,583.38
2021,HH,黄华,2021-03-18 23:00,2021-03-18 23:00,1,spatial_inconsistent,2021-03-18 22:00,583.66,2021-03-19 00:00,583.69
2021,HH,黄华,2021-03-19 11:00,2021-03-19 11:00,1,spatial_inconsistent,2021-03-19 10:00,583.87,2021-03-19 12:00,583.92
2021,HH,黄华,2021-03-19 15:00,2021-03-19 15:00,1,spatial_inconsistent,2021-03-19 14:00,583.95,2021-03-19 16:00,583.99
2021,HH,黄华,2021-03-20 16:00,2021-03-20 16:00,1,spatial_inconsistent,2021-03-20 15:00,584.33,2021-03-20 17:00,584.37
2021,SLB,双龙坝,2021-03-07 14:00,2021-03-07 14:00,1,temporal_inconsistent,2021-03-07 13:00,582.72,2021-03-07 15:00,582.69
2021,SLB,双龙坝,2021-03-07 16:00,2021-03-07 16:00,1,temporal_inconsistent,2021-03-07 15:00,582.69,2021-03-07 17:00,584.82
2021,SLB,双龙坝,2021-03-07 22:00,2021-03-08 10:00,13,out_of_range,2021-03-07 21:00,582.68,2021-03-08 11:00,582.63
2021,SLB,双龙坝,2021-03-08 17:00,2021-03-08 17:00,1,temporal_inconsistent,2021-03-08 16:00,587.00,2021-03-08 18:00,586.15
2021,SLB,双龙坝,2021-03-09 13:00,2021-03-09 13:00,1,temporal_inconsistent,2021-03-09 12:00,582.14,2021-03-09 14:00,582.79
2021,SLB,双龙坝,2021-03-10 13:00,2021-03-10 16:00,4,temporal_inconsistent,2021-03-10 12:00,582.33,2021-03-10 17:00,582.87
2021,SLB,双龙坝,2021-03-11 15:00,2021-03-11 16:00,2,temporal_inconsistent,2021-03-11 14:00,582.48,2021-03-11 17:00,582.36
2021,SLB,双龙坝,2021-03-12 14:00,2021-03-12 14:00,1,temporal_inconsistent,2021-03-12 13:00,582.29,2021-03-12 15:00,579.45
