$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:12.      

JDAY,QWD(m3s-1)
  40544.0000,   4583.2900
  40544.0419,   4621.3754
  40544.0834,   4660.6069
  40544.1250,   4700.5745
  40544.1679,   4740.2192
  40544.2096,   4779.5780
  40544.2500,   4817.9516
  40544.2930,   4858.1378
  40544.3346,   4897.4056
  40544.3750,   4935.6847
  40544.4178,   4975.6237
  40544.4584,   5014.0054
  40544.5000,   5053.6654
  40544.5419,   5092.6780
  40544.5834,   5131.8049
  40544.6250,   5171.5518
  40544.6679,   5211.5023
  40544.7084,   5249.6044
  40544.7500,   5289.7620
  40544.7930,   5329.3406
  40544.8335,   5367.4039
  40544.8750,   5407.3658
  40544.9168,   5445.9938
  40544.9584,   5485.2034
  40545.0000,   5525.1694
  40545.0422,   5502.6542
  40545.0834,   5479.3603
  40545.1250,   5455.8550
  40545.1680,   5431.6404
  40545.2084,   5408.7787
  40545.2500,   5385.2480
  40545.2927,   5361.2942
  40545.3334,   5338.1971
  40545.3750,   5314.3343
  40545.4169,   5291.0627
  40545.4585,   5267.6155
  40545.5000,   5243.5166
  40545.5419,   5220.4603
  40545.5836,   5197.0339
  40545.6250,   5173.3539
  40545.6669,   5149.9172
  40545.7085,   5126.4523
  40545.7500,   5102.5344
  40545.7926,   5078.9908
  40545.8336,   5055.8707
  40545.8750,   5032.4291
  40545.9178,   5008.2640
  40545.9585,   4985.2891
  40546.0000,   4961.5522
  40546.0429,   4932.4944
  40546.0835,   4904.2659
  40546.1250,   4875.5348
  40546.1672,   4846.3730
  40546.2084,   4817.7756
  40546.2500,   4788.1234
  40546.2928,   4759.4984
  40546.3335,   4731.2853
  40546.3750,   4701.8799
  40546.4175,   4673.1805
  40546.4584,   4644.7951
  40546.5000,   4615.7400
  40546.5429,   4586.3616
  40546.5847,   4557.4402
  40546.6250,   4528.8976
  40546.6678,   4499.8554
  40546.7095,   4471.0119
  40546.7500,   4442.7295
  40546.7918,   4414.0893
  40546.8346,   4384.4612
  40546.8750,   4356.3238
  40546.9173,   4327.2239
  40546.9596,   4297.9689
  40547.0000,   4269.5517
  40547.0421,   4330.4460
  40547.0834,   4392.3508
  40547.1250,   4456.1837
  40547.1675,   4518.9331
  40547.2094,   4581.8690
  40547.2500,   4643.7371
  40547.2919,   4705.6762
  40547.3334,   4767.8863
  40547.3750,   4831.5544
  40547.4179,   4894.9085
  40547.4595,   4957.5791
  40547.5000,   5019.0592
  40547.5418,   5081.4660
  40547.5842,   5144.9811
  40547.6250,   5207.4869
  40547.6669,   5269.3373
  40547.7094,   5332.9150
  40547.7500,   5395.1261
  40547.7922,   5457.7334
  40547.8341,   5520.4991
  40547.8750,   5582.4588
  40547.9171,   5645.1672
  40547.9591,   5708.2897
  40548.0000,   5769.7571
  40548.0417,   5769.5134
  40548.0841,   5767.6969
  40548.1250,   5765.9092
  40548.1675,   5764.1253
  40548.2094,   5762.3364
  40548.2500,   5760.5669
  40548.2919,   5758.8005
  40548.3342,   5756.9895
  40548.3750,   5755.2100
  40548.4167,   5753.4546
  40548.4593,   5751.6352
  40548.5000,   5749.8797
  40548.5420,   5748.0946
  40548.5842,   5746.2836
  40548.6250,   5744.5082
  40548.6672,   5742.7320
  40548.7092,   5740.9321
  40548.7500,   5739.1712
  40548.7922,   5737.3807
  40548.8343,   5735.5784
  40548.8750,   5733.8041
  40548.9174,   5732.0190
  40548.9594,   5730.2261
  40549.0000,   5728.4460
  40549.0419,   5660.6858
  40549.0843,   5590.0001
  40549.1250,   5521.2119
  40549.1674,   5451.6916
  40549.2095,   5381.8205
  40549.2500,   5312.6231
  40549.2923,   5243.7316
  40549.3344,   5173.7629
  40549.3750,   5105.5367
  40549.4170,   5036.1900
  40549.4595,   4965.5914
  40549.5000,   4896.8835
  40549.5421,   4828.0128
  40549.5845,   4757.4770
  40549.6250,   4689.6161
  40549.6674,   4619.3512
  40549.7096,   4549.3775
  40549.7500,   4481.8038
  40549.7920,   4412.0557
  40549.8345,   4341.2412
  40549.8750,   4272.4690
  40549.9177,   4202.9306
  40549.9585,   4135.2141
  40550.0000,   4065.4677
  40550.0419,   4060.2013
  40550.0833,   4056.6355
  40550.1250,   4052.9379
  40550.1677,   4049.3722
  40550.2096,   4045.7602
  40550.2500,   4042.2411
  40550.2920,   4038.6650
  40550.3336,   4035.1028
  40550.3750,   4031.4169
  40550.4171,   4027.9185
  40550.4585,   4024.3364
  40550.5000,   4020.7311
  40550.5423,   4017.1368
  40550.5836,   4013.5701
  40550.6250,   4009.9474
  40550.6674,   4006.3548
  40550.7086,   4002.8037
  40550.7500,   3999.1400
  40550.7930,   3995.5289
  40550.8336,   3992.0373
  40550.8750,   3988.4331
  40550.9169,   3984.8554
  40550.9587,   3981.2710
  40551.0000,   3977.5944
  40551.0418,   3971.1791
  40551.0837,   3964.4625
  40551.1250,   3957.8637
  40551.1680,   3951.0147
  40551.2087,   3944.4903
  40551.2500,   3937.6780
  40551.2929,   3931.0170
  40551.3338,   3924.5182
  40551.3750,   3917.7747
  40551.4172,   3911.1793
  40551.4589,   3904.5461
  40551.5000,   3897.8928
  40551.5430,   3891.0629
  40551.5838,   3884.5739
  40551.6250,   3877.9217
  40551.6676,   3871.1843
  40551.7086,   3864.6018
  40551.7500,   3857.7666
  40551.7923,   3851.2418
  40551.8338,   3844.6297
  40551.8750,   3837.7893
  40551.9172,   3831.2826
  40551.9588,   3824.6575
  40552.0000,   3817.8665
  40552.0430,   3827.1385
  40552.0838,   3836.2583
  40552.1250,   3845.7112
  40552.1671,   3855.0328
  40552.2086,   3864.3904
  40552.2500,   3873.9774
  40552.2922,   3883.1575
  40552.3337,   3892.5225
  40552.3750,   3902.0179
  40552.4168,   3911.1750
  40552.4587,   3920.6547
  40552.5000,   3929.9728
  40552.5427,   3939.5496
  40552.5838,   3948.7868
  40552.6250,   3958.1319
  40552.6670,   3967.5539
  40552.7089,   3976.9190
  40552.7500,   3986.4539
  40552.7917,   3995.6497
  40552.8334,   4005.0511
  40552.8750,   4014.3807
  40552.9171,   4023.8236
  40552.9586,   4033.1833
  40553.0000,   4042.7274
  40553.0427,   4069.4241
  40553.0836,   4095.8206
  40553.1250,   4122.8859
  40553.1680,   4150.3059
  40553.2086,   4176.5247
  40553.2500,   4203.5212
  40553.2928,   4230.9118
  40553.3336,   4257.2288
  40553.3750,   4284.7480
  40553.4173,   4311.3288
  40553.4585,   4337.9329
  40553.5000,   4365.3051
  40553.5430,   4392.4823
  40553.5835,   4418.6370
  40553.6250,   4445.5565
  40553.6671,   4472.6161
  40553.7086,   4499.3411
  40553.7500,   4527.0160
  40553.7928,   4553.7304
  40553.8334,   4580.0452
  40553.8750,   4607.6407
  40553.9172,   4634.2225
  40553.9584,   4660.7493
  40554.0000,   4688.1723
  40554.0417,   4649.9378
  40554.0833,   4609.7139
  40554.1250,   4568.5722
  40554.1677,   4528.6709
  40554.2085,   4489.7004
  40554.2500,   4449.5608
  40554.2925,   4408.7586
  40554.3334,   4369.6869
  40554.3750,   4329.0057
  40554.4175,   4289.0705
  40554.4584,   4249.6735
  40554.5000,   4209.2087
  40554.5425,   4168.7710
  40554.5835,   4129.6600
  40554.6250,   4088.4756
  40554.6670,   4049.4092
  40554.7084,   4009.6465
  40554.7500,   3968.8065
  40554.7921,   3929.2761
  40554.8335,   3889.6330
  40554.8750,   3849.3308
  40554.9179,   3808.4698
  40554.9584,   3769.6195
  40555.0000,   3729.2467
  40555.0425,   3756.1156
  40555.0835,   3783.7180
  40555.1250,   3812.2924
  40555.1670,   3839.9451
  40555.2086,   3868.0369
  40555.2500,   3896.0848
  40555.2928,   3924.9645
  40555.3334,   3952.3557
  40555.3750,   3980.7346
  40555.4169,   4008.6776
  40555.4584,   4036.6746
  40555.5000,   4064.8111
  40555.5419,   4092.9110
  40555.5835,   4120.9934
  40555.6250,   4149.3807
  40555.6674,   4177.6388
  40555.7084,   4205.3123
  40555.7500,   4233.6854
  40555.7922,   4261.8863
  40555.8334,   4289.6311
  40555.8750,   4318.4220
  40555.9176,   4346.4186
  40555.9596,   4374.8028
  40556.0000,   4402.4139
  40556.0425,   4437.7652
  40556.0834,   4472.3091
  40556.1250,   4507.5557
  40556.1676,   4543.4023
  40556.2085,   4578.0198
  40556.2500,   4613.7409
  40556.2925,   4649.0966
  40556.3334,   4683.7304
  40556.3750,   4719.8947
  40556.4169,   4754.3055
  40556.4584,   4789.4410
  40556.5000,   4824.5609
  40556.5416,   4859.6976
  40556.5835,   4895.1517
  40556.6250,   4930.7072
  40556.6678,   4966.4039
  40556.7085,   5000.8623
  40556.7500,   5037.0067
  40556.7924,   5071.7064
  40556.8336,   5106.5729
  40556.8750,   5142.0648
  40556.9170,   5177.1125
  40556.9585,   5212.2836
  40557.0000,   5248.1617
  40557.0420,   5246.8050
  40557.0836,   5244.9466
  40557.1250,   5243.0285
  40557.1668,   5241.2264
  40557.2085,   5239.3624
  40557.2500,   5237.4514
  40557.2930,   5235.5974
  40557.3334,   5233.7782
  40557.3750,   5231.9205
  40557.4168,   5230.0550
  40557.4585,   5228.1940
  40557.5000,   5226.3332
  40557.5418,   5224.4738
  40557.5834,   5222.6097
  40557.6250,   5220.7308
  40557.6672,   5218.8684
  40557.7084,   5217.0255
  40557.7500,   5215.1144
  40557.7923,   5213.2751
  40557.8334,   5211.4413
  40557.8750,   5209.5720
  40557.9180,   5207.6631
  40557.9583,   5205.8570
  40558.0000,   5203.9595
  40558.0417,   5200.3023
  40558.0834,   5196.5446
  40558.1250,   5192.7630
  40558.1667,   5189.0279
  40558.2084,   5185.2801
  40558.2500,   5181.4470
  40558.2924,   5177.7183
  40558.3334,   5174.0155
  40558.3750,   5170.1913
  40558.4179,   5166.3983
  40558.4585,   5162.7510
  40558.5000,   5158.9802
  40558.5423,   5155.1855
  40558.5834,   5151.4865
  40558.6250,   5147.7065
  40558.6676,   5143.8912
  40558.7084,   5140.2220
  40558.7500,   5136.3912
  40558.7917,   5132.7107
  40558.8334,   5128.9574
  40558.8750,   5125.1061
  40558.9176,   5121.3719
  40558.9596,   5117.5792
  40559.0000,   5113.8484
  40559.0426,   5130.2382
  40559.0834,   5146.5477
  40559.1250,   5163.5236
  40559.1680,   5180.2725
  40559.2086,   5196.4087
  40559.2500,   5213.1026
  40559.2928,   5230.0277
  40559.3334,   5246.2697
  40559.3750,   5263.2531
  40559.4167,   5279.5219
  40559.4586,   5296.1308
  40559.5000,   5312.7668
  40559.5420,   5329.4588
  40559.5835,   5345.9918
  40559.6250,   5362.7538
  40559.6668,   5379.1565
  40559.7086,   5395.8528
  40559.7500,   5412.4513
  40559.7928,   5429.4043
  40559.8337,   5445.7138
  40559.8750,   5462.4993
  40559.9168,   5478.8646
  40559.9584,   5495.5749
  40560.0000,   5512.1225
  40560.0425,   5486.1457
  40560.0835,   5459.3860
  40560.1250,   5432.3627
  40560.1674,   5404.8216
  40560.2084,   5378.1418
  40560.2500,   5350.9004
  40560.2923,   5323.6652
  40560.3334,   5296.8977
  40560.3750,   5269.3545
  40560.4171,   5242.5416
  40560.4583,   5215.6535
  40560.5000,   5187.9155
  40560.5418,   5161.3933
  40560.5833,   5134.4094
  40560.6250,   5106.7460
  40560.6673,   5079.8390
  40560.7094,   5052.3793
  40560.7500,   5026.0632
  40560.7927,   4998.3014
  40560.8345,   4971.1247
  40560.8750,   4944.1155
  40560.9173,   4917.2671
  40560.9593,   4889.9337
  40561.0000,   4862.8636
  40561.0428,   4914.5298
  40561.0843,   4966.2264
  40561.1250,   5017.1322
  40561.1677,   5069.7968
  40561.2093,   5121.6255
  40561.2500,   5172.7126
  40561.2917,   5224.1593
  40561.3342,   5277.0257
  40561.3750,   5328.2729
  40561.4175,   5380.6345
  40561.4592,   5432.3869
  40561.5000,   5483.9815
  40561.5423,   5535.9618
  40561.5840,   5587.7610
  40561.6250,   5639.4671
  40561.6670,   5690.9899
  40561.7089,   5743.1740
  40561.7500,   5794.3840
  40561.7918,   5846.3244
  40561.8339,   5898.6180
  40561.8750,   5950.5953
  40561.9167,   6001.6233
  40561.9589,   6054.0456
  40562.0000,   6106.0619
  40562.0422,   6171.6741
  40562.0838,   6237.5433
  40562.1250,   6302.7417
  40562.1674,   6369.7293
  40562.2088,   6435.2602
  40562.2500,   6500.8208
  40562.2917,   6566.5646
  40562.3337,   6633.0061
  40562.3750,   6699.5353
  40562.4175,   6765.4985
  40562.4584,   6830.5227
  40562.5000,   6896.9832
  40562.5423,   6963.0704
  40562.5840,   7028.8241
  40562.6250,   7094.2529
  40562.6673,   7160.4729
  40562.7091,   7226.5926
  40562.7500,   7292.8487
  40562.7918,   7357.4944
  40562.8340,   7424.3154
  40562.8750,   7489.5373
  40562.9171,   7555.7703
  40562.9589,   7622.0432
  40563.0000,   7686.9977
  40563.0417,   7670.7856
  40563.0839,   7652.4447
  40563.1250,   7634.5898
  40563.1671,   7616.4206
  40563.2083,   7598.5734
  40563.2500,   7580.4430
  40563.2922,   7562.2780
  40563.3333,   7544.4520
  40563.3750,   7526.3053
  40563.4171,   7508.1581
  40563.4583,   7490.3199
  40563.5000,   7472.1934
  40563.5421,   7454.0420
  40563.5833,   7436.1898
  40563.6250,   7418.0343
  40563.6666,   7400.1328
  40563.7084,   7382.0474
  40563.7500,   7363.8717
  40563.7917,   7346.0005
  40563.8334,   7327.9196
  40563.8750,   7309.8238
  40563.9173,   7291.6126
  40563.9585,   7273.7822
  40564.0000,   7255.6841
  40564.0423,   7217.7067
  40564.0833,   7180.3846
  40564.1250,   7142.6947
  40564.1670,   7104.5139
  40564.2085,   7066.8820
  40564.2500,   7028.7525
  40564.2920,   6991.0801
  40564.3335,   6953.3902
  40564.3750,   6915.5352
  40564.4169,   6877.6688
  40564.4585,   6839.9249
  40564.5000,   6802.0940
  40564.5418,   6764.3124
  40564.5836,   6726.4134
  40564.6250,   6688.5812
  40564.6668,   6651.0045
  40564.7086,   6612.9471
  40564.7500,   6574.7268
  40564.7922,   6537.0091
  40564.8336,   6499.4803
  40564.8750,   6461.2262
  40564.9172,   6423.5437
  40564.9586,   6385.9793
  40565.0000,   6347.8439
  40565.0421,   6341.9654
  40565.0836,   6336.2192
  40565.1250,   6330.4725
  40565.1667,   6324.7124
  40565.2086,   6318.9096
  40565.2500,   6313.0962
  40565.2918,   6307.3808
  40565.3336,   6301.5969
  40565.3750,   6295.7646
  40565.4172,   6290.0197
  40565.4585,   6284.2905
  40565.5000,   6278.5148
  40565.5423,   6272.6854
  40565.5836,   6266.9762
  40565.6250,   6261.2392
  40565.6667,   6255.4537
  40565.7085,   6249.6659
  40565.7500,   6243.8912
  40565.7921,   6238.0961
  40565.8335,   6232.3579
  40565.8750,   6226.5636
  40565.9173,   6220.7525
  40565.9585,   6215.0436
  40566.0000,   6209.2009
  40566.0418,   6210.3325
  40566.0834,   6211.4888
  40566.1250,   6212.6477
  40566.1672,   6213.8087
  40566.2085,   6214.9532
  40566.2500,   6216.1215
  40566.2919,   6217.2661
  40566.3334,   6218.4166
  40566.3750,   6219.5763
  40566.4171,   6220.7350
  40566.4585,   6221.8809
  40566.5000,   6223.0316
  40566.5423,   6224.2046
  40566.5834,   6225.3439
  40566.6250,   6226.5027
  40566.6669,   6227.6588
  40566.7084,   6228.8085
  40566.7500,   6229.9764
  40566.7922,   6231.1313
  40566.8334,   6232.2721
  40566.8750,   6233.4314
  40566.9169,   6234.5872
  40566.9584,   6235.7360
  40567.0000,   6236.9023
  40567.0423,   6248.8290
  40567.0834,   6260.6127
