JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40544.000,    45.996,    23.811,     4.500,     0.000,     0.000,     0.000,     0.000,    19.805,  2898.534,     1.000,     4.500,  -196.407,     0.000,   209.626,   327.448,    37.377,    41.208,     0.000,
 40544.042,   126.043,    23.779,     4.476,     0.034,   777.347,     0.000,     0.000,    19.773,  2898.534,     1.000,     4.476,  -197.313,     0.000,   209.122,   327.341,    37.130,    41.964,     0.000,
 40544.083,   113.285,    23.812,     4.451,     0.239,  5551.442,     0.000,     0.000,    19.806,  2898.534,     1.000,     4.451,  -199.387,     0.000,   208.060,   327.219,    36.550,    43.679,     0.000,
 40544.125,   113.467,    23.823,     4.423,     0.242,  5582.102,     0.000,     0.000,    19.817,  2898.534,     1.000,     4.423,  -209.420,     0.000,   206.919,   327.088,    39.698,    49.553,     0.000,
 40544.168,   114.152,    23.819,     4.395,     0.227,  5211.974,   900.499,     0.000,    19.813,  2898.534,     1.000,     4.395,   648.435,   849.528,   207.235,   326.958,    36.477,    44.892,     0.000,
 40544.210,   111.941,    23.817,     4.368,     0.216,  5025.870,     0.000,     0.000,    19.811,  2898.534,     1.000,     4.368,  -206.588,     0.000,   207.863,   326.830,    40.260,    47.361,     0.000,
 40544.251,   121.540,    23.818,     4.341,     0.213,  4948.024,     0.000,     0.000,    19.812,  2898.534,     1.000,     4.341,  -203.706,     0.000,   206.276,   326.704,    36.917,    46.362,     0.000,
 40544.293,   110.771,    23.815,     4.315,     0.215,  4961.956,   695.125,     0.000,    19.809,  2898.534,     1.000,     4.315,   452.260,   655.778,   206.416,   326.581,    37.355,    45.998,     0.000,
 40544.335,   116.842,    23.817,     4.289,     0.216,  5052.694,     0.000,     0.000,    19.811,  2898.534,     1.000,     4.289,  -210.298,     0.000,   206.276,   326.458,    40.082,    50.035,     0.000,
 40544.376,   106.729,    23.820,     4.263,     0.213,  4978.493,     0.000,     0.000,    19.814,  2898.534,     1.000,     4.263,  -202.764,     0.000,   206.277,   326.335,    36.683,    46.023,     0.000,
 40544.418,   118.955,    23.816,     4.238,     0.214,  4978.059,     0.000,     0.000,    19.810,  2898.534,     1.000,     4.238,  -193.696,     0.000,   210.317,   326.218,    36.660,    41.135,     0.000,
 40544.458,   115.731,    23.816,     4.215,     0.217,  5006.745,     0.000,     0.000,    19.810,  2898.534,     1.000,     4.215,  -187.507,     0.000,   211.240,   326.107,    35.345,    37.295,     0.000,
