$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:7.       

JDAY,T(C)
  40544.0000,    4.50
  40544.0419,    4.48
  40544.0834,    4.46
  40544.1250,    4.43
  40544.1679,    4.41
  40544.2096,    4.38
  40544.2500,    4.36
  40544.2930,    4.33
  40544.3346,    4.30
  40544.3750,    4.27
  40544.4178,    4.25
  40544.4584,    4.22
  40544.5000,    4.19
  40544.5419,    4.16
  40544.5834,    4.14
  40544.6250,    4.11
  40544.6679,    4.08
  40544.7084,    4.06
  40544.7500,    4.04
  40544.7930,    4.02
  40544.8335,    4.00
  40544.8750,    3.99
  40544.9168,    3.97
  40544.9584,    3.95
  40545.0000,    3.93
  40545.0422,    3.91
  40545.0834,    3.89
  40545.1250,    3.87
  40545.1680,    3.85
  40545.2084,    3.84
  40545.2500,    3.82
  40545.2927,    3.79
  40545.3334,    3.77
  40545.3750,    3.74
  40545.4169,    3.72
  40545.4585,    3.69
  40545.5000,    3.67
  40545.5419,    3.64
  40545.5836,    3.61
  40545.6250,    3.59
  40545.6669,    3.56
  40545.7085,    3.53
  40545.7500,    3.50
  40545.7926,    3.48
  40545.8336,    3.45
  40545.8750,    3.43
  40545.9178,    3.42
  40545.9585,    3.40
  40546.0000,    3.39
  40546.0429,    3.37
  40546.0835,    3.36
  40546.1250,    3.34
  40546.1672,    3.31
  40546.2084,    3.29
  40546.2500,    3.27
  40546.2928,    3.24
  40546.3335,    3.22
  40546.3750,    3.20
  40546.4175,    3.17
  40546.4584,    3.15
  40546.5000,    3.13
  40546.5429,    3.11
  40546.5847,    3.09
  40546.6250,    3.07
  40546.6678,    3.05
  40546.7095,    3.04
  40546.7500,    3.02
  40546.7918,    3.01
  40546.8346,    2.99
  40546.8750,    2.98
  40546.9173,    2.98
  40546.9596,    3.00
  40547.0000,    3.03
  40547.0421,    3.07
  40547.0834,    3.12
  40547.1250,    3.18
  40547.1675,    3.25
  40547.2094,    3.31
  40547.2500,    3.36
  40547.2919,    3.40
  40547.3334,    3.43
  40547.3750,    3.43
  40547.4179,    3.43
  40547.4595,    3.43
  40547.5000,    3.42
  40547.5418,    3.42
  40547.5842,    3.41
  40547.6250,    3.41
  40547.6669,    3.40
  40547.7094,    3.39
  40547.7500,    3.38
  40547.7922,    3.37
  40547.8341,    3.37
  40547.8750,    3.37
  40547.9171,    3.38
  40547.9591,    3.40
  40548.0000,    3.43
  40548.0417,    3.47
  40548.0841,    3.51
  40548.1250,    3.54
  40548.1675,    3.58
  40548.2094,    3.59
  40548.2500,    3.60
  40548.2919,    3.60
  40548.3342,    3.60
  40548.3750,    3.60
  40548.4167,    3.59
  40548.4593,    3.59
  40548.5000,    3.60
  40548.5420,    3.61
  40548.5842,    3.62
  40548.6250,    3.64
  40548.6672,    3.66
  40548.7092,    3.69
  40548.7500,    3.71
  40548.7922,    3.74
  40548.8343,    3.77
  40548.8750,    3.79
  40548.9174,    3.82
  40548.9594,    3.85
  40549.0000,    3.87
  40549.0419,    3.89
  40549.0843,    3.90
  40549.1250,    3.91
  40549.1674,    3.91
  40549.2095,    3.90
  40549.2500,    3.90
  40549.2923,    3.90
  40549.3344,    3.90
  40549.3750,    3.89
  40549.4170,    3.89
  40549.4595,    3.89
  40549.5000,    3.90
  40549.5421,    3.91
  40549.5845,    3.93
  40549.6250,    3.95
  40549.6674,    3.97
  40549.7096,    4.00
  40549.7500,    4.03
  40549.7920,    4.05
  40549.8345,    4.07
  40549.8750,    4.08
  40549.9177,    4.09
  40549.9585,    4.10
  40550.0000,    4.10
  40550.0419,    4.10
  40550.0833,    4.09
  40550.1250,    4.08
  40550.1677,    4.07
  40550.2096,    4.07
  40550.2500,    4.06
  40550.2920,    4.05
  40550.3336,    4.04
  40550.3750,    4.02
  40550.4171,    4.01
  40550.4585,    4.01
  40550.5000,    4.00
  40550.5423,    4.00
  40550.5836,    4.00
  40550.6250,    4.00
  40550.6674,    4.00
  40550.7086,    4.01
  40550.7500,    4.02
  40550.7930,    4.03
  40550.8336,    4.04
  40550.8750,    4.04
  40550.9169,    4.05
  40550.9587,    4.05
  40551.0000,    4.06
  40551.0418,    4.06
  40551.0837,    4.06
  40551.1250,    4.07
  40551.1680,    4.07
  40551.2087,    4.08
  40551.2500,    4.08
  40551.2929,    4.09
  40551.3338,    4.09
  40551.3750,    4.09
  40551.4172,    4.09
  40551.4589,    4.09
  40551.5000,    4.09
  40551.5430,    4.08
  40551.5838,    4.08
  40551.6250,    4.07
  40551.6676,    4.06
  40551.7086,    4.05
  40551.7500,    4.03
  40551.7923,    4.02
  40551.8338,    4.00
  40551.8750,    3.99
  40551.9172,    3.97
  40551.9588,    3.96
  40552.0000,    3.94
  40552.0430,    3.92
  40552.0838,    3.91
  40552.1250,    3.89
  40552.1671,    3.88
  40552.2086,    3.87
  40552.2500,    3.86
  40552.2922,    3.85
  40552.3337,    3.85
  40552.3750,    3.84
  40552.4168,    3.84
  40552.4587,    3.84
  40552.5000,    3.84
  40552.5427,    3.85
  40552.5838,    3.85
  40552.6250,    3.85
  40552.6670,    3.85
  40552.7089,    3.86
  40552.7500,    3.86
  40552.7917,    3.86
  40552.8334,    3.86
  40552.8750,    3.86
  40552.9171,    3.86
  40552.9586,    3.86
  40553.0000,    3.86
  40553.0427,    3.85
  40553.0836,    3.85
  40553.1250,    3.84
  40553.1680,    3.84
  40553.2086,    3.83
  40553.2500,    3.82
  40553.2928,    3.81
  40553.3336,    3.79
  40553.3750,    3.78
  40553.4173,    3.77
  40553.4585,    3.76
  40553.5000,    3.75
  40553.5430,    3.74
  40553.5835,    3.74
  40553.6250,    3.73
  40553.6671,    3.73
  40553.7086,    3.73
  40553.7500,    3.73
  40553.7928,    3.73
  40553.8334,    3.72
  40553.8750,    3.73
  40553.9172,    3.73
  40553.9584,    3.73
  40554.0000,    3.73
  40554.0417,    3.72
  40554.0833,    3.71
  40554.1250,    3.70
  40554.1677,    3.68
  40554.2085,    3.66
  40554.2500,    3.63
  40554.2925,    3.60
  40554.3334,    3.57
  40554.3750,    3.54
  40554.4175,    3.50
  40554.4584,    3.47
  40554.5000,    3.44
  40554.5425,    3.41
  40554.5835,    3.39
  40554.6250,    3.36
  40554.6670,    3.35
  40554.7084,    3.34
  40554.7500,    3.33
  40554.7921,    3.32
  40554.8335,    3.32
  40554.8750,    3.31
  40554.9179,    3.31
  40554.9584,    3.31
  40555.0000,    3.30
  40555.0425,    3.30
  40555.0835,    3.29
  40555.1250,    3.28
  40555.1670,    3.27
  40555.2086,    3.25
  40555.2500,    3.24
  40555.2928,    3.23
  40555.3334,    3.21
  40555.3750,    3.20
  40555.4169,    3.18
  40555.4584,    3.17
  40555.5000,    3.15
  40555.5419,    3.14
  40555.5835,    3.14
  40555.6250,    3.14
  40555.6674,    3.14
  40555.7084,    3.14
  40555.7500,    3.15
  40555.7922,    3.16
  40555.8334,    3.17
  40555.8750,    3.18
  40555.9176,    3.19
  40555.9596,    3.19
  40556.0000,    3.18
  40556.0425,    3.18
  40556.0834,    3.17
  40556.1250,    3.16
  40556.1676,    3.15
  40556.2085,    3.15
  40556.2500,    3.14
  40556.2925,    3.13
  40556.3334,    3.12
  40556.3750,    3.11
  40556.4169,    3.11
  40556.4584,    3.10
  40556.5000,    3.11
  40556.5416,    3.11
  40556.5835,    3.13
  40556.6250,    3.14
  40556.6678,    3.16
  40556.7085,    3.18
  40556.7500,    3.20
  40556.7924,    3.21
  40556.8336,    3.23
  40556.8750,    3.25
  40556.9170,    3.26
  40556.9585,    3.28
  40557.0000,    3.30
  40557.0420,    3.31
  40557.0836,    3.33
  40557.1250,    3.36
  40557.1668,    3.38
  40557.2085,    3.40
  40557.2500,    3.43
  40557.2930,    3.46
  40557.3334,    3.48
  40557.3750,    3.51
  40557.4168,    3.54
  40557.4585,    3.57
  40557.5000,    3.61
  40557.5418,    3.65
  40557.5834,    3.69
  40557.6250,    3.72
  40557.6672,    3.76
  40557.7084,    3.79
  40557.7500,    3.82
  40557.7923,    3.85
  40557.8334,    3.88
  40557.8750,    3.91
  40557.9180,    3.93
  40557.9583,    3.96
  40558.0000,    3.98
  40558.0417,    4.00
  40558.0834,    4.02
  40558.1250,    4.04
  40558.1667,    4.05
  40558.2084,    4.06
  40558.2500,    4.07
  40558.2924,    4.08
  40558.3334,    4.09
  40558.3750,    4.09
  40558.4179,    4.10
  40558.4585,    4.10
  40558.5000,    4.11
  40558.5423,    4.11
  40558.5834,    4.11
  40558.6250,    4.11
  40558.6676,    4.12
  40558.7084,    4.12
  40558.7500,    4.12
  40558.7917,    4.13
  40558.8334,    4.14
  40558.8750,    4.15
  40558.9176,    4.16
  40558.9596,    4.17
  40559.0000,    4.19
  40559.0426,    4.20
  40559.0834,    4.22
  40559.1250,    4.24
  40559.1680,    4.26
  40559.2086,    4.29
  40559.2500,    4.31
  40559.2928,    4.33
  40559.3334,    4.35
  40559.3750,    4.37
  40559.4167,    4.39
  40559.4586,    4.41
  40559.5000,    4.43
  40559.5420,    4.44
  40559.5835,    4.46
  40559.6250,    4.48
  40559.6668,    4.49
  40559.7086,    4.50
  40559.7500,    4.50
  40559.7928,    4.50
  40559.8337,    4.51
  40559.8750,    4.52
  40559.9168,    4.55
  40559.9584,    4.57
  40560.0000,    4.59
  40560.0425,    4.61
  40560.0835,    4.63
  40560.1250,    4.65
  40560.1674,    4.67
  40560.2084,    4.68
  40560.2500,    4.69
  40560.2923,    4.70
  40560.3334,    4.71
  40560.3750,    4.71
  40560.4171,    4.70
